Region,Country Code,Country or area,City Code,City,City Definition,Latitude,Longitude,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Africa,12,Algeria,20009,Annaba,Urban Agglomeration,36.9,7.76667,99.741,102.878,106.118,109.451,112.893,116.444,120.111,123.884,127.78,131.799,135.95,140.219,144.629,149.178,153.876,158.709,164.035,170.634,177.507,184.637,192.064,199.79,207.838,216.186,224.882,233.928,243.351,251.271,256.377,261.587,266.91,272.327,277.861,283.508,289.277,295.148,301.146,306.152,308.383,310.624,312.885,315.162,317.459,319.766,322.093,324.437,326.801,329.176,331.554,332.677,333.805,334.933,336.067,337.205,338.348,339.492,340.641,341.794,342.953,344.113,345.278,346.446,347.618,348.794,349.974,351.158,352.346,353.537,354.733,356.22,358.241,360.968,364.484,368.782,373.779,379.346,385.315,391.52,397.814,404.101,410.307,416.393,422.336,428.151,433.842,439.473
Africa,12,Algeria,20011,Batna,City Proper,35.55597,6.17414,13.046,14.306,15.689,17.201,18.862,20.683,22.683,24.869,27.27,29.903,32.794,35.956,39.427,43.234,47.414,51.985,56.513,59.786,63.254,66.912,70.787,74.887,79.231,83.813,88.667,93.803,99.243,104.986,111.077,117.52,124.347,131.55,139.181,147.255,155.81,164.835,174.397,182.922,187.685,192.56,197.568,202.706,207.985,213.387,218.937,224.63,230.481,236.467,242.569,245.948,249.379,252.848,256.37,259.941,263.567,267.234,270.956,274.73,278.563,282.438,286.372,290.361,294.406,298.506,302.664,306.88,311.155,315.489,319.884,324.466,329.333,334.548,340.12,346.016,352.163,358.478,364.859,371.217,377.479,383.613,389.593,395.414,401.077,406.607,412.015,417.363
Africa,12,Algeria,20015,Blida,Urban Agglomeration,36.480781,2.831943,33.97,36.092,38.349,40.742,43.286,45.99,48.867,51.915,55.158,58.603,62.269,66.153,70.286,74.676,79.347,84.296,89.114,92.734,96.505,100.419,104.497,108.741,113.164,117.754,122.536,127.513,132.699,137.181,140.321,143.534,146.825,150.182,153.62,157.138,160.74,164.415,168.18,172.562,178.464,184.55,190.852,197.369,204.119,211.08,218.288,225.742,233.462,241.423,249.652,257.015,264.604,272.397,280.43,288.699,297.225,305.978,315.001,324.29,333.867,343.699,353.834,364.269,375.012,386.071,397.457,409.179,421.246,433.669,446.458,459.523,472.733,485.938,498.969,511.672,523.92,535.641,546.792,557.375,567.423,577.01,586.199,595.053,603.617,611.957,620.102,628.153
Africa,12,Algeria,20006,El Djazaïr  (Algiers),Urban Agglomeration,36.7525,3.04197,516.45,533.74,551.632,570.074,589.158,622.921,666.263,712.489,761.992,814.934,871.636,913.806,953.095,994.074,1036.876,1081.394,1125.264,1162.355,1200.723,1240.246,1281.127,1323.356,1367.038,1412.036,1458.58,1506.658,1556.39,1591.631,1601.502,1611.434,1621.442,1631.484,1641.602,1651.783,1662.042,1672.335,1682.707,1699.125,1731.209,1763.809,1797.068,1830.955,1865.529,1900.658,1936.498,1973.014,2010.271,2048.125,2086.577,2113.386,2140.577,2168.042,2195.898,2224.112,2252.728,2281.632,2310.947,2340.639,2370.754,2401.172,2432.023,2463.271,2494.92,2526.977,2559.445,2592.33,2625.638,2659.373,2693.542,2729.325,2767.661,2809.158,2853.959,2901.81,2952.115,3004.133,3056.974,3109.831,3162.044,3213.279,3263.293,3312.019,3359.437,3405.751,3451.041,3495.835
Africa,12,Algeria,20020,El Djelfa,Urban Agglomeration,34.67279,3.263,10.45,11.061,11.708,12.392,13.117,13.884,14.697,15.555,16.465,17.427,18.448,19.525,20.667,21.875,23.156,24.509,25.942,27.459,29.067,30.764,32.563,34.467,36.486,38.616,40.875,43.265,45.798,48.473,51.307,54.308,57.488,60.845,64.403,68.169,72.161,76.375,80.841,85.554,90.509,95.737,101.274,107.132,113.337,119.883,126.817,134.151,141.922,150.119,158.793,167.379,176.441,185.967,196.022,206.62,217.807,229.567,241.979,255.062,268.872,283.388,298.71,314.86,331.883,349.827,368.74,388.677,409.691,431.841,455.189,479.24,503.397,527.033,549.565,570.543,589.697,606.968,622.45,636.362,648.976,660.591,671.455,681.764,691.652,701.238,710.582,719.812
Africa,12,Algeria,20019,Qacentina,Urban Agglomeration,36.354921,6.607293,88.001,93.924,100.254,106.992,114.193,121.878,130.092,138.835,148.179,158.152,168.811,180.156,192.281,205.222,219.053,233.775,247.49,255.393,263.56,271.965,280.65,289.613,298.874,308.405,318.254,328.417,338.92,348.84,357.584,366.548,375.749,385.155,394.81,404.707,414.866,425.251,435.911,444.581,447.623,450.678,453.758,456.859,459.985,463.124,466.289,469.476,472.689,475.914,479.077,475.808,472.556,469.336,466.133,462.952,459.789,456.656,453.539,450.444,447.366,444.318,441.286,438.274,435.283,432.312,429.361,426.43,423.52,420.629,417.758,415.411,414.011,413.86,415.11,417.768,421.714,426.746,432.6,439.008,445.725,452.576,459.425,466.189,472.821,479.322,485.69,491.992
Africa,12,Algeria,20037,Sétif,City Proper,36.19112,5.41373,41.289,43.327,45.468,47.709,50.063,52.534,55.13,57.847,60.702,63.698,66.846,70.14,73.602,77.234,81.051,85.045,88.971,92.189,95.529,98.979,102.559,106.269,110.118,114.096,118.223,122.499,126.937,131.088,134.656,138.322,142.093,145.955,149.928,154.01,158.208,162.509,166.933,171.118,174.483,177.904,181.397,184.959,188.595,192.293,196.069,199.918,203.849,207.846,211.921,215.716,219.584,223.51,227.512,231.586,235.739,239.954,244.251,248.624,253.082,257.608,262.221,266.916,271.695,276.56,281.511,286.552,291.682,296.905,302.221,307.703,313.401,319.333,325.482,331.801,338.221,344.671,351.073,357.365,363.5,369.467,375.258,380.881,386.343,391.672,396.882,402.034
Africa,12,Algeria,20035,Wahran (Oran),Urban Agglomeration,35.69111,-0.64167,268.935,272.335,275.782,279.263,282.793,286.368,289.993,293.653,297.365,301.124,304.936,308.785,312.689,316.641,320.649,324.697,330.827,343.652,356.993,370.813,385.189,400.121,415.655,431.746,448.483,465.87,483.955,499.928,511.846,524.049,536.561,549.335,562.432,575.841,589.589,603.626,618.017,631.029,639.876,648.822,657.905,667.116,676.469,685.927,695.53,705.268,715.155,725.154,735.257,741.94,748.693,755.489,762.356,769.286,776.288,783.334,790.454,797.639,804.9,812.206,819.588,827.038,834.556,842.142,849.797,857.521,865.316,873.182,881.119,889.644,899.182,910.03,922.302,935.947,950.768,966.494,982.784,999.314,1015.811,1032.11,1048.089,1063.698,1078.908,1093.775,1108.317,1122.702
Africa,24,Angola,895000001,Benguela,Urban Agglomeration,-12.576,13.405,14.364,15.042,15.752,16.493,17.27,18.085,18.938,19.83,20.764,21.743,22.77,23.968,25.366,26.845,28.412,30.067,31.82,33.676,35.642,37.718,39.917,43.393,48.257,53.65,59.655,66.332,73.767,82.012,91.191,101.397,112.763,125.366,139.398,155,161.548,168.354,175.456,182.858,190.584,198.612,206.991,215.724,224.837,234.309,244.194,254.496,265.248,276.422,288.084,300.237,312.921,326.104,339.862,354.199,369.163,384.715,400.945,417.86,435.513,453.861,473.008,492.963,513.789,535.434,558.022,581.564,606.133,631.668,658.317,686.121,715.13,745.372,776.832,809.468,843.207,878.004,913.769,950.447,987.971,1026.364,1065.572,1105.588,1146.377,1188.018,1230.439,1273.636
Africa,24,Angola,204043,Cabinda,Urban Agglomeration,-5.55,12.2,4.722,4.71,4.698,4.687,4.675,4.663,4.652,4.64,4.629,4.617,4.606,4.965,5.786,6.744,7.861,9.16,10.675,12.442,14.503,16.899,19.695,22.227,24.415,26.813,29.449,32.345,35.531,39.02,42.856,47.071,51.706,56.783,62.367,68.5,75.246,82.634,90.76,99.685,109.502,120.254,132.079,145.067,159.353,175,184.954,195.473,206.607,218.342,230.761,243.886,257.777,272.418,287.913,304.289,321.62,339.887,359.219,379.651,401.275,424.067,448.187,473.678,500.658,529.094,559.188,590.993,624.655,660.134,697.681,736.984,777.697,819.452,861.878,904.676,947.634,990.695,1033.86,1077.231,1120.931,1165.172,1210.051,1255.676,1302.086,1349.417,1397.614,1446.685
Africa,24,Angola,895000011,Cuito,City Proper,-12.383,16.933,8.632,8.97,9.322,9.686,10.066,10.46,10.87,11.295,11.738,12.197,12.676,13.171,13.687,14.223,14.781,15.359,15.96,16.585,17.236,17.91,18.611,19.648,21.022,22.489,24.06,25.741,27.542,29.463,31.522,33.724,36.084,38.601,41.298,44.183,47.274,50.572,54.105,57.886,61.935,66.256,70.885,75.838,81.143,86.804,92.869,99.357,106.308,113.725,121.67,130.171,139.278,148.994,159.404,170.54,182.472,195.202,208.84,223.43,239.062,255.74,273.607,292.722,313.202,335.053,358.461,383.504,410.336,438.963,469.63,501.936,535.407,569.533,603.814,637.853,671.387,704.349,736.784,768.859,800.779,832.81,865.116,897.85,931.086,964.954,999.427,1034.52
Africa,24,Angola,20050,Huambo,Urban Agglomeration,-12.77611,15.73917,15.306,16.721,18.27,19.957,21.802,23.818,26.024,28.427,31.056,33.927,37.069,39.664,41.575,43.577,45.678,47.875,50.18,52.597,55.133,57.785,60.567,65.148,71.629,78.734,86.556,95.155,104.621,115,126.424,138.984,152.811,167.969,184.656,203,217.267,232.492,248.809,266.27,284.983,304.954,326.355,349.259,373.804,400,407.692,415.532,423.534,431.668,439.969,448.43,457.066,465.843,474.801,483.932,493.251,502.724,512.391,522.245,532.302,542.524,552.957,563.591,574.444,585.476,596.735,608.21,619.923,631.828,643.978,656.977,671.413,687.795,706.476,727.641,751.297,777.336,805.507,835.521,867.065,899.922,933.847,968.691,1004.327,1040.766,1077.913,1115.75
Africa,24,Angola,895000000,Lobito,Urban Agglomeration,-12.364,13.536,23.027,24.801,26.714,28.769,30.986,33.373,35.947,38.713,41.695,44.907,48.371,50.63,51.504,52.394,53.3,54.219,55.155,56.107,57.077,58.061,59.064,61.956,66.7,71.793,77.283,83.193,89.563,96.402,103.774,111.709,120.263,129.446,139.345,150,154.292,158.694,163.228,167.892,172.696,177.623,182.698,187.918,193.295,198.81,204.49,210.333,216.351,222.523,228.881,235.421,242.157,249.066,256.182,263.502,271.041,278.774,286.739,294.932,303.371,312.026,320.941,330.111,339.556,349.245,359.223,369.487,380.058,390.902,402.071,413.795,426.31,439.82,454.464,470.316,487.368,505.576,524.828,545.002,565.963,587.634,609.908,632.725,656.029,679.842,704.111,728.829
Africa,24,Angola,20049,Luanda,Urban Agglomeration,-8.83682,13.23432,138.413,144.939,151.782,158.928,166.422,174.268,182.497,191.089,200.099,209.533,219.427,233.134,251.373,271.039,292.274,315.108,339.76,366.341,395.043,425.905,459.225,488.59,514.05,540.761,568.901,598.504,629.692,662.412,696.882,733.145,771.349,811.43,853.654,898.124,964.072,1034.661,1110.527,1191.955,1279.479,1373.162,1473.848,1581.917,1698.075,1822.407,1940.528,2066.306,2200.426,2342.847,2494.701,2656.398,2828.82,3011.913,3207.133,3415.007,3636.67,3872.05,4123.021,4390.259,4675.223,4977.823,5300.466,5644.022,6010.365,6399.381,6789.357,7023.206,7265.449,7515.345,7774.2,8044.735,8329.798,8631.876,8952.496,9292.336,9651.032,10027.897,10421.27,10829.513,11250.806,11684.375,12128.764,12583.262,13047.054,13520.789,14003.51,14495.112
Africa,24,Angola,204044,Lubango,Urban Agglomeration,-14.91717,13.4925,11.555,11.846,12.146,12.453,12.767,13.09,13.421,13.76,14.107,14.464,14.83,15.588,16.801,18.109,19.521,21.039,22.677,24.442,26.347,28.395,30.606,33.11,35.935,38.991,42.313,45.917,49.834,54.073,58.679,63.678,69.11,74.988,81.376,88.308,95.841,103.993,112.852,122.465,132.912,144.217,156.502,169.834,184.321,200,210.821,222.227,234.267,246.924,260.283,274.366,289.231,304.857,321.351,338.737,357.09,376.382,396.746,418.211,440.87,464.689,489.83,516.332,544.306,573.714,604.754,637.473,672.011,708.318,746.64,786.713,828.248,870.935,914.456,958.548,1003.016,1047.806,1092.9,1138.376,1184.324,1230.933,1278.271,1326.432,1375.44,1425.431,1476.341,1528.175
Africa,24,Angola,895000004,Malanje,Urban Agglomeration,-9.54,16.341,9.176,9.834,10.541,11.296,12.107,12.976,13.909,14.906,15.976,17.122,18.353,19.49,20.512,21.587,22.72,23.91,25.163,26.482,27.872,29.331,30.869,32.672,34.75,36.953,39.299,41.795,44.452,47.271,50.272,53.464,56.864,60.469,64.309,68.392,72.741,77.354,82.265,87.489,93.052,98.952,105.235,111.917,119.033,126.581,134.618,143.166,152.269,161.924,172.206,183.14,194.785,207.136,220.288,234.276,249.173,264.972,281.796,299.689,318.746,338.956,360.478,383.368,407.744,433.598,461.13,490.41,521.593,554.665,589.885,626.862,665.15,704.271,743.76,783.243,822.471,861.38,900.002,938.486,977.013,1015.839,1055.109,1094.963,1135.466,1176.754,1218.789,1261.582
Africa,24,Angola,895000012,Uige,City Proper,-7.1069,15.4406,3.201,3.414,3.642,3.884,4.143,4.418,4.713,5.027,5.362,5.719,6.1,6.506,6.939,7.401,7.895,8.42,8.981,9.579,10.218,10.898,11.624,12.475,13.46,14.519,15.663,16.898,18.231,19.666,21.216,22.888,24.694,26.638,28.737,31.002,33.449,36.082,38.925,41.993,45.307,48.873,52.725,56.88,61.37,66.199,71.417,77.045,83.126,89.668,96.735,104.359,112.596,121.457,131.03,141.357,152.513,164.516,177.482,191.47,206.582,222.84,240.402,259.349,279.819,301.84,325.629,351.293,379.019,408.848,441.071,475.198,510.631,546.706,582.775,618.313,652.976,686.667,719.452,751.551,783.239,814.852,846.615,878.725,911.289,944.45,978.196,1012.545
Africa,204,Benin,204024,Abomey-Calavi,Urban Agglomeration,6.44852,2.35566,11.817,12.51,13.245,14.02,14.843,15.714,16.637,17.611,18.644,19.738,20.898,22.122,23.42,24.793,26.25,27.788,29.418,31.143,32.973,34.904,36.952,39.119,41.418,43.844,46.416,49.138,52.025,55.073,58.303,61.724,65.349,69.178,73.236,77.532,82.086,86.895,91.992,97.389,103.11,109.15,115.553,122.331,131.214,143.347,156.62,171.122,186.99,204.28,223.195,243.862,266.474,291.113,315.573,337.58,361.156,386.307,413.247,442.066,472.938,505.873,541.152,578.891,619.319,662.447,708.578,757.922,810.702,867.158,927.545,991,1056.44,1122.713,1188.736,1252.89,1314.916,1375.217,1434.112,1492.093,1549.724,1607.541,1665.979,1725.355,1785.876,1847.674,1910.798,1975.266
Africa,204,Benin,20888,Cotonou,City Proper,6.36536,2.41833,20.174,20.3,24.917,30.568,37.511,46.03,56.5,60.249,64.252,68.521,73.08,77.928,85.036,92.962,101.64,111.1,120.007,129.628,140.036,151.247,163.372,176.47,190.638,205.9,222.408,240.239,259.527,280.304,302.776,323.82,337.106,350.898,365.275,380.24,395.841,412.036,428.918,446.491,464.809,483.826,503.649,524.284,541.575,553.242,565.177,577.37,589.843,602.55,615.549,628.829,642.413,656.253,665.557,666.784,668.016,669.246,670.48,671.716,672.957,674.196,675.44,676.685,677.935,679.183,680.433,681.686,682.941,684.198,685.458,687.732,691.949,698.868,708.999,722.139,738.444,757.989,780.456,805.423,832.454,861.151,891.187,922.319,954.385,987.291,1020.977,1055.409
Africa,204,Benin,20889,Djougou,Urban Agglomeration,9.70853,1.66598,2.365,2.682,3.041,3.447,3.908,4.431,5.025,5.696,6.458,7.322,8.303,9.412,10.671,12.099,13.72,15.553,17.633,19.992,22.671,25.699,29.137,33.035,37.461,42.465,48.146,54.586,61.9,70.168,79.555,87.973,90.973,94.067,97.27,100.582,104.012,107.549,111.211,114.999,118.92,122.964,127.151,131.481,135.768,139.893,144.149,148.535,153.061,157.711,162.51,167.455,172.557,177.8,183.539,190.037,196.775,203.732,210.945,218.414,226.157,234.153,242.443,251.027,259.927,269.117,278.632,288.483,298.683,309.243,320.177,331.549,343.419,355.838,368.836,382.184,395.951,410.272,425.142,440.542,456.447,472.832,489.674,506.953,524.658,542.78,561.312,580.246
Africa,204,Benin,20890,Parakou,City Proper,9.33716,2.63031,5.567,6.051,6.577,7.147,7.768,8.442,9.176,9.972,10.838,11.779,12.804,13.914,15.122,16.436,17.865,19.414,21.1,22.932,24.927,27.088,29.44,31.997,34.78,37.796,41.078,44.645,48.527,52.736,57.315,61.594,64.194,66.896,69.716,72.654,75.721,78.908,82.234,85.7,89.318,93.077,97.001,101.089,105.16,109.093,113.179,117.418,121.822,126.379,131.112,136.022,141.124,146.402,152.494,159.913,167.703,175.85,184.405,193.376,202.796,212.648,222.993,233.841,245.233,257.146,269.638,282.736,296.471,310.873,325.975,341.69,357.912,374.532,391.442,408.305,425.149,442.127,459.283,476.671,494.348,512.365,530.761,549.564,568.789,588.45,608.546,629.075
Africa,854,Burkina Faso,23191,Bobo-Dioulasso,City Proper,11.17715,-4.2979,36.114,38,39.536,41.13,42.79,44.517,46.317,48.184,50.128,52.152,54.26,56.967,59.813,62.802,65.944,69.234,72.693,76.325,80.144,84.143,88.347,92.761,97.402,102.261,107.371,112.735,119.745,128.224,137.317,147.054,157.497,168.65,180.609,193.416,207.151,221.819,232.205,238.702,245.39,252.247,259.305,266.56,274.029,281.686,289.567,297.67,306.01,317.772,332.685,348.299,364.668,381.759,399.675,418.433,438.098,458.63,480.154,504.007,530.175,557.624,586.535,616.945,648.977,682.577,717.967,755.191,794.345,835.529,878.848,924.37,972.124,1022.118,1074.309,1128.646,1185.053,1243.53,1304.017,1366.501,1430.95,1497.466,1566.007,1636.594,1709.185,1783.932,1860.708,1939.502
Africa,854,Burkina Faso,23192,Ouagadougou,City Proper,12.36423,-1.53834,33.035,37.3,39.261,41.32,43.49,45.774,48.181,50.707,53.37,56.172,59.126,63.09,67.325,71.845,76.676,81.816,87.309,93.17,99.434,107.102,115.374,124.284,133.897,144.223,155.361,167.36,182.337,200.214,219.871,241.459,265.2,291.201,319.792,351.19,385.721,423.537,452.238,472.181,493.032,514.742,537.441,561.141,585.92,611.721,638.696,666.861,696.309,739.213,795.344,855.737,920.808,990.628,1065.85,1146.783,1233.987,1327.553,1428.359,1514.246,1586.762,1662.536,1742.041,1825.349,1912.763,2004.106,2099.945,2200.368,2305.593,2415.851,2531.381,2652.72,2780.331,2914.619,3055.788,3203.923,3358.934,3520.821,3689.328,3864.265,4045.36,4232.727,4426.096,4625.414,4830.489,5041.704,5258.672,5481.352
