Country,Continent,ISO_Code,Level,GDLCODE,Region,Log Gross National Income per capita,Log Gross National Income per capita females,Log Gross National Income per capita males,year
Algeria,Africa,DZA,National,DZAt,Total,9.035,7.531,9.593,2000
Algeria,Africa,DZA,Subnat,DZAr104,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",8.964,7.471,9.517,2000
Algeria,Africa,DZA,Subnat,DZAr105,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",8.977,7.483,9.532,2000
Algeria,Africa,DZA,Subnat,DZAr106,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",8.938,7.45,9.49,2000
Algeria,Africa,DZA,Subnat,DZAr101,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",9.146,7.624,9.711,2000
Algeria,Africa,DZA,Subnat,DZAr102,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",8.967,7.474,9.52,2000
Algeria,Africa,DZA,Subnat,DZAr103,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",8.999,7.501,9.555,2000
Algeria,Africa,DZA,Subnat,DZAr107,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",9.034,7.53,9.592,2000
Angola,Africa,AGO,National,AGOt,Total,8.214,,,2000
Angola,Africa,AGO,Subnat,AGOr218, Bengo,7.878,,,2000
Angola,Africa,AGO,Subnat,AGOr209, Benguela,8.527,,,2000
Angola,Africa,AGO,Subnat,AGOr211, Bie,7.314,,,2000
Angola,Africa,AGO,Subnat,AGOr201, Cabinda,8.815,,,2000
Angola,Africa,AGO,Subnat,AGOr216, Cunene,7.727,,,2000
Angola,Africa,AGO,Subnat,AGOr210, Huambo,8.023,,,2000
Angola,Africa,AGO,Subnat,AGOr215, Huila,8.234,,,2000
Angola,Africa,AGO,Subnat,AGOr213, Kuando Kubango,7.237,,,2000
Angola,Africa,AGO,Subnat,AGOr205, Kuanza Norte,7.666,,,2000
Angola,Africa,AGO,Subnat,AGOr206, Kuanza Sul,7.469,,,2000
Angola,Africa,AGO,Subnat,AGOr204, Luanda,9.305,,,2000
Angola,Africa,AGO,Subnat,AGOr208, Lunda Norte,7.465,,,2000
Angola,Africa,AGO,Subnat,AGOr217, Lunda Sul,7.286,,,2000
Angola,Africa,AGO,Subnat,AGOr207, Malange,7.656,,,2000
Angola,Africa,AGO,Subnat,AGOr212, Moxico,7.557,,,2000
Angola,Africa,AGO,Subnat,AGOr214, Namibe,8.383,,,2000
Angola,Africa,AGO,Subnat,AGOr203, Uige,7.93,,,2000
Angola,Africa,AGO,Subnat,AGOr202, Zaire,7.427,,,2000
Benin,Africa,BEN,National,BENt,Total,7.812,7.549,8.023,2000
Benin,Africa,BEN,Subnat,BENr101,Atacora (incl Donga),7.474,7.223,7.676,2000
Benin,Africa,BEN,Subnat,BENr102,Atlantique (incl Littoral (Cotonou)),8.327,8.048,8.552,2000
Benin,Africa,BEN,Subnat,BENr103,Borgou (incl Alibori),7.652,7.395,7.859,2000
Benin,Africa,BEN,Subnat,BENr104,Mono (incl Couffo),7.547,7.293,7.751,2000
Benin,Africa,BEN,Subnat,BENr105,Queme (incl Plateau),7.855,7.591,8.067,2000
Benin,Africa,BEN,Subnat,BENr106,Zou (incl Collines),7.666,7.409,7.873,2000
Botswana,Africa,BWA,National,BWAt,Total,9.217,9.006,9.4,2000
Botswana,Africa,BWA,Subnat,BWAr101,Central,9.036,8.83,9.216,2000
Botswana,Africa,BWA,Subnat,BWAr110,Chobe,9.279,9.068,9.464,2000
Botswana,Africa,BWA,Subnat,BWAr102,Ghanzi,9.469,9.252,9.657,2000
Botswana,Africa,BWA,Subnat,BWAr103,Kgalagadi,9.377,9.163,9.564,2000
Botswana,Africa,BWA,Subnat,BWAr104,Kgatleng,9.343,9.129,9.529,2000
Botswana,Africa,BWA,Subnat,BWAr105,Kweneng,9.109,8.901,9.29,2000
Botswana,Africa,BWA,Subnat,BWAr106,North-East,9.405,9.19,9.592,2000
Botswana,Africa,BWA,Subnat,BWAr107,"North-West, Ngamiland",8.88,8.677,9.057,2000
Botswana,Africa,BWA,Subnat,BWAr108,South-East,9.716,9.494,9.909,2000
Botswana,Africa,BWA,Subnat,BWAr109,Southern,8.945,8.741,9.123,2000
Burkina Faso,Africa,BFA,National,BFAt,Total,7.167,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr101,Boucle de Mouhoun,6.994,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr102,Cascades,7.244,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr103,Centre (incl Ouagadougou),7.89,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr104,Centre-Est,7.171,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr105,Centre-Nord,7.03,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr106,Centre-Ouest,7.13,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr107,Centre-Sud,7.125,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr108,Est,6.94,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr109,Hauts Bassins,7.37,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr110,Nord,7.076,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr111,Plateau Central,7.056,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr112,Sahel,6.831,,,2000
Burkina Faso,Africa,BFA,Subnat,BFAr113,Sud-Ouest,6.918,,,2000
Burundi,Africa,BDI,National,BDIt,Total,6.734,6.614,6.845,2000
Burundi,Africa,BDI,Subnat,BDIr103,"East (Cankuzo, Rutana, Ruyigi )",6.622,6.503,6.73,2000
Burundi,Africa,BDI,Subnat,BDIr105,"Middle (Gitega, Karuzi, Muramvya, Mwaro)",6.695,6.575,6.804,2000
Burundi,Africa,BDI,Subnat,BDIr101,"North (Kayanza, Kirundo, Muyinga, Ngozi)",6.709,6.59,6.819,2000
Burundi,Africa,BDI,Subnat,BDIr102,"South (Bururi, Makamba)",6.723,6.603,6.833,2000
Burundi,Africa,BDI,Subnat,BDIr104,"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)",6.863,6.741,6.976,2000
Cameroon,Africa,CMR,National,CMRt,Total,7.902,7.704,8.07,2000
Cameroon,Africa,CMR,Subnat,CMRr101,Adamaoua,7.862,7.665,8.029,2000
Cameroon,Africa,CMR,Subnat,CMRr102,Centre (incl Yaounde),8.134,7.93,8.307,2000
Cameroon,Africa,CMR,Subnat,CMRr103,Est,7.581,7.391,7.742,2000
Cameroon,Africa,CMR,Subnat,CMRr104,Extreme Nord,7.467,7.279,7.625,2000
Cameroon,Africa,CMR,Subnat,CMRr105,Littoral (incl Douala),8.436,8.224,8.615,2000
Cameroon,Africa,CMR,Subnat,CMRr106,Nord,7.599,7.408,7.76,2000
Cameroon,Africa,CMR,Subnat,CMRr107,Nord Ouest,7.845,7.649,8.012,2000
Cameroon,Africa,CMR,Subnat,CMRr108,Ouest,7.979,7.778,8.148,2000
Cameroon,Africa,CMR,Subnat,CMRr109,Sud,7.801,7.605,7.967,2000
Cameroon,Africa,CMR,Subnat,CMRr110,Sud Ouest,8.081,7.878,8.252,2000
Cape Verde,Africa,CPV,National,CPVt,Total,8.339,7.896,8.661,2000
Cape Verde,Africa,CPV,Subnat,CPVr105,Fogo,8.3,7.859,8.62,2000
Cape Verde,Africa,CPV,Subnat,CPVr101,S.Antao,8.259,7.82,8.578,2000
Cape Verde,Africa,CPV,Subnat,CPVr102,S.Vicente,8.516,8.063,8.844,2000
Cape Verde,Africa,CPV,Subnat,CPVr104,Santiago- Praia,8.474,8.023,8.801,2000
Cape Verde,Africa,CPV,Subnat,CPVr103,Santiago-Interior,8.108,7.677,8.42,2000
Central African Republic CAR,Africa,CAF,National,CAFt,Total,7.11,6.87,7.301,2000
Central African Republic CAR,Africa,CAF,Subnat,CAFr106,Bangui,7.693,7.433,7.9,2000
Central African Republic CAR,Africa,CAF,Subnat,CAFr101,"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)",7.05,6.812,7.239,2000
Central African Republic CAR,Africa,CAF,Subnat,CAFr102,"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)",7.048,6.81,7.238,2000
Central African Republic CAR,Africa,CAF,Subnat,CAFr103,"RS III (Ouham Pende, Ouham)",6.995,6.759,7.183,2000
Central African Republic CAR,Africa,CAF,Subnat,CAFr104,"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)",7.011,6.774,7.199,2000
Central African Republic CAR,Africa,CAF,Subnat,CAFr105,"RS V (Basse Kotto, Mbornou, Houte Mbormou)",6.928,6.694,7.114,2000
Chad,Africa,TCD,National,TCDt,Total,6.783,,,2000
Chad,Africa,TCD,Subnat,TCDr101,Zone 1 (N'Djamena),7.334,,,2000
Chad,Africa,TCD,Subnat,TCDr102,"Zone 2 (Borkou, Ennedi, Tibesti, Kanem, Barh El Gazal, Lac)",6.672,,,2000
Chad,Africa,TCD,Subnat,TCDr103,"Zone 3 (Guera, Batha, Salamat)",6.664,,,2000
Chad,Africa,TCD,Subnat,TCDr104,"Zone 4 (Ouaddai, Assongha, Sila, Biltine - Wadi Fira)",6.657,,,2000
Chad,Africa,TCD,Subnat,TCDr105,"Zone 5 (Chari-Baguimi, Dababa, Baguirmi, Hadjer Lamis)",6.746,,,2000
Chad,Africa,TCD,Subnat,TCDr106,Zone 6 (Mayo-Kebbi Est and Ouest),6.822,,,2000
Chad,Africa,TCD,Subnat,TCDr107,"Zone 7 (Logone Occidental & Oriental, Monts de Lam, Tandjile Est & Ouest)",6.778,,,2000
Chad,Africa,TCD,Subnat,TCDr108,"Zone 8 (Mandoul, Moyen-Chari, Bahr Koh, Lac Iro)",6.751,,,2000
Comoros,Africa,COM,National,COMt,Total,7.95,7.488,8.268,2000
Comoros,Africa,COM,Subnat,COMr103,Anjouan (Ndzouani),7.847,7.392,8.161,2000
Comoros,Africa,COM,Subnat,COMr101,Grande Comore (Ngazidja),8.046,7.579,8.368,2000
Comoros,Africa,COM,Subnat,COMr102,Moheli,7.782,7.33,8.093,2000
Congo Brazzaville,Africa,COG,National,COGt,Total,7.999,7.843,8.136,2000
Congo Brazzaville,Africa,COG,Subnat,COGr204, Bouenza,7.674,7.524,7.805,2000
Congo Brazzaville,Africa,COG,Subnat,COGr211, Brazzaville,8.525,8.359,8.671,2000
