"growth","growthRate","population","year"
218595,0.036270864935558755,6245333,2035
214422,0.036890974269121024,6026738,2034
211345,0.037733635828501866,5812316,2033
207698,0.03851056677457265,5600971,2032
203975,0.03930685807598633,5393273,2031
200031,0.04009226204971594,5189298,2030
196057,0.04090306913321129,4989267,2029
191991,0.04172611649217295,4793210,2028
188072,0.04261630079396861,4601219,2027
184163,0.04354781195672541,4413147,2026
180318,0.04453763288945045,4228984,2025
176402,0.0455552617280226,4048666,2024
172364,0.046586123949295954,3872264,2023
168013,0.04757032147404483,3699900,2022
163302,0.04847792173865284,3531887,2021
158199,0.049277252018916196,3368585,2020
151999,0.04969907340045587,3210386,2019
154435,0.05318097544312028,3058387,2018
146636,0.05318070181292245,2903952,2017
139232,0.05318087578549813,2757316,2016
132024,0.053105717480672165,2618084,2015
125366,0.05310556980277825,2486060,2014
118885,0.05303083358127303,2360694,2013
113201,0.05318076414257589,2241809,2012
107341,0.05310579948121652,2128608,2011
101928,0.05310578277208977,2021267,2010
96658,0.05303067294825592,1919339,2009
92037,0.053180781258306054,1822681,2008
87272,0.05310544417210461,1730644,2007
82656,0.052960307961217756,1643372,2006
40841,0.02687128875729905,1560716,2005
39880,0.02694603697985465,1519875,2004
38781,0.026908564585134576,1479995,2003
37765,0.026908708474622234,1441214,2002
41967,0.030824498597851413,1403449,2001
40822,0.0309103024245454,1361482,2000
39545,0.030867642639419657,1320660,1999
38361,0.03086773408092025,1281115,1998
37161,0.030823835241246433,1242754,1997
36149,0.030911270655114675,1205593,1996
35017,0.03086756574023708,1169444,1995
35718,0.032509062909287234,1134427,1994
52620,0.050301647374171754,1098709,1993
50233,0.050442031779694974,1046089,1992
47758,0.050372429854297796,995856,1991
45467,0.0503716358068802,948098,1990
43228,0.05030003386071491,902631,1989
41269,0.050442836992473206,859403,1988
39235,0.05037238460955784,818134,1987
37353,0.05037179082619292,778899,1986
35513,0.05029934861401664,741546,1985
33905,0.05044426061702523,706033,1984
32232,0.0503706852363508,672128,1983
30687,0.050371875661718635,639896,1982
29176,0.05030058634594936,609209,1981
27854,0.050443787250148864,580033,1980
26480,0.0503710298098341,552179,1979
25210,0.05037073741880449,525699,1978
23970,0.05030229644568207,500489,1977
22882,0.05044121180591521,476519,1976
20426,0.047150233950661535,453637,1975
19392,0.04686106727820616,433211,1974
18499,0.04679500151775784,413819,1973
17720,0.04692796610169481,395320,1972
14981,0.041313334381265276,377600,1971
14387,0.041314411082266966,362619,1970
13797,0.041254653370610184,348232,1969
13286,0.04137020510728662,334435,1968
12741,0.04131215792067655,321149,1967
10448,0.0350651094106591,308408,1966
9785,0.03395506202828136,297960,1965
9490,0.03405278360873387,288175,1964
9164,0.034001061141803346,278685,1963
8865,0.034010343134246,269521,1962
8559,0.03395121719020855,260656,1961
12324,0.05139861452290284,252097,1960
15452,0.06888343044119805,239773,1959
14457,0.06888746998055884,224321,1958
13507,0.06878797292686278,209864,1957
7608,0.04030749831787195,196357,1956
2322,0.012455277400805764,188749,1955
2294,0.012458386057903725,186427,1954
2262,0.01243738693909413,184133,1953
2241,0.012475644380114614,181871,1952
2210,0.012456318340660522,179630,1951
0,0,177420,1950
