
date, Population, Annual Change
1950-12-31,95000
1951-12-31,99000,4.21
1952-12-31,103000,4.04
1953-12-31,107000,3.88
1954-12-31,112000,4.67
1955-12-31,117000,4.46
1956-12-31,123000,5.13
1957-12-31,129000,4.88
1958-12-31,137000,6.2
1959-12-31,144000,5.11
1960-12-31,153000,6.25
1961-12-31,161000,5.23
1962-12-31,170000,5.59
1963-12-31,180000,5.88
1964-12-31,190000,5.56
1965-12-31,205000,7.89
1966-12-31,221000,7.8
1967-12-31,238000,7.69
1968-12-31,256000,7.56
1969-12-31,276000,7.81
1970-12-31,298000,7.97
1971-12-31,321000,7.72
1972-12-31,346000,7.79
1973-12-31,373000,7.8
1974-12-31,401000,7.51
1975-12-31,433000,7.98
1976-12-31,464000,7.16
1977-12-31,488000,5.17
1978-12-31,514000,5.33
1979-12-31,542000,5.45
1980-12-31,571000,5.35
1981-12-31,601000,5.25
1982-12-31,633000,5.32
1983-12-31,667000,5.37
1984-12-31,702000,5.25
1985-12-31,740000,5.41
1986-12-31,779000,5.27
1987-12-31,819000,5.13
1988-12-31,858000,4.76
1989-12-31,898000,4.66
1990-12-31,940000,4.68
1991-12-31,985000,4.79
1992-12-31,1031000,4.67
1993-12-31,1080000,4.75
1994-12-31,1131000,4.72
1995-12-31,1184000,4.69
1996-12-31,1240000,4.73
1997-12-31,1298000,4.68
1998-12-31,1359000,4.7
1999-12-31,1423000,4.71
2000-12-31,1490000,4.71
2001-12-31,1560000,4.7
2002-12-31,1634000,4.74
2003-12-31,1711000,4.71
2004-12-31,1791000,4.68
2005-12-31,1876000,4.75
2006-12-31,1964000,4.69
2007-12-31,2057000,4.74
2008-12-31,2153000,4.67
2009-12-31,2255000,4.74
2010-12-31,2361000,4.7
2011-12-31,2472000,4.7
2012-12-31,2589000,4.73
2013-12-31,2711000,4.71
2014-12-31,2838000,4.68
2015-12-31,2972000,4.72
2016-12-31,3112000,4.71
2017-12-31,3259000,4.72
2018-12-31,3412000,4.69
2019-12-31,3536000,3.63
2020-12-31,3663000,3.59
2021-12-31,3793000,3.55
2022-12-31,3927000,3.53
2023-12-31,4063000,3.46
2024-12-31,4203000,3.45
2025-12-31,4346000,3.4
2026-12-31,4493000,3.38
2027-12-31,4643000,3.34
2028-12-31,4796000,3.3
2029-12-31,4953000,3.27
2030-12-31,5112000,3.21
2031-12-31,5275000,3.19
2032-12-31,5440000,3.13
2033-12-31,5609000,3.11
2034-12-31,5781000,3.07
2035-12-31,5956000,3.03
