date, Population, Annual Change
1950-12-31,202000
1951-12-31,217000,7.43
1952-12-31,234000,7.83
1953-12-31,252000,7.69
1954-12-31,272000,7.94
1955-12-31,292000,7.35
1956-12-31,315000,7.88
1957-12-31,339000,7.62
1958-12-31,365000,7.67
1959-12-31,402000,10.14
1960-12-31,443000,10.2
1961-12-31,488000,10.16
1962-12-31,537000,10.04
1963-12-31,591000,10.06
1964-12-31,651000,10.15
1965-12-31,717000,10.14
1966-12-31,790000,10.18
1967-12-31,869000,10
1968-12-31,939000,8.06
1969-12-31,1002000,6.71
1970-12-31,1070000,6.79
1971-12-31,1142000,6.73
1972-12-31,1219000,6.74
1973-12-31,1301000,6.73
1974-12-31,1388000,6.69
1975-12-31,1482000,6.77
1976-12-31,1582000,6.75
1977-12-31,1688000,6.7
1978-12-31,1802000,6.75
1979-12-31,1923000,6.71
1980-12-31,2053000,6.76
1981-12-31,2191000,6.72
1982-12-31,2338000,6.71
1983-12-31,2496000,6.76
1984-12-31,2664000,6.73
1985-12-31,2812000,5.56
1986-12-31,2968000,5.55
1987-12-31,3133000,5.56
1988-12-31,3307000,5.55
1989-12-31,3490000,5.53
1990-12-31,3683000,5.53
1991-12-31,3888000,5.57
1992-12-31,4104000,5.56
1993-12-31,4331000,5.53
1994-12-31,4571000,5.54
1995-12-31,4825000,5.56
1996-12-31,5093000,5.55
1997-12-31,5375000,5.54
1998-12-31,5641000,4.95
1999-12-31,5885000,4.33
2000-12-31,6140000,4.33
2001-12-31,6406000,4.33
2002-12-31,6683000,4.32
2003-12-31,6972000,4.32
2004-12-31,7274000,4.33
2005-12-31,7589000,4.33
2006-12-31,7918000,4.34
2007-12-31,8261000,4.33
2008-12-31,8619000,4.33
2009-12-31,8992000,4.33
2010-12-31,9382000,4.34
2011-12-31,9788000,4.33
2012-12-31,10212000,4.33
2013-12-31,10655000,4.34
2014-12-31,11116000,4.33
2015-12-31,11598000,4.34
2016-12-31,12100000,4.33
2017-12-31,12624000,4.33
2018-12-31,13171000,4.33
2019-12-31,13743000,4.34
2020-12-31,14342000,4.36
2021-12-31,14970000,4.38
2022-12-31,15628000,4.4
2023-12-31,16316000,4.4
2024-12-31,17032000,4.39
2025-12-31,17778000,4.38
2026-12-31,18553000,4.36
2027-12-31,19354000,4.32
2028-12-31,20182000,4.28
2029-12-31,21036000,4.23
2030-12-31,21914000,4.17
2031-12-31,22818000,4.13
2032-12-31,23746000,4.07
2033-12-31,24700000,4.02
2034-12-31,25679000,3.96
2035-12-31,26682000,3.91
