COU,Country,MEAS,Measure,Large subnational region,Small subnational region,VAR,Variable,Year,Unit Code,Unit,Value
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,899.2116
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,1713.5127
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,2326.8636
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,2761.2216
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,613.3509
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,1047.7089
DZA,Algeria,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,KM2,Square kilometres,434.358
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.038805605
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.073946884
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.10041613
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.119160911
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.026469245
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.045214027
DZA,Algeria,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.018744781
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,575.5824
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,731.088
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,922.1418
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,1168.9668
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,191.0538
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,437.8788
AGO,Angola,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,KM2,Square kilometres,155.5056
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,PC,Percentage,0.04590858
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,PC,Percentage,0.058311741
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,PC,Percentage,0.073550234
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,PC,Percentage,0.093237051
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,PC,Percentage,0.015238493
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,PC,Percentage,0.03492531
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_2000,Built-up since 2000,2014,PC,Percentage,0.019686817
AGO,Angola,PCNT,Percent of total land area,Total,Total,BUILT_UP_SINCE_1975,Built-up since 1975,1990,PC,Percentage,0.012403161
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1975,KM2,Square kilometres,250.2099
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,1990,KM2,Square kilometres,385.4943
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2000,KM2,Square kilometres,517.0644
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_BEFORE,Area built-up before,2014,KM2,Square kilometres,595.4958
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2000,KM2,Square kilometres,131.5701
BEN,Benin,SQKM,Square kilometers,Total,Total,BUILT_UP_SINCE_1990,Built-up since 1990,2014,KM2,Square kilometres,210.0015
