Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,DZ,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,,3.000004943,6.40000066,5.399996984,5.599997326,5.600001368,-0.1999995803,-0.6999986063,-1.899997538,4.799998027,1.251755539,-1.2,1.6,-2.102489257,-0.9,3.84769774,3.8,1.1,5.097513662,3.2,3.8,3,5.6,7.2,4.3,5.9,1.7,3.4,2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.4,2.544479062,2.689753133,1.867171249
DZA,Algeria,DZ,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,,-0.1294475992,3.13164362,2.159850158,2.389801449,2.455049188,-3.10008297,-3.509144554,-4.587092374,2.035861146,-1.306444493,-3.588531286,-0.742780022,-4.234627559,-2.912569502,1.900232165,2.010261404,-0.5082452346,3.542333184,1.75800958,2.408461015,1.668188933,4.270247238,5.84867219,2.941629186,4.44506801,0.2262585746,1.825908811,0.7531768181,-0.1332935203,1.730152944,0.9383341131,1.345839406,0.7280625601,1.743944206,1.727993923,1.33321234,-0.3475598491,0.8603575682,1.075350301,0.329200641
DZA,Algeria,DZ,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,34512.32973,35547.70133,37822.75445,39865.18204,42097.63117,44455.09909,44366.18908,44055.62638,43218.57056,45293.06109,45860.0195,45309.69926,46034.65445,45066.78079,44661.17976,46379.60696,48142.03203,48671.59438,51152.63555,52789.51989,54795.52165,56439.3873,59599.99298,63891.19248,66638.51376,70570.18607,71769.87923,74210.05512,75991.09645,77206.95399,79986.40433,82306.01006,85104.4144,87487.33801,90811.85685,94171.89555,97185.39621,98545.99176,101053.4739,103771.5629,105709.1556
DZA,Algeria,DZ,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,42345.82769,44371.75981,44779.98336,47528.98511,51512.78647,61132.07862,61535.27044,63299.59742,51664.1925,52558.28569,61892.21147,46669.84247,49216.66056,50962.69008,42425.62537,42065.96312,46941.49665,48177.86404,48187.58746,48845.07519,54795.52165,54621.80276,56758.7149,67859.54765,85908.97257,105285.8753,118700.3259,134977.2847,171001.1179,137211.0442,161207.4112,200019.103,209059.0831,209755.0033,213809.9782,165967.8102,160132.0946,167552.8121,181354.4944,187422.9175,193705.4892
DZA,Algeria,DZ,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,24112.62687,26305.6066,27485.57878,29417.5994,33149.25442,36927.48319,44511.0924,43894.70363,47209.37585,44198.24513,45067.01081,29622.89083,33572.20383,37281.34879,31416.0332,30025.57555,32157.72372,32754.89799,35075.5035,33260.78238,30220.64901,32018.39021,33755.47019,37519.21959,44951.84081,47605.72009,50969.11834,58488.66542,74196.22562,73688.57759,83097.96985,103696.5107,109684.1139,112849.0911,120060.9489,103851.4594,102155.4571,104656.0718,110184.1091,113666.1883,117069.9747
DZA,Algeria,DZ,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,5824.440709,6106.385592,6676.553017,7244.612429,7899.473649,9138.191654,11247.91592,11958.5586,11012.87117,9304.178452,10054.88132,6939.386886,8461.44687,9475.228525,7528.416789,7001.281925,7404.714981,7969.515175,8573.520148,8165.362101,7442.220149,8089.101858,8789.951043,10045.8686,11830.60815,12057.03385,13332.53283,15716.00926,22583.4123,22153.10983,27770.7897,41338.87854,42476.69619,40152.87192,42314.59555,35782.58726,33423.77102,32233.06086,33778.76918,33472.98659,34401.70786
DZA,Algeria,DZ,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,18288.18617,20199.221,20809.02576,22172.98697,25249.78077,27789.29154,33263.17647,31936.14503,36196.50468,34894.06668,35012.12949,22683.50394,25110.75696,27806.12026,23887.61641,23024.29363,24753.00874,24785.38281,26501.98335,25095.42028,22778.42886,23929.28835,24965.51915,27473.35099,33121.23265,35548.68624,37636.58551,42772.65616,51612.81332,51535.46777,55327.18014,62357.63217,67207.41772,72696.21915,77746.35332,68068.87213,68731.68606,72423.01094,76405.33989,80193.20168,82668.26683
DZA,Algeria,DZ,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,16550.57395,16413.14145,16842.29093,18338.41463,18567.95703,19245.99228,21124.25356,19357.73877,16575.48814,16923.83316,17886.33225,14439.20013,14645.97616,14401.2525,13347.43358,13568.26197,11839.50728,11393.68608,13873.23584,13356.58569,12888.68692,14571.00304,17398.21521,20586.33749,28583.37031,33323.49596,35811.44288,46526.02594,63866.18419,64319.69937,66788.76554,76117.39807,81863.93712,91013.95266,97399.92401,84277.18743,80670.60499,81102.06677,86317.73398,88223.10228,91104.07016
DZA,Algeria,DZ,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,,,,,,,,,,,9393.239248,11627.85482,11320.70287,10049.0889,9168.371847,9655.713327,9248.427384,7316.734596,9473.589914,10019.53188,8611.117755,9942.433465,11702.40669,15066.56021,21854.54953,11329.98863,12175.89058,14330.01599,18904.39052,20132.0659,22841.75781,25651.56315,30125.92886,34494.28806,34674.37295,30100.83585,28891.80871,29746.97903,28277.77438,28710.83493,30430.39329
DZA,Algeria,DZ,NE.GDI.PUB.CD,"Gross capital formation, Public sector  (current US$)",millions,U.S. dollars,,,,,,,,,,,8493.093003,2811.345305,3325.273286,4352.163595,4179.061728,3912.548647,2591.079894,4076.951483,4399.645926,3337.05381,4277.569167,4628.569578,5695.808519,5519.777282,6728.820781,21993.50733,23635.5523,32196.00995,44961.79367,44187.63347,43947.00772,50465.83492,51738.00826,56519.6646,62725.55106,54176.35158,51778.79628,51355.08773,58039.9596,59512.26735,60673.67688
