,0,1,2,3,4,5,6,7,8,9
0,,Name,Native,Adm.,Population Census (C) 1977-02-12,Population Census (C) 1987-03-20,Population Census (C) 1998-08-28,Population Census (C) 2008-04-14,Area,
1,,Adrar,أدرار,ADR,"11,956","28,580","42,732","68,276",0,
2,,Aflou,آفلو,LAG,"16,320","29,890","47,996","93,585",0,
3,,Aïn Arnat,عين أرنات,SET,"5,656",...,"13,694","25,315",0,
4,,Aïn Azel,عين ازال,SET,"9,261",...,"30,238","37,970",0,
5,,Aïn Béïda,عين البيضاء,OEB,"42,578","61,997","88,290","116,064",0,
6,,Aïn Bessem,عين بسام,BOI,"13,022",...,"28,431","32,548",0,
7,,Aïn Defla,عين الدفلى,ADE,"15,288",...,"41,222","55,259",0,
8,,Aïn El Hadjel,عين الحجل,MSI,"6,266","14,820","24,348","28,728",0,
9,,Aïn El Melh,عين الملح,MSI,"6,393","13,952","21,789","32,880",0,
10,,Aïn El Turk,عين الترك,ORA,"11,786","21,016","25,921","36,326",0,
11,,Aïn Fakroun,عين الفكرون,OEB,"11,829","25,432","40,729","48,804",0,
12,,Aïn Kercha,عين كرشة,OEB,"7,773","13,915","25,556","30,575",0,
13,,Aïn M'lila,عين مليلة,OEB,"26,752",...,"50,672","65,371",0,
14,,Aïn Oulmane,عين أولمان,SET,"12,564","21,676","39,033","51,207",0,
15,,Aïn Oussera,عين وسارة,DJE,"17,173","44,270","81,145","98,107",0,
16,,Aïn Sefra,عين  الصفراء,NAA,"14,786",...,"33,600","47,415",0,
17,,Aïn Smara,عين سمارة,CON,"2,815",...,"20,318","32,057",0,
18,,Aïn Taya,عين طاية,DJZ,"12,295","17,710","28,430","33,575",0,
19,,Aïn Témouchent,عين تموشنت,ATE,"38,298","47,479","55,230","70,810",0,
20,,Aïn Touta,عين التوتة,BAT,"14,693","28,915","44,904","55,736",0,
21,,Akbou,أقبو,BEJ,"19,992","24,648","32,791","38,291",0,
22,,Ammi Moussa,عمي موسى,REL,"5,896","11,258","24,766","27,530",0,
23,,Annaba,عنابة,ANN,...,"222,518","331,539","342,703",0,
24,,Arzew,أرزيو,ORA,"20,970",...,"56,241","58,162",0,
25,,Azazga,عزازقة,TIZ,"14,246",...,"22,135","26,515",0,
26,,Azzaba,عزابة,SKI,"15,733",...,"29,344","33,766",0,
27,,Barika,بريكة,BAT,"26,315","56,488","79,508","98,141",0,
