,0,1,2,3,4,5
0,Name,Status,Native,Population Census 1998-06-25,Population Census 2008-04-14,
1,Adrar,Province,أدرار,"311,615","399,714",
2,Adrar,Province Capital,أدرار,"43,903","64,781",
3,Akabli,Commune,أقبلى,"7,513","10,171",
4,Aougrout,Commune,أوقرت,"9,878","11,784",
5,Aoulef,Commune,أولف,"15,229","21,723",
6,Bordj Badji Mokhtar,Commune,برج باجى مختار,"9,323","16,437",
7,Bouda,Commune,بودة,"8,668","9,938",
8,Charouine,Commune,شروين,"8,678","11,347",
9,Deldoul,Commune,دلدول,"7,465","8,647",
10,Fenoughil,Commune,فنوغيل,"9,962","11,793",
11,In Zghmir,Commune,ان زغمير,"14,062","16,185",
12,Ksar Kaddour,Commune,قصر قدور,"3,500","4,742",
13,Metarfa,Commune,المطارفة,"7,061","8,438",
14,Ouled Ahmed Tammi,Commune,أولاد أحمد تيمى,"11,976","13,547",
15,Ouled Aïssa,Commune,أولاد عيسى,"5,497","7,034",
16,Ouled Saïd,Commune,أولاد السعيد,"7,538","8,219",
17,Reggane,Commune,رقان,"14,179","20,402",
18,Sali,Commune,سالى,"11,304","13,138",
19,Sebaa,Commune,السبع,"1,989","2,312",
20,Talmine,Commune,طالمين,"9,469","12,768",
21,Tamantit,Commune,تامنطيت,"7,912","9,481",
22,Tamekten,Commune,تمقتن,"14,134","18,598",
23,Tamest,Commune,تأماست,"6,658","8,266",
24,Timiaouine,Commune,تيمياوين,"4,206","4,493",
25,Timimoun,Commune,تيميمون,"28,595","33,060",
26,Tinerkouk,Commune,تنيركوك,"13,393","15,980",
27,Tit,Commune,تيت,"3,160","4,417",
28,Tsabit,Commune,تسابيت,"11,832","14,895",
29,Zaouiet Kounta,Commune,زاوية كنتة,"14,531","17,116",
30,Aïn Defla,Province,عين الدفلى,"660,342","766,013",
31,Aïn Benian,Commune,عين البنيان,"4,677","5,488",
32,Aïn Bouyahia,Commune,عين بويحى,"13,920","16,213",
33,Aïn Defla,Province Capital,عين الدفلى,"52,276","65,453",
34,Aïn Lechiekh,Commune,عين الاشياخ,"12,119","13,745",
35,Aïn Soltane,Commune,عين السلطان,"18,541","21,565",
36,Aïn Torki,Commune,عين التركى,"8,280","9,546",
37,Arib,Commune,عريب,"20,782","24,980",
38,Bathia,Commune,بطحية,"5,919","6,238",
39,Belaas,Commune,بالعاص,"5,303","5,452",
40,Ben Allal,Commune,بن علال,"7,979","9,068",
41,Birbouche,Commune,بربوش,"4,686","4,897",
42,Bir Ould Khelifa,Commune,بئر أولاد خليفة,"10,568","12,846",
43,Bordj Emir Khaled,Commune,برج الامير خالد,"7,201","8,598",
44,Boumedfaa,Commune,بومدفع,"17,898","21,509",
45,Bourached,Commune,بوراشد,"25,844","29,680",
46,Djelida,Commune,جليدة,"30,371","36,076",
47,Djemaa Ouled Cheikh,Commune,جمعة أولاد الشيخ,"6,987","7,534",
48,Djendel,Commune,جندل,"26,849","30,170",
49,El Abadia,Commune,العبادية,"33,221","40,697",
50,El Amra,Commune,العامرة,"25,890","31,073",
51,El Attaf,Commune,العطاف,"50,197","57,737",
52,El Hassania,Commune,الحسنية,"4,389","4,037",
53,El Maine,Commune,الماين,"11,319","12,835",
54,Hammam Righa,Commune,حمام ريغة,"7,133","8,488",
55,Hoceinia,Commune,حسينية,"7,617","7,799",
56,Khemis Miliana,Commune,خميس مليانة,"74,349","84,574",
57,Mekhatria,Commune,المختارية,"14,963","17,129",
58,Miliana,Commune,مليانة,"39,662","44,201",
59,Oued Chorfa,Commune,وادى الشرفاء,"11,960","13,353",
60,Oued Djemaa,Commune,وادى جمعة,"9,891","9,555",
61,Rouina,Commune,روينة,"17,437","21,572",
62,Sidi Lakhdar,Commune,سيدي الاخضر,"16,902","20,970",
63,Tacheta Zougagha,Commune,تاشتة زقاغة,"19,711","23,397",
64,Tarik Ibn Ziad,Commune,طارق بن زياد,"9,739","10,285",
65,Tiberkanine,Commune,تبركانين,"14,907","16,384",
66,Zeddine,Commune,زدين,"10,853","12,870",
67,Aïn Témouchent,Province,عين تيموشنت,"327,331","371,239",
68,Aghlal,Commune,أغلال,"6,841","6,899",
69,Aïn El Arbaa,Commune,عين الاربعاء,"12,443","15,140",
70,Aïn Kihal,Commune,أولاد دكجال,"3,064","3,477",
71,Aïn Témouchent,Province Capital,عين تموشنت,"57,673","72,940",
72,Aïn Tolba,Commune,عين الطلبة,"11,188","12,485",
73,Aoubellil,Commune,عقب الليل,"4,339","4,722",
74,Béni Saf,Commune,بني صاف,"39,668","42,284",
75,Bouzedjar,Commune,بوزجار,"4,251","4,387",
76,Chaabat El Leham,Commune,شعبة اللحم,"13,438","14,219",
77,Chentouf,Commune,شنتوف,"2,444","2,839",
78,El Amria,Commune,العامرية,"19,632","21,790",
79,El Emir Abdelkader,Commune,الأمير عبد القادر,"3,691","4,396",
80,El Malah,Commune,المالح,"16,162","18,287",
81,El Messaid,Commune,المساعد,"3,971","4,362",
82,Hammam Bou Hadjar,Commune,حمام بو حجر,"29,633","33,939",
83,Hassasna,Commune,الحساسنة,"3,772","4,039",
84,Hassi El Ghella,Commune,حاسى الغلة,"10,487","11,700",
85,Oued Berkeche,Commune,وادى برقش,"3,773","4,192",
86,Oued Sabah,Commune,وادى الصباح,"9,478","10,527",
87,Ouled Boudjemaa,Commune,أولاد بوجمعة,"5,322","6,013",
88,Ouled Kihal,Commune,عين الكيحل,"8,192","9,256",
89,Oulhaça El Gheraba,Commune,الغرابة,"15,031","15,419",
90,Sidi Ben Adda,Commune,سيدي بن عدة,"12,224","13,598",
91,Sidi Boumedienne,Commune,سيدي بومدين,"2,899","3,264",
92,Sidi Ouriache,Commune,تادماى,"5,540","5,871",
93,Sidi Safi,Commune,أولحسة,"6,346","7,512",
94,Tamzoura,Commune,تامزورة,"8,665","9,599",
95,Terga,Commune,تارقة,"7,165","8,083",
96,Annaba,Province,عنابة,"557,818","609,499",
97,Aïn Berda,Commune,عين بوردة,"17,446","20,611",
98,Annaba,Province Capital,عنابة,"247,701","257,359",
99,Barrahal,Commune,برحال,"18,681","22,631",
100,Chetaïbi,Commune,شطايبي,"7,583","8,035",
101,Cheurfa,Commune,الشرفة,"9,386","9,875",
102,El Bouni,Commune,البوني,"111,956","125,265",
103,El Eulma,Commune,العلمة,"8,711","10,316",
104,El Hadjar,Commune,الحجار,"33,878","37,364",
105,Oued El Aneb,Commune,وادي العنب,"17,306","21,088",
106,Seraïdi,Commune,سعايدي,"7,193","7,626",
107,Sidi Amar,Commune,سيدي عامر,"72,889","83,254",
108,Treat,Commune,تريت,"5,089","6,076",
109,Batna,Province,باتنة,"962,623","1,119,791",
110,Abdelkader Azil (Metkaouak),Commune,المتكوك,"12,133","14,304",
111,Aïn Djasser,Commune,عين جاسر,"13,232","15,704",
112,Aïn Touta,Commune,عين التوتة,"52,143","59,904",
113,Aïn Yagout,Commune,عين ياقوت,"8,988","10,856",
114,Arris,Commune,أريس,"24,607","30,207",
115,Barika,Commune,بريكة,"85,670","104,388",
116,Batna,Province Capital,باتنة,"247,520","290,645",
117,Ben Foudala El Hakania,Commune,بنى فضالة الحقانية,"1,142","1,511",
118,Bitam,Commune,بيطام,"9,270","11,855",
119,Boulhilat,Commune,بوالحيلات,"6,593","7,177",
120,Boumaguer,Commune,بومقر,"7,413","8,474",
121,Boumia,Commune,بومية,747,854,
122,Bouzina,Commune,بوزينة,"13,888","13,383",
123,Chemora,Commune,شمرة,"15,091","17,074",
124,Chir,Commune,شير,"5,539","5,478",
125,Djerma,Commune,جرمة,"3,063","3,436",
126,Djezar,Commune,الجزار,"17,657","22,124",
127,El Hassi,Commune,الحاسى,"6,964","7,990",
128,El Madher,Commune,المعذر,"15,565","18,502",
129,Fesdis,Commune,فسديس,"5,811","7,517",
130,Foum Toub,Commune,فم الطوب,"5,844","6,025",
131,Ghassira,Commune,غسيرة,"6,546","7,327",
132,Gosbat,Commune,القصبات,"15,778","17,074",
133,Guigba,Commune,قيقبة,"9,708","10,225",
134,Hidoussa,Commune,حيدوسة,"2,529","2,378",
135,Ichmoul,Commune,إيشمول,"9,887","10,240",
136,Inoughissen,Commune,اينوغيسن,"3,919","3,484",
137,Kimmel,Commune,كيمل,"3,014","4,355",
138,Ksar Bellezma,Commune,قصر بلازمة,"7,942","9,033",
139,Lazrou,Commune,لازرو,"4,598","5,143",
140,Lemsane,Commune,لمسان,"4,572","5,108",
141,Maafa,Commune,معافة,"2,780","2,880",
142,M'doukel,Commune,أمدوكل,"7,213","9,010",
143,Menaa,Commune,منعة,"11,855","13,510",
144,Merouana,Commune,مروانة,"34,788","38,656",
145,N'Gaous,Commune,نقاوس,"25,731","29,504",
146,Oued Chaaba,Commune,وادى الشعبة,"5,835","7,236",
147,Oued El Ma,Commune,وادى الماء,"16,947","20,288",
148,Oued Taga,Commune,وادى الطا قة,"16,154","18,116",
149,Ouled Ammar,Commune,أولاد عمار,"7,006","8,756",
150,Ouled Aouf,Commune,أولاد عوف,"1,411","1,724",
151,Ouled Fadel,Commune,أولاد فاضل,"9,882","10,860",
152,Ouled Sellam,Commune,أولاد سلام,"17,866","19,635",
153,Ouled Si Slimane,Commune,أولاد سى سليمان,"11,406","12,473",
154,Ouyoun El Assafir,Commune,عيون العصا فير,"8,969","11,513",
155,Rahbat,Commune,الرحبات,"9,051","10,806",
156,Ras El Aioun,Commune,رأس العيون,"18,791","22,551",
157,Sefiane,Commune,سفيان,"11,939","14,327",
158,Seggana,Commune,سقانة,"4,673","5,769",
159,Seriana,Commune,سريانة,"11,714","15,445",
160,Talkhamt,Commune,تالخمت,"17,728","19,973",
161,Taxlent,Commune,تاكسلانت,"7,875","8,605",
162,Tazoult,Commune,تازولت,"22,114","27,493",
163,Teniet El Abed,Commune,ثنية العابد,"10,471","11,388",
164,Tighanimine,Commune,تغانمين,"3,787","4,142",
165,Tigherghar,Commune,تغرغار,"6,066","6,800",
166,Tilatou,Commune,تيلاطو,"2,367","3,004",
167,Timgad,Commune,تيمقاد,"10,937","11,828",
168,T'Kout,Commune,تكوت,"10,629","11,161",
169,Zanet El Beida,Commune,زانة البيضاء,"9,265","10,564",
170,Béchar,Province,بشار,"225,546","270,061",
171,Abadla,Commune,العبادلة,"10,845","13,636",
172,Béchar,Province Capital,بشار,"134,954","165,627",
173,Béni Abbès,Commune,بنى عباس,"8,850","10,885",
174,Beni Ikhlef,Commune,بنى يخلف,"2,280","2,459",
175,Beni Ounif,Commune,بنى و نيف,"8,199","10,732",
176,Boukaïs,Commune,بوقا يس,890,970,
177,El Ouata,Commune,الوطاء,"7,014","7,343",
178,Erg Ferradj,Commune,عرق فراج,"4,670","4,406",
179,Igli,Commune,ايقلى,"5,474","6,682",
180,Kenadsa,Commune,قنادسة,"11,667","13,492",
181,Kerzaz,Commune,كرزاز,"4,276","5,028",
182,Ksabi,Commune,قصابى,"2,656","3,187",
183,Lahmar,Commune,الاحمر,"1,404","1,969",
184,Mechraa Houari Boumedienne,Commune,مشرع هوارى بومدين,"3,133","3,091",
185,Meridja,Commune,مريجة,532,592,
186,Mougheul,Commune,موغل,682,635,
187,Ouled Khoudir,Commune,أولاد خدير,"3,893","4,251",
188,Tabelbala,Commune,تبلبلة,"4,663","5,121",
189,Taghit,Commune,تاغيت,"6,047","6,317",
190,Tamtert,Commune,تامترت,"1,302","1,249",
191,Timoudi,Commune,تيمودى,"2,116","2,389",
192,Béjaïa,Province,بجاية,"856,840","912,577",
193,Adekar,Commune,أذكار,"13,495","13,067",
194,Aït R'zine,Commune,آيت رزين,"14,619","14,563",
195,Aït-Smail,Commune,آيت اسماعيل,"10,690","11,783",
196,Akbou,Commune,أقبو,"44,854","53,282",
197,Akfadou,Commune,أكفادو,"7,502","7,358",
198,Amalou,Commune,أمالو,"9,116","8,602",
199,Amizour,Commune,أميزور,"34,217","37,562",
200,Aokas,Commune,أوقاس,"14,494","15,989",
201,Barbacha,Commune,برباشة,"18,391","16,901",
202,Béjaïa,Province Capital,بجاية,"150,195","177,988",
203,Beni Djellil,Commune,بن جليل,"8,983","7,795",
204,Beni Ksila,Commune,نى قسيلة,"4,586","4,385",
205,Beni Maouche,Commune,بنى معوش,"15,157","13,412",
206,Beni Mellikeche,Commune,بنى مليكش,"9,643","8,497",
207,Boudjellil,Commune,بوجليل,"12,430","11,486",
208,Bouhamza,Commune,بوحمزة,"10,846","9,123",
209,Boukhelifa,Commune,بوخليفة,"9,518","8,766",
210,Chellata,Commune,شلاطة,"9,648","9,770",
211,Chemini,Commune,شميني,"15,410","15,274",
212,Darguina,Commune,درقينة,"13,174","14,146",
213,Draâ El-Kaïd,Commune,ذراع القايد,"27,900","29,221",
214,El Kseur,Commune,القصر,"26,886","29,842",
215,Fenaïa Ilmaten,Commune,إفلاين الماثن,"11,995","11,825",
216,Ferraoun,Commune,فرعون,"15,563","15,482",
217,Ighil Ali,Commune,إغيل على,"10,546","9,526",
218,Ighram,Commune,إغرم,"13,711","12,387",
219,Kendira,Commune,قنديرة,"6,687","5,364",
220,Kherrata,Commune,خراطة,"31,743","35,077",
221,Leflaye,Commune,لفلاى,"6,620","6,433",
222,M'cisna (Sidi Saïd),Commune,مكيسنة,"8,462","7,941",
223,Melbou,Commune,ملبو,"9,990","11,396",
224,Oued Ghir,Commune,وادى غير,"15,728","19,345",
225,Ouzellaguen,Commune,أوزلاقن,"21,547","22,719",
226,Seddouk,Commune,صدوق,"19,064","20,573",
227,Semaoun,Commune,سمعون,"13,157","13,616",
228,Sidi Aïch,Commune,سيدي عيش,"11,373","13,775",
229,Sidi Ayad,Commune,سيدي عياد,"5,059","5,416",
230,Souk El Ténine,Commune,سوق الاثنين,"11,762","14,045",
231,Souk Oufella,Commune,السوق أوفلا,"9,776","8,931",
