,0,1,2,3,4,5,6,7,8,9,10,11
0,,Name,Abbr.,Native,Capital,Area A (km²),Population Census (C) 1977-02-12,Population Census (C) 1987-03-20,Population Census (C) 1998-06-25,Population Census (C) 2008-04-14,,
1,,Algeria,DZA,الجزائر,El Djazaïr,"2,381,741","16,948,000","23,038,942","29,100,867","34,080,030",,
2,,Adrar,ADR,أدرار,Adrar,"439,700","137,491","217,678","311,615","399,714",43970000,
3,,Aïn Defla,ADE,عين الدفلى,Aïn Defla,"4,897","391,437","537,256","660,342","766,013",489700,
4,,Aïn Témouchent,ATE,عين تيموشنت,Aïn Témouchent,"2,379","219,263","274,990","327,331","371,239",237900,
5,,Annaba,ANN,عنابة,Annaba,"1,439","350,032","455,888","557,818","609,499",143900,
6,,Batna,BAT,باتنة,Batna,"12,192","513,500","752,617","962,623","1,119,791",1219200,
7,,Béchar,BEC,بشار,Béchar,"162,200","126,500","185,346","225,546","270,061",16220000,
8,,Béjaïa,BEJ,بجاية,Béjaïa,"3,268","511,600","700,952","856,840","912,577",326800,
9,,Biskra,BIS,بسكرة,Biskra,"20,986","329,912","430,202","575,858","721,356",2098600,
10,,Blida,BLI,البليدة,Blida,"1,696","500,994","702,188","784,283","1,002,937",169600,
11,,Bordj Bou Arreridj,BBA,برج بو عريريج,Bordj Bou Arreridj,"4,115","309,303","424,828","555,402","628,475",411500,
12,,Bouira,BOI,البويرة,Bouira,"4,439","374,267","526,900","629,560","695,583",443900,
13,,Boumerdès,BOM,بومرداس,Boumerdès,"1,591","439,647","650,975","647,389","802,083",159100,
14,,Chlef,CHL,الشلف,Chlef,"4,795","429,807","684,192","858,695","1,002,088",479500,
15,,Constantine,CON,قسنطينة,Constantine,"2,187","478,339","664,303","810,914","938,475",218700,
16,,Djelfa,DJE,الجلفة,Djelfa,"66,415","332,535","494,494","797,706","1,092,184",6641500,
17,,El Bayadh,BAY,البيض,El Bayadh,"78,870","114,794","153,254","168,789","228,624",7887000,
18,,El Djazaïr [ Algiers ],DJZ,الجزائر,El Djazaïr,273,"1,587,888","1,690,191","2,562,428","2,988,145",27300,
19,,El Oued,OUE,الواد,El Oued,"54,573","259,947","376,909","504,401","647,548",5457300,
20,,El Tarf,TAR,الطارف,El Tarf,"3,339","193,497","275,315","352,588","408,414",333900,
21,,Ghardaïa,GHA,غرداية,Ghardaïa,"86,105","162,486","216,140","300,516","363,598",8610500,
22,,Guelma,GUE,قالمة,Guelma,"4,101","276,998","353,309","430,000","482,430",410100,
23,,Illizi,ILL,إليزي,Illizi,"285,000","12,078","18,930","34,108","52,333",28500000,
24,,Jijel,JIJ,جيجل,Jijel,"2,577","342,535","472,312","573,208","636,948",257700,
25,,Khenchela,KHE,خنشلة,Khenchela,"9,811","189,026","246,541","327,917","386,683",981100,
26,,Laghouat,LAG,الأغواط,Laghouat,"25,057","148,418","212,388","317,125","455,602",2505700,
27,,Mascara,MAS,معسكر,Mascara,"5,941","407,663","566,901","676,192","784,073",594100,
28,,Médéa,MED,المدية,Médéa,"8,866","475,847","652,863","802,078","819,932",886600,
29,,Mila,MIL,ميلة,Mila,"9,375","378,655","511,605","674,480","766,886",937500,
30,,Mostaganem,MOS,مستغانم,Mostaganem,"2,175","360,918","505,932","631,057","737,118",217500,
31,,M'Sila,MSI,المسيلة,M'Sila,"18,718","416,723","604,693","805,519","990,591",1871800,
32,,Naâma,NAA,النعامة,Naâma,"29,950","82,555","113,700","127,314","192,891",2995000,
33,,Oran,ORA,وهران,Oran,"2,121","691,660","932,473","1,213,839","1,454,078",212100,
34,,Ouargla,OUA,ورقلة,Ouargla,"211,980","197,332","284,454","445,619","558,558",21198000,
35,,Oum El Bouaghi,OEB,أم البواقي,Oum El Bouaghi,"6,768","305,717","403,936","519,170","621,612",676800,
36,,Relizane,REL,غليزان,Relizane,"4,870","368,512","544,877","642,205","726,180",487000,
37,,Saïda,SAI,سعيدة,Saïda,"6,764","143,786","235,494","279,526","330,641",676400,
38,,Sétif,SET,سطيف,Sétif,"6,504","686,540","1,000,694","1,311,413","1,489,979",650400,
39,,Sidi bel Abbès,SBA,سيدي بلعباس,Sidi bel Abbès,"9,096","321,890","446,277","525,632","604,744",909600,
40,,Skikda,SKI,سكيكدة,Skikda,"4,026","466,932","622,510","786,154","898,680",402600,
41,,Souk Ahras,SAH,سوق أهراس,Souk Ahras,"4,541","225,669","296,077","367,455","438,127",454100,
42,,Tamanrasset,TAM,تمنراست,Tamanrasset,"556,200","42,096","95,822","137,175","176,637",55620000,
43,,Tébessa,TEB,تبسة,Tébessa,"14,227","306,814","410,233","549,066","648,703",1422700,
44,,Tiaret,TIA,تيارت,Tiaret,"20,673","407,330","575,794","725,853","846,823",2067300,
45,,Tindouf,TIN,تيندوف,Tindouf,"159,000","7,417","16,428","27,060","49,149",15900000,
46,,Tipaza,TIP,تيبازة,Tipaza,"2,166","450,598","620,151","506,053","591,010",216600,
47,,Tissemsilt,TIS,تيسمسيلت,Tissemsilt,"3,152","170,269","228,120","264,240","294,476",315200,
48,,Tizi Ouzou,TIZ,تيزي وزو,Tizi Ouzou,"3,568","701,976","936,948","1,108,708","1,127,607",356800,
49,,Tlemcen,TLE,تلمسان,Tlemcen,"9,061","535,807","714,862","842,053","949,135",906100,
