Unnamed: 0,Name,Adm.,Population Census (C) 1970-12-15,Population Census (Cf) 2014-05-16,Area
,Alto Hama,HUA,...,17000,0
,Ambriz,BGO,...,11640,0
,Andulo,BIE,...,50000,0
,Baía Farta,BGU,...,45000,0
,Bailundo,HUA,...,70481,0
,Balombo,BGU,...,36361,0
,Barra do Dande,BGO,...,75000,0
,Benguela,BGU,40996,555124,0
,Bibala,NAM,...,10500,0
,Bocoio,BGU,...,35000,0
,Buco-Zau,CAB,...,13217,0
,Caála,HUA,8894,130000,0
,Cabinda (Tchiowa),CAB,21124,550000,0
,Cacolo,LSU,...,13498,0
,Caconda,HUI,...,15000,0
,Cacuso,MAL,...,39302,0
,Cafunfo,LNO,...,90000,0
,Cahama,CNN,...,12767,0
,Caimbambo,BGU,...,14544,0
,Calai,CCU,...,8741,0
,Calandula,MAL,...,9000,0
,Calucinga,BIE,...,15000,0
,Calulo,CZS,...,44000,0
,Caluquembe,HUI,...,31000,0
,Camabatela,CZN,...,21767,0
,Camacupa,BIE,5740,59000,0
,Camanongue,MOX,...,12930,0
,Cambundi,MAL,...,17212,0
,Cangandala,MAL,...,16232,0
,Cassanguide,LNO,...,20000,0
,Catabola,BIE,...,28831,0
,Catchiungo,HUA,...,26974,0
,Catumbela,BGU,...,95034,0
,Caxito,BGO,...,55000,0
,Cazombo,MOX,...,34000,0
,Cela,CZS,...,90000,0
,Chibia,HUI,...,10000,0
,Chicomba,HUI,...,9428,0
,Chinguar,BIE,...,26811,0
,Chipindo,HUI,...,10000,0
,Chitembo,BIE,...,25000,0
,Chongoroi,BGU,...,12000,0
,Conda,CZS,...,21260,0
,Cuango,LNO,...,55000,0
,Cubal,BGU,...,90367,0
,Cuchi,CCU,...,15000,0
,Cuemba,BIE,...,19995,0
,Cuimba,ZAI,...,41878,0
,Cunhinga,BIE,...,11812,0
,Dala,LSU,...,7514,0
,Damba,UIG,...,12000,0
,Dombe Grande,BGU,...,25000,0
,Dondo,CZN,...,64643,0
,Dundo (Luachimo),LNO,...,177604,0
,Ebo,CZS,...,10000,0
,Ekunha,HUA,...,13997,0
,Gabela,CZS,6930,116903,0
,Gama,BGU,...,66202,0
,Ganda,BGU,...,65000,0
,Golungo Alto,CZN,...,19992,0
,Huambo (Nova Lisboa),HUA,61885,595304,0
,Jamba,HUI,...,12000,0
,Kuito (Cuito),BIE,18941,355423,0
,Lândana (Cacongo),CAB,...,15000,0
,Lobito,BGU,59528,357950,0
,Londuimbale,HUA,...,17000,0
,Longonjo,HUA,...,23000,0
,Luanda,LUA,475328,6759313,0
,Luau,MOX,...,55432,0
,Lubango,HUI,31674,600751,0
,Lucala,CZN,...,19422,0
,Lucapa,LNO,...,110000,0
,Luena,MOX,2539,273675,0
,Lumbala,MOX,...,19000,0
,Lumeje Kameia,MOX,...,14138,0
,Malanje,MAL,31599,455000,0
,Maquela do Zombo,UIG,...,42000,0
,Matala,HUI,...,78000,0
,Mavinga,CCU,...,10000,0
,M'banza-Kongo,ZAI,4002,148000,0
,Menongue,CCU,3023,251178,0
,Moçâmedes (Namibe),NAM,12076,255000,0
,Muconda,LSU,...,8000,0
,Mungo,HUA,...,21662,0
,Mussende,CZS,...,33558,0
,N'dalatando,CZN,7342,161584,0
,Negage,UIG,...,92950,0
,N'Harea,BIE,...,18000,0
,Nzagi (Andrada),LNO,...,60000,0
,N'Zeto,ZAI,...,28840,0
,Ondjiva (N'Giva),CNN,...,121537,0
,Porto Amboim,CZS,...,91605,0
,Praia Bebe,BGU,...,9082,0
,Puri,UIG,...,7598,0
,Quibala,CZS,...,27128,0
,Quibaxe,BGO,...,8268,0
,Quilenda,CZS,...,13726,0
,Quipungo,HUI,...,23014,0
,Santa Clara,CNN,...,29000,0
,Sanza Pombo,UIG,...,23000,0
,Saurimo,LSU,12901,393000,0
,Seles (Uku),CZS,...,47421,0
,Songo,UIG,...,31382,0
,Soyo,ZAI,...,200920,0
,Sumbe (Novo Redondo),CZS,7911,205832,0
,Tomboco,ZAI,...,20358,0
,Tômbua,NAM,8235,46573,0
,Uíge (Carmona),UIG,11972,322531,0
,Ukuma,HUA,...,21809,0
,Xangongo,CNN,...,35000,0
