Name,Status,Population Census 2014-05-16,Unnamed: 3
Bengo,Province,356641,→
Ambriz,Commune,12984,→
Barra do Dande,Commune,95989,→
Bela Vista,Commune,4346,→
Bula-Atumba,Commune,11964,→
Cage,Commune,8395,→
Canacassala,Commune,9407,→
Caxito,Commune,77276,→
Cazuangongo (Kazua),Commune,676,→
Gombe,Commune,10012,→
Mabubas,Commune,25970,→
Muxaluando,Commune,9618,→
Pango-Aluquém,Commune,6330,→
Paredes,Commune,2020,→
Piri,Commune,7899,→
Quiage,Commune,1490,→
Quibaxe,Commune,18176,→
Quicabo,Commune,12835,→
Quicunzo,Commune,8587,→
Quixico,Commune,6843,→
São José das Matas,Commune,1963,→
Tabi,Commune,5382,→
Úcua,Commune,10458,→
Zala,Commune,8020,→
Benguela,Province,2231385,→
Babaera,Commune,27044,→
Baía Farta,Commune,61572,→
Balombo,Commune,47806,→
Benguela,Commune,561775,→
Biópio,Commune,5488,→
Bocoio,Commune,63438,→
Bolonguera,Commune,9726,→
Caimbambo,Commune,35654,→
Calahanga,Commune,3082,→
Canhamela,Commune,19754,→
Canjala,Commune,13684,→
Capupa,Commune,63440,→
Casseque,Commune,46087,→
Catengue,Commune,15347,→
Catumbela,Commune,95034,→
Cayavi,Commune,3101,→
Chicuma,Commune,44762,→
Chila,Commune,17666,→
Chindumbo,Commune,26374,→
Chingongo,Commune,20619,→
Chongoroi,Commune,67539,→
Cubal,Commune,166783,→
Cubal do Lumbo (Cavimbe),Commune,30788,→
Dombe Grande,Commune,41434,→
Ebanga,Commune,23984,→
Egipto Praia,Commune,13198,→
Equimina,Commune,1752,→
Gama,Commune,66202,→
Ganda,Commune,93609,→
Kamuine,Commune,10014,→
Lobito,Commune,366198,→
Maka-Mombolo,Commune,14166,→
Monte Belo,Commune,37947,→
Passe,Commune,14846,→
Praia Bebe,Commune,9082,→
"Tumbulo (Lomaum, Quendo)",Commune,24262,→
Wyangombe,Commune,16983,→
Yambala,Commune,51147,→
Bié,Province,1455255,→
Andulo,Commune,120003,→
Belo Horizonte,Commune,23718,→
Cachingues,Commune,13580,→
Caiei,Commune,25528,→
Caiuera,Commune,13951,→
Calucinga,Commune,73872,→
Camacupa,Commune,92236,→
Cangote,Commune,34980,→
