,0,1,2,3,4,5,6,7,8
0,,Name,Adm.,Population Census (C) 1979-03-20,Population Census (C) 1992-02-15,Population Census (Cf) 2002-02-15,Population Census (Cf) 2013-05-11,Area,
1,,Abomey,ZOU,"38,412","51,300","59,672","67,885",0,
2,,Abomey-Calavi,ATL,...,"21,270","61,450","117,824",0,
3,,Adja-Ouèrè,PLA,...,"13,880","16,905","21,968",0,
4,,Adjarra,OUE,...,"12,100","16,255","24,132",0,
5,,Akpro-Missérété,OUE,...,"16,320","22,491","41,657",0,
6,,Allada,ATL,"12,022","12,360","14,915","23,287",0,
7,,Aplahoué,COU,"11,595","15,176","21,443","26,340",0,
8,,Athiémé,MON,...,"9,517","10,925","15,195",0,
9,,Avrankou,OUE,...,"10,670","13,734","20,326",0,
10,,Banikoara,ALI,...,"15,753","23,203","37,571",0,
11,,Bantè,COL,...,"8,320","15,297","17,682",0,
12,,Bassila,DON,...,"16,544","25,441","46,569",0,
13,,Bembéréké,BOR,"10,285","15,719","24,594","31,176",0,
14,,Bohicon,ZOU,"22,731","43,453","65,974","93,744",0,
15,,Boukoumbé,ATA,...,"16,040","16,843","22,386",0,
16,,Cobly ( Kobli ),ATA,...,"13,970","17,809","24,878",0,
17,,Comè,MON,"12,416","19,054","29,069","42,586",0,
18,,Copargo,DON,...,"12,030","19,020","28,605",0,
19,,Cotonou,LIT,"320,348","536,827","665,100","679,012",7900,
20,,Dassa-Zoumé,COL,"11,466","15,765","23,068","29,461",0,
21,,Djakotomey,COU,...,"11,420","15,111","19,498",0,
22,,Djidja,ZOU,...,"9,980","15,549","23,781",0,
23,,Djougou,DON,"28,934","49,769","63,626","94,773",0,
24,,Dogbo-Tota,COU,"16,742","26,320","31,107","41,341",0,
25,,Ekpé,OUE,...,"15,620","34,917","75,313",0,
26,,Glazoué,COL,...,"7,380","12,822","20,036",0,
27,,Godomey,ATL,...,"46,100","153,447","253,262",0,
28,,Gogounou,ALI,...,"6,440","10,679","14,248",0,
29,,Ifangni,PLA,...,"19,560","20,524","31,984",0,
30,,Kalalé,BOR,...,"12,820","21,584","35,513",0,
31,,Kandi,ALI,"17,067","26,365","27,227","56,043",0,
32,,Kérou,ATA,...,"21,888","34,246","54,276",0,
33,,Kétou,PLA,...,"15,651","25,102","39,626",0,
34,,Klouékanmè,COU,...,"12,610","16,908","23,763",0,
35,,Kouandé,ATA,...,"12,264","20,723","27,197",0,
36,,Lalo,COU,...,"7,600","10,038","13,451",0,
37,,Lokossa,MON,"12,626","23,209","36,954","47,246",0,
38,,Malanville,ALI,...,"26,002","36,056","64,639",0,
39,,Matéri,ATA,...,"12,870","17,887","24,490",0,
40,,Natitingou,ATA,"13,374","29,370","40,443","53,284",0,
41,,N'Dali,BOR,...,"10,596","15,314","23,264",0,
42,,Nikki,BOR,"15,596","29,048","45,571","66,109",0,
43,,Ouaké,DON,...,"6,460","9,697","17,259",0,
44,,Ouèssè,COL,...,"5,300","11,253","15,658",0,
45,,Ouidah,ATL,"25,459","32,474","37,647","47,616",0,
46,,Ouinhi,ZOU,...,"8,490","11,552","17,043",0,
47,,Parakou,BOR,"60,915","103,577","149,819","255,478",44100,
48,,Péhunco,ATA,...,"15,490","27,101","37,217",0,
49,,Pèrèrè,BOR,...,"7,400","10,782","15,927",0,
50,,Pobè,PLA,"16,633","23,427","33,249","49,232",0,
51,,Porto-Novo,OUE,"133,168","179,138","223,552","264,320",11000,
52,,Sakété,PLA,"19,390","24,170","26,036","43,541",0,
53,,Savalou,COL,"16,612","22,406","28,952","38,162",0,
54,,Savé,COL,...,"19,880","26,440","31,444",0,
55,,Sè,MON,...,"16,360","19,630","26,627",0,
56,,Ségbana,ALI,...,"10,219","16,115","26,440",0,
57,,Sèmè-Kpodji,OUE,...,"8,570","12,582","23,636",0,
58,,Sinendé,BOR,...,"15,520","25,984","35,267",0,
59,,Tanguiéta,ATA,...,"13,894","20,167","27,094",0,
60,,Tchaourou,BOR,...,"14,691","20,838","43,862",0,
61,,Tori-Bossito,ATL,...,"10,730","12,481","14,844",0,
62,,Toucountouna,ATA,...,"8,260","11,785","16,330",0,
63,,Toviklin,COU,...,"11,170","13,562","21,617",0,
64,,Za-Kpota,ZOU,...,"13,630","16,994","26,688",0,
65,,Zè,ATL,...,"7,490","10,987","16,903",0,
66,,Zinvié,ATL,...,"11,590","13,212","18,157",0,
