,0,1,2,3,4,5
0,Name,Status,District,Population Census 2012-08-17,Population Census 2022-04-20,
1,Ward 1,Ward,Bulawayo,"13,241","7,919",
2,Ward 2,Ward,Bulawayo,"27,651","26,238",
3,Ward 3,Ward,Bulawayo,"30,104","35,177",
4,Ward 4,Ward,Bulawayo,"25,268","27,139",
5,Ward 5,Ward,Bulawayo,"18,359","20,161",
6,Ward 6,Ward,Bulawayo,"13,470","13,100",
7,Ward 7,Ward,Bulawayo,"18,128","17,420",
8,Ward 8,Ward,Bulawayo,"23,821","22,176",
9,Ward 9,Ward,Bulawayo,"27,600","25,017",
10,Ward 10,Ward,Bulawayo,"29,131","27,546",
11,Ward 11,Ward,Bulawayo,"19,042","17,632",
12,Ward 12,Ward,Bulawayo,"26,978","25,481",
13,Ward 13,Ward,Bulawayo,"19,528","17,602",
14,Ward 14,Ward,Bulawayo,"20,652","19,860",
15,Ward 15,Ward,Bulawayo,"12,951","13,469",
16,Ward 16,Ward,Bulawayo,"16,716","15,510",
17,Ward 17,Ward,Bulawayo,"17,268","16,235",
18,Ward 18,Ward,Bulawayo,"22,765","21,167",
19,Ward 19,Ward,Bulawayo,"20,912","19,544",
20,Ward 20,Ward,Bulawayo,"18,850","18,242",
21,Ward 21,Ward,Bulawayo,"28,248","25,709",
22,Ward 22,Ward,Bulawayo,"18,982","17,192",
23,Ward 23,Ward,Bulawayo,"19,500","17,321",
24,Ward 24,Ward,Bulawayo,"23,759","21,243",
25,Ward 25,Ward,Bulawayo,"24,909","23,170",
26,Ward 26,Ward,Bulawayo,"20,902","22,311",
27,Ward 27,Ward,Bulawayo,"30,815","39,805",
28,Ward 28,Ward,Bulawayo,"45,114","75,070",
29,Ward 29,Ward,Bulawayo,"18,673","17,496",
30,Bulawayo,City,,"653,337","665,952",
