,0,1,2,3,4,5,6
0,Name,Status,Population Census 1985-12-10,Population Census 1996-12-10,Population Census 2006-12-09,Population Census 2019-11-16,
1,Boucle du Mouhoun,Region,"913,713","1,174,456","1,442,749","1,901,269",
2,Balé,Province,"129,323","168,170","213,423","297,468",
3,Banwa,Province,"158,963","215,297","269,375","346,989",
4,Kossi,Province,"182,276","230,693","278,546","357,089",
5,Mouhoun,Province,"175,043","235,391","297,350","391,561",
6,Nayala,Province,"116,949","136,393","163,433","223,151",
7,Sourou,Province,"151,159","188,512","220,622","285,011",
8,Cascades,Region,"253,360","334,303","531,808","812,466",
9,Comoé,Province,"178,499","241,376","407,528","633,043",
10,Léraba,Province,"74,861","92,927","124,280","179,423",
11,Centre,Region,"640,108","941,894","1,727,390","3,030,384",
12,Kadiogo,Province,"640,108","941,894","1,727,390","3,030,384",
13,Centre-Est,Region,"675,533","853,099","1,132,016","1,580,508",
14,Boulgou,Province,"332,920","415,583","543,570","737,843",
15,Koulpélogo,Province,"144,127","187,399","258,667","362,644",
16,Kouritenga,Province,"198,486","250,117","329,779","480,021",
17,Centre-Nord,Region,"730,149","928,321","1,202,025","1,874,669",
18,Bam,Province,"162,575","211,551","275,191","476,054",
19,Namentenga,Province,"199,850","252,738","328,820","513,796",
20,Sanmatenga,Province,"367,724","464,032","598,014","884,819",
21,Centre-Ouest,Region,"787,229","943,538","1,186,566","1,660,135",
22,Boulkiemdé,Province,"365,223","421,302","505,206","689,709",
23,Sanguié,Province,"217,277","249,583","297,036","391,617",
24,Sissili,Province,"116,215","153,434","208,409","337,078",
25,Ziro,Province,"88,514","119,219","175,915","241,731",
26,Centre-Sud,Region,"432,164","530,696","641,443","788,731",
27,Bazèga,Province,"182,725","213,824","238,425","280,870",
28,Nahouri,Province,"105,509","119,739","157,071","195,816",
29,Zoundwéogo,Province,"143,930","197,133","245,947","312,045",
30,Est,Region,"626,173","853,706","1,212,284","1,942,805",
31,Gnagna,Province,"229,152","307,372","408,669","676,476",
32,Gourma,Province,"173,714","220,116","305,936","437,310",
33,Komondjari ( Komandjoari ),Province,"40,630","50,484","79,507","105,604",
34,Kompienga,Province,"23,818","40,766","75,867","117,682",
35,Tapoa,Province,"158,859","234,968","342,305","605,733",
36,Hauts-Bassins,Region,"743,836","1,031,377","1,469,604","2,239,840",
37,Houet,Province,"493,164","672,114","955,451","1,510,638",
38,Kénédougou,Province,"142,113","198,541","285,695","399,949",
39,Tuy,Province,"108,559","160,722","228,458","329,253",
40,Nord,Region,"760,408","955,420","1,185,796","1,722,115",
41,Loroum,Province,"82,773","111,339","142,853","198,192",
42,Passoré,Province,"223,830","271,864","323,222","457,930",
43,Yatenga,Province,"353,669","444,563","553,164","825,975",
44,Zondoma,Province,"100,136","127,654","166,557","240,018",
45,Plateau-Central,Region,"438,596","572,154","696,372","978,614",
46,Ganzourgou,Province,"195,652","256,921","319,380","482,763",
47,Kourwéogo,Province,"95,246","117,996","138,217","181,242",
48,Oubritenga,Province,"147,698","197,237","238,775","314,609",
49,Sahel,Region,"521,911","708,332","968,442","1,098,177",
50,Oudalan,Province,"106,194","137,160","195,964","158,206",
51,Séno,Province,"150,779","201,760","264,991","404,716",
52,Soum,Province,"186,812","252,993","347,335","363,661",
53,Yagha,Province,"78,126","116,419","160,152","171,594",
54,Sud-Ouest,Region,"441,525","485,313","620,767","875,442",
55,Bougouriba,Province,"65,093","76,498","101,479","153,653",
56,Ioba,Province,"140,250","161,484","192,321","265,956",
57,Noumbiel,Province,"44,428","51,431","70,036","98,915",
58,Poni,Province,"191,754","195,900","256,931","356,918",
59,Burkina Faso,Republic,"7,964,705","10,312,609","14,017,262","20,505,155",
