,0,1,2,3,4,5,6,7,8
0,,Name,Status,Adm.,Population Census (Cf) 1985-12-10,Population Census (C) 1996-12-10,Population Census (Cf) 2006-12-09,Population Census (Cf) 2019-11-16,Area
1,,Arbinda,RLoc,SH,...,...,"9,790","45,818",0
2,,Bama,RLoc,HB,...,...,"22,244","31,215",0
3,,Banfora,City,CA,"35,319","49,724","75,917","117,452",0
4,,Barogo,RLoc,CT,...,...,"1,615","26,539",0
5,,Batié,City,SO,"3,099","5,877","10,105","17,997",0
6,,Béguédo,RLoc,CE,...,...,"15,339","21,894",0
7,,Bittou,City,CE,...,"10,834","20,118","31,210",0
8,,Bobo-Dioulasso,City,HB,"228,668","309,711","489,967","904,920",0
9,,Bogandé,City,ES,"5,333","8,960","14,929","21,443",0
10,,Boromo,City,BM,"8,511","11,232","14,594","20,193",0
11,,Boulsa,City,CN,"11,823","12,280","17,925","24,200",0
12,,Bourzanga,RLoc,CN,...,...,"7,235","27,213",0
13,,Boussé,City,PC,"5,451","10,442","15,868","25,022",0
14,,Cinkansé,RLoc,CE,...,...,"10,913","19,815",0
15,,Dano,City,SO,...,"12,913","16,798","25,922",0
16,,Dédougou,City,BM,"21,049","33,815","38,862","63,617",0
17,,Diapaga,City,ES,...,"5,017","8,400","15,515",0
18,,Diébougou,City,SO,"6,761","11,637","17,937","25,688",0
19,,Djibo,City,SH,"16,082","20,080","28,990","61,462",0
20,,Dori,City,SH,"10,956","23,768","21,078","46,512",0
21,,Fada N'Gourma,City,ES,"20,857","29,254","41,785","73,200",0
22,,Fara,RLoc,BM,...,...,"2,572","20,434",0
23,,Gaoua,City,SO,"10,657","16,424","25,104","45,284",0
24,,Garango,City,CE,"27,242","28,291","35,015","40,404",0
25,,Gayéri,City,ES,...,"2,958","6,060","15,170",0
26,,Gon Boussougou,RLoc,CS,...,...,"10,314","15,336",0
27,,Gorom-Gorom,City,SH,...,...,"8,882","9,752",0
28,,Gourcy,City,ND,"14,401","16,317","24,616","40,141",0
29,,Houndé,City,HB,"8,466","21,830","39,458","87,151",0
30,,Karankasso-Vigué,RLoc,HB,...,...,"5,660","15,474",0
31,,Kaya,City,CN,"25,814","33,958","54,365","121,970",0
32,,Kindi,RLoc,CO,...,...,"11,308","16,424",0
33,,Kombissiri,City,CS,"5,000","16,821","23,460","28,617",0
34,,Kompienga,RLoc,ES,...,...,"8,844","15,024",0
35,,Kongoussi,City,CN,"6,578","17,893","25,172","53,627",0
36,,Korsimoro,RLoc,CN,...,...,"15,994","18,875",0
37,,Koudougou,City,CO,"51,529","72,490","88,184","160,239",0
38,,Kouka,RLoc,BM,...,...,"12,878","17,286",0
39,,Koupéla,City,CE,"9,619","17,619","28,151","49,372",0
40,,Léo,City,CO,"10,961","18,988","26,779","51,743",0
41,,Manga,City,CS,...,"14,035","19,860","28,615",0
42,,Manni,RLoc,ES,...,...,"7,441","15,066",0
43,,Mogtédo,RLoc,PC,...,...,"18,164","25,699",0
44,,Namponkoré,RLoc,ES,...,...,"11,519","16,423",0
45,,Natiaboani,RLoc,ES,...,...,"14,350","16,640",0
46,,Niangoloko,City,CA,"7,950","12,824","22,310","33,292",0
47,,Nioko I,RLoc,CT,...,...,"16,427","65,263",0
48,,Nouna,City,BM,"15,202","19,105","22,166","32,428",0
49,,Orodara,City,HB,"13,037","16,581","23,356","33,422",0
50,,Ouagadougou,City,CT,"465,969","750,398","1,475,223","2,415,266",0
51,,Ouahigouya,City,ND,"38,902","52,193","73,153","124,587",0
52,,Ouargaye,City,CE,...,"8,180","10,103","13,431",0
53,,Pâ,RLoc,BM,...,...,"3,036","15,170",0
54,,Pama,City,ES,...,"4,579","8,541","13,579",0
55,,Pissila,RLoc,CN,...,...,"9,573","23,420",0
56,,Pô,City,CS,"14,242","17,146","24,320","28,079",0
57,,Pouytenga,City,CE,"12,445","35,720","60,618","96,469",0
58,,Réo,City,CO,"18,456","22,534","28,446","33,894",0
59,,Saaba,RLoc,CT,...,...,"9,700","136,011",0
60,,Sabou,RLoc,CO,...,...,"9,047","15,060",0
61,,Saonré,RLoc,CT,...,...,537,"47,728",0
62,,Sapouy,City,CO,...,...,"12,438","26,345",0
63,,Sebba,City,SH,...,"4,259","5,906","11,298",0
64,,Sindou,City,CA,...,...,"4,185","7,053",0
65,,Solenzo,City,BM,...,...,"16,850","24,783",0
66,,Tenkodogo,City,CE,"23,331","31,466","44,491","61,936",0
67,,Tita,RLoc,CO,...,...,"7,295","16,450",0
68,,Titao,City,ND,...,"13,976","19,131","48,241",0
69,,Tô,RLoc,CO,...,...,"9,874","16,026",0
70,,Toma,City,BM,"6,468","9,028","12,401","15,851",0
71,,Tougan ( Bonou-Toaga ),City,BM,"12,588","15,218","17,050","26,347",0
72,,Yako,City,ND,"14,155","18,472","22,685","38,679",0
73,,Yalgo,RLoc,CN,...,...,"14,407","26,340",0
74,,Zabré,RLoc,CE,...,...,"14,889","21,726",0
75,,Zinguédessé,RLoc,CT,...,...,"1,215","19,648",0
76,,Ziniaré,City,PC,...,"11,153","18,619","33,296",0
77,,Zorgho,City,PC,"10,616","17,466","20,462","35,398",0
