,0,1,2,3,4
0,Name,Status,Population Census 2006-12-09,Population Census 2019-11-16,
1,Balé,Province,"213,423","297,468",
2,Bagassi,Commune,"33,309","42,424",
3,Bana,Commune,"13,000","19,787",
4,Boromo,Commune,"29,849","40,229",
5,Fara,Commune,"37,167","61,001",
6,Oury,Commune,"26,805","35,964",
7,Pâ,Commune,"19,755","27,011",
8,Pompoï,Commune,"11,032","14,067",
9,Poura,Commune,"12,026","19,056",
10,Siby,Commune,"14,047","18,559",
11,Yaho,Commune,"16,433","19,370",
12,Bam,Province,"275,191","476,054",
13,Bourzanga,Commune,"47,751","103,266",
14,Guibaré,Commune,"23,454","37,431",
15,Kongoussi,Commune,"70,840","121,595",
16,Nasséré,Commune,"10,393","13,154",
17,Rollo,Commune,"27,242","42,191",
18,Rouko,Commune,"13,624","21,025",
19,Sabcé,Commune,"23,098","35,742",
20,Tikaré,Commune,"35,691","52,263",
21,Zimtenga ( Zimtanga ),Commune,"23,098","49,387",
22,Banwa,Province,"269,375","346,989",
23,Balavé,Commune,"16,200","24,103",
24,Kouka,Commune,"59,118","73,747",
25,Sami,Commune,"8,629","13,596",
26,Sanaba,Commune,"33,009","38,037",
27,Solenzo,Commune,"121,819","158,763",
28,Tansila,Commune,"30,600","38,743",
29,Bazèga,Province,"238,425","280,870",
30,Doulougou,Commune,"26,178","30,155",
31,Gaongo,Commune,"25,495","35,765",
32,Ipelcé,Commune,"12,972","13,857",
33,Kayao,Commune,"33,919","40,691",
34,Kombissiri,Commune,"67,964","77,756",
35,Saponé,Commune,"38,637","44,140",
36,Toécé,Commune,"33,260","38,506",
37,Bougouriba,Province,"101,479","153,653",
38,Bondigui,Commune,"17,374","29,523",
39,Diébougou,Commune,"42,067","63,304",
40,Dolo,Commune,"8,431","10,794",
41,Iolonioro,Commune,"20,688","35,351",
42,Tiankoura,Commune,"12,919","14,681",
43,Boulgou,Province,"543,570","737,843",
44,Bagré,Commune,"29,164","37,855",
45,Bané,Commune,"23,706","34,507",
46,Béguédo,Commune,"19,153","28,094",
47,Bissiga,Commune,"20,997","26,183",
48,Bittou ( Bitou ),Commune,"72,053","102,394",
49,Boussouma,Commune,"26,754","35,892",
50,Garango,Commune,"73,679","91,188",
51,Komtoèga,Commune,"20,674","27,144",
52,Niaogho ( Niaogo ),Commune,"18,975","25,547",
53,Tenkodogo,Commune,"124,985","159,105",
54,Zabré,Commune,"82,767","119,374",
55,Zoaga,Commune,"10,812","13,233",
56,Zonsé,Commune,"19,851","37,327",
57,Boulkiemdé,Province,"505,206","689,709",
58,Bingo,Commune,"15,857","17,154",
59,Imasgo ( Imasgho ),Commune,"22,498","27,762",
60,Kindi,Commune,"32,690","41,881",
61,Kokologo ( Kokologho ),Commune,"39,003","51,670",
62,Koudougou,Commune,"138,209","216,830",
63,Nandiala,Commune,"23,177","31,314",
64,Nanoro,Commune,"32,965","47,914",
65,Pella,Commune,"19,274","24,606",
66,Poa,Commune,"30,279","32,097",
67,Ramongo,Commune,"22,951","29,524",
68,Sabou,Commune,"45,432","61,836",
69,Siglé,Commune,"29,073","35,287",
70,Soaw,Commune,"15,994","22,039",
71,Sourgou,Commune,"13,709","17,532",
72,Thyou,Commune,"24,095","32,263",
73,Comoé,Province,"407,528","633,043",
74,Banfora,Commune,"109,824","160,302",
75,Bérégadougou,Commune,"11,883","15,164",
76,Mangodara,Commune,"51,799","67,598",
77,Moussodougou,Commune,"10,440","17,288",
78,Niangoloko,Commune,"54,138","76,855",
79,Ouo,Commune,"23,508","45,170",
80,Sidéradougou,Commune,"75,397","137,743",
81,Soubakaniédougou,Commune,"28,073","37,500",
82,Tiéfora,Commune,"42,466","75,423",
83,Ganzourgou,Province,"319,380","482,763",
84,Boudry,Commune,"80,027","123,131",
85,Kogho,Commune,"15,858","23,435",
86,Méguet,Commune,"34,780","50,258",
87,Mogtédo,Commune,"49,437","73,244",
88,Salogo,Commune,"21,083","30,692",
89,Zam,Commune,"40,167","62,525",
90,Zorgho,Commune,"48,096","76,431",
91,Zoungou,Commune,"29,932","43,047",
92,Gnagna,Province,"408,669","676,476",
93,Bilanga,Commune,"92,265","139,905",
94,Bogandé,Commune,"84,838","128,943",
95,Coalla,Commune,"42,652","86,921",
96,Liptougou,Commune,"41,823","75,570",
97,Manni ( Mani ),Commune,"68,448","124,433",
98,Piéla,Commune,"55,618","79,488",
99,Thion,Commune,"23,025","41,216",
100,Gourma,Province,"305,936","437,310",
101,Diabo,Commune,"43,021","57,463",
102,Diapangou,Commune,"26,510","34,087",
103,Fada N'Gourma,Commune,"124,577","187,692",
104,Matiacoali,Commune,"54,516","74,662",
105,Tibga,Commune,"30,188","45,463",
106,Yamba,Commune,"27,124","37,943",
107,Houet,Province,"955,451","1,510,638",
108,Bama,Commune,"69,738","85,834",
109,Bobo-Dioulasso,Commune,"554,042","984,603",
110,Dandé,Commune,"21,301","22,054",
111,Faramana,Commune,"16,639","17,997",
112,Fô,Commune,"20,501","22,471",
113,Karangasso-Sambla ( Karankasso-Sambla ),Commune,"25,306","29,898",
114,Karangasso-Vigué ( Karankasso-Vigué ),Commune,"75,481","118,402",
115,Koundougou,Commune,"17,175","21,226",
116,Léna,Commune,"18,238","25,393",
117,Padéma,Commune,"50,079","61,859",
118,Péni,Commune,"34,057","51,212",
119,Satiri,Commune,"35,949","48,111",
120,Toussiana,Commune,"16,945","21,578",
121,Ioba,Province,"192,321","265,956",
122,Dano,Commune,"46,469","64,237",
123,Dissin,Commune,"37,776","45,578",
124,Guéguéré,Commune,"32,697","46,988",
125,Koper,Commune,"16,305","28,651",
126,Niego,Commune,"9,285","12,344",
127,Oronkua,Commune,"21,262","30,692",
128,Ouessa,Commune,"10,242","17,233",
129,Zambo,Commune,"18,285","20,233",
130,Kadiogo,Province,"1,727,390","3,030,384",
131,Komki-Ipala,Commune,"20,562","22,553",
132,Komsilga,Commune,"53,108","137,278",
133,Koubri,Commune,"43,928","60,817",
134,Ouagadougou,Commune,"1,475,223","2,415,266",
135,Pabré,Commune,"27,896","40,387",
136,Saaba,Commune,"50,885","285,235",
137,Tanghin-Dassouri,Commune,"55,172","68,848",
138,Kénédougou,Province,"285,695","399,949",
139,Banzon,Commune,"14,885","20,054",
140,Djigouéra,Commune,"17,012","22,766",
141,Kangala,Commune,"23,037","33,064",
142,Kayan,Commune,"20,258","29,425",
143,Koloko,Commune,"19,854","28,626",
144,Kourinion ( Kourignon ),Commune,"14,540","17,885",
145,Kourouma,Commune,"35,122","51,244",
146,Morolaba,Commune,"20,173","30,051",
147,N'dorola,Commune,"30,138","40,134",
