,0,1,2,3
0,Name,Status,Population Census 2008-08-16,
1,Bubanza,Province,"338,023",
2,Bubanza,Commune,"83,678",
3,Gihanga,Commune,"55,344",
4,Mpanda,Commune,"58,913",
5,Musigati,Commune,"82,207",
6,Rugazi,Commune,"57,881",
7,Bujumbura Rural,Province,"464,818",
8,Isale,Commune,"78,740",
9,Kabezi,Commune,"49,079",
10,Kanyosha,Commune,"78,823",
11,Mubimbi,Commune,"41,689",
12,Mugongomanga,Commune,"27,985",
13,Mukike,Commune,"24,660",
14,Mutambu,Commune,"43,763",
15,Mutimbuzi,Commune,"69,525",
16,Nyabiraba,Commune,"50,554",
17,Bururi,Province,"313,102",
18,Bururi,Commune,"83,614",
19,Matana,Commune,"42,777",
20,Mugamba,Commune,"59,084",
21,Rutovu,Commune,"46,111",
22,Songa,Commune,"51,831",
23,Vyanda,Commune,"29,685",
24,Cankuzo,Province,"228,873",
25,Cankuzo,Commune,"47,972",
26,Cendajuru,Commune,"32,458",
27,Gisagara,Commune,"57,322",
28,Kigamba,Commune,"40,773",
29,Mishiha,Commune,"50,348",
30,Cibitoke,Province,"460,435",
31,Buganda,Commune,"69,045",
32,Bukinanyana,Commune,"75,750",
33,Mabayi,Commune,"66,367",
34,Mugina,Commune,"88,451",
35,Murwi,Commune,"82,235",
36,Rugombo,Commune,"78,587",
37,Gitega,Province,"725,223",
38,Bugendana,Commune,"108,387",
39,Bukirasazi,Commune,"32,714",
40,Buraza,Commune,"47,485",
41,Giheta,Commune,"73,017",
42,Gishubi,Commune,"55,927",
43,Gitega,Commune,"155,005",
44,Itaba,Commune,"51,139",
45,Makebuko,Commune,"59,456",
46,Mutaho,Commune,"65,354",
47,Nyarusange,Commune,"40,904",
48,Ryansoro,Commune,"35,835",
49,Karuzi,Province,"436,443",
50,Bugenyuzi,Commune,"81,938",
51,Buhiga ( Buhuga ),Commune,"71,474",
52,Gihogazi,Commune,"67,627",
53,Gitaramuka,Commune,"78,120",
54,Mutumba,Commune,"41,476",
55,Nyabikere,Commune,"48,993",
56,Shombo,Commune,"46,815",
57,Kayanza,Province,"585,412",
58,Butaganzwa,Commune,"51,601",
59,Gahombo,Commune,"39,633",
60,Gatara,Commune,"64,112",
61,Kabarore,Commune,"62,303",
62,Kayanza,Commune,"97,252",
63,Matongo,Commune,"70,275",
64,Muhanga,Commune,"64,480",
65,Muruta,Commune,"57,888",
66,Rango,Commune,"77,868",
67,Kirundo,Province,"628,256",
68,Bugabira,Commune,"89,259",
69,Busoni,Commune,"145,424",
70,Bwambarangwe,Commune,"66,816",
71,Gitobe,Commune,"57,326",
72,Kirundo,Commune,"93,110",
73,Ntega,Commune,"98,665",
74,Vumbi,Commune,"77,656",
75,Mairie de Bujumbura,City,"497,166",
76,Muha,Commune,"124,836",
77,Mukaza,Commune,"123,415",
78,Ntahangwa,Commune,"248,915",
79,Makamba,Province,"430,899",
80,Kayogoro,Commune,"88,552",
81,Kibago,Commune,"44,978",
82,Mabanda,Commune,"45,836",
83,Makamba,Commune,"93,558",
84,Nyanza-Lac,Commune,"112,752",
85,Vugizo,Commune,"45,223",
86,Muramvya,Province,"292,589",
87,Bukeye,Commune,"66,090",
88,Kiganda,Commune,"48,730",
89,Mbuye,Commune,"55,342",
90,Muramvya,Commune,"81,257",
91,Rutegama,Commune,"41,170",
92,Muyinga,Province,"632,409",
93,Buhinyuza,Commune,"54,482",
94,Butihinda,Commune,"96,890",
95,Gashoho,Commune,"66,107",
96,Gasorwe,Commune,"81,998",
97,Giteranyi,Commune,"151,230",
98,Muyinga,Commune,"138,227",
99,Mwakiro,Commune,"43,475",
100,Mwaro,Province,"273,143",
101,Bisoro,Commune,"34,175",
102,Gisozi,Commune,"27,954",
103,Kayokwe,Commune,"49,127",
104,Ndava,Commune,"57,284",
105,Nyabihanga,Commune,"60,311",
106,Rusaka,Commune,"44,292",
107,Ngozi,Province,"660,717",
108,Busiga,Commune,"65,143",
109,Gashikanwa,Commune,"57,086",
110,Kiremba,Commune,"93,336",
111,Marangara,Commune,"67,832",
112,Mwumba,Commune,"61,584",
113,Ngozi,Commune,"120,557",
114,Nyamurenza,Commune,"57,202",
115,Ruhororo,Commune,"62,337",
116,Tangara,Commune,"75,640",
117,Rumonge,Province,"352,026",
118,Bugarama,Commune,"30,482",
119,Burambi,Commune,"57,167",
120,Buyengero,Commune,"58,670",
121,Muhuta,Commune,"60,633",
122,Rumonge,Commune,"145,074",
123,Rutana,Province,"333,510",
124,Bukemba,Commune,"35,471",
125,Giharo,Commune,"93,365",
126,Gitanga,Commune,"43,727",
127,Mpinga ( -Kayove ),Commune,"52,821",
128,Musongati,Commune,"52,949",
129,Rutana,Commune,"55,177",
130,Ruyigi,Province,"400,530",
131,Butaganzwa,Commune,"63,186",
132,Butezi,Commune,"39,178",
133,Bweru,Commune,"37,502",
134,Gisuru,Commune,"99,461",
135,Kinyinya,Commune,"53,038",
136,Nyabitsinda,Commune,"51,534",
137,Ruyigi,Commune,"56,631",
138,Burundi,Republic,"8,053,574",
