,0,1,2,3,4,5,6,7,8,9,10
0,,Name,Abbr.,Status,Capital,Area A (km²),Population Census (C) 1979-08-15,Population Census (C) 1990-08-16,Population Census (Cf) 2008-08-16,,
1,,Burundi,BDI,Rep,Bujumbura,"27,816","4,028,420","5,292,793","8,053,574",,
2,,Bubanza,BUB,Prov,Bubanza,"1,089","154,093","222,953","338,023",108900,
3,,Bujumbura Rural,BJR,Prov,Bujumbura,959,"292,577","316,000","464,818",95900,
4,,Bururi,BUR,Prov,Bururi,"1,645","313,016","213,300","313,102",164500,
5,,Cankuzo,CAN,Prov,Cankuzo,"1,965","107,550","142,797","228,873",196500,
6,,Cibitoke,CIB,Prov,Cibitoke,"1,636","179,853","279,843","460,435",163600,
7,,Gitega,GIT,Prov,Gitega,"1,979","471,020","565,174","725,223",197900,
8,,Karuzi,KAR,Prov,Karuzi,"1,457","210,589","287,905","436,443",145700,
9,,Kayanza,KAY,Prov,Kayanza,"1,233","383,085","443,116","585,412",123300,
10,,Kirundo,KIR,Prov,Kirundo,"1,703","289,181","401,103","628,256",170300,
11,,Mairie de Bujumbura,BJM,Cap,Bujumbura,87,"168,368","235,440","497,166",8700,
12,,Makamba,MAK,Prov,Makamba,"1,960","120,897","223,799","430,899",196000,
13,,Muramvya,MUR,Prov,Muramvya,696,"188,694","231,744","292,589",69600,
14,,Muyinga,MUY,Prov,Muyinga,"1,836","257,259","373,382","632,409",183600,
15,,Mwaro,MWA,Prov,Mwaro,840,"188,548","209,909","273,143",84000,
16,,Ngozi,NGO,Prov,Ngozi,"1,474","394,351","482,246","660,717",147400,
17,,Rumonge,RUM,Prov,Rumonge,"1,080",...,"229,700","352,026",108000,
18,,Rutana,RUT,Prov,Rutana,"1,959","141,357","195,834","333,510",195900,
19,,Ruyigi,RUY,Prov,Ruyigi,"2,339","167,982","238,567","400,530",233900,
