,0,1,2,3,4,5,6,7,8,9,10,11
0,,Name,Abbr.,Status,Capital,Area A (hect),Population Census (C) 1990-06-23,Population Census (C) 2000-06-16,Population Census (Cf) 2010-06-16,Population Census (Cp) 2021-06-16,,
1,,Cape Verde,CPV,Rep,Praia,"403,300","341,491","434,625","491,875","483,628",,
2,,Boa Vista,BV,Isl,,"63,109","3,452","4,209","9,162","12,613",63109,
3,,Boa Vista,,Mun,Sal Rei,"63,109","3,452","4,209","9,162","12,613",63109,
4,,Brava,BR,Isl,,"6,251","6,975","6,804","5,995","5,594",6251,
5,,Brava,,Mun,Nova Sintra,"6,251","6,975","6,804","5,995","5,594",6251,
6,,Fogo,FO,Isl,,"47,124","33,902","37,431","37,051","33,519",47124,
7,,Mosteiros,MO,Mun,Mosteiros,"8,945","8,331","9,535","9,524","8,062",8945,
8,,Santa Catarina do Fogo,CF,Mun,Cova Figueira,"15,295",...,"4,769","5,299","4,725",15295,
9,,São Filipe,SF,Mun,São Filipe,"22,884",...,"23,127","22,228","20,732",22884,
10,,Maio,MA,Isl,,"27,447","4,969","6,754","6,952","6,298",27447,
11,,Maio,,Mun,Porto Inglês,"27,447","4,969","6,754","6,952","6,298",27447,
12,,Sal,SL,Isl,,"21,984","7,715","14,816","25,765","33,347",21984,
13,,Sal,,Mun,Santa Maria,"21,984","7,715","14,816","25,765","33,347",21984,
14,,Santiago,ST,Isl,,"100,371","175,691","236,631","273,919","269,370",100371,
15,,Praia,PR,Mun,Praia,"10,255",...,"98,118","131,602","142,009",10255,
16,,Ribeira Grande de Santiago,RS,Mun,Cidade Velha,"13,725",...,"8,234","8,325","7,632",13725,
17,,Santa Catarina,CA,Mun,Assomada,"24,257",...,"40,852","43,297","37,472",24257,
18,,Santa Cruz,CR,Mun,Pedra Badejo,"11,221",...,"25,234","26,609","25,004",11221,
19,,São Domingos,SD,Mun,São Domingos,"14,754","11,526","13,320","13,808","13,958",14754,
20,,São Lourenço dos Órgãos,LO,Mun,João Teves,"3,694",...,"7,781","7,388","6,317",3694,
21,,São Miguel,SM,Mun,Calheta de São Miguel,"7,735","13,787","16,128","15,648","12,906",7735,
22,,São Salvador do Mundo,SS,Mun,Picos,"2,648",...,"9,172","8,677","7,452",2648,
23,,Tarrafal,TA,Mun,Tarrafal,"12,082","11,626","17,792","18,565","16,620",12082,
24,,Santo Antão,SA,Isl,,"78,504","43,845","47,170","43,915","36,632",78504,
25,,Paúl,PA,Mun,Pombas,"5,426","8,121","8,385","6,997","5,696",5426,
26,,Porto Novo,PN,Mun,Porto Novo,"56,427","14,873","17,191","18,028","15,914",56427,
27,,Ribeira Grande,RG,Mun,Ribeira Grande,"16,651","20,851","21,594","18,890","15,022",16651,
28,,São Nicolau,SN,Isl,,"34,461","13,665","13,647","12,817","12,239",34461,
29,,Ribeira Brava,RB,Mun,Ribeira Brava,"22,481",...,"8,467","7,580","6,978",22481,
30,,Tarrafal de São Nicolau,TS,Mun,Tarrafal de São Nicolau,"11,980",...,"5,180","5,237","5,261",11980,
31,,"São Vicente ( incl. Santa Luzia, Branco Raso )",SV,Isl,,"22,666","51,277","67,163","76,107","74,016",22666,
32,,São Vicente,,Mun,Mindelo,"22,666","51,277","67,163","76,107","74,016",22666,
