,0,1,2,3,4
0,Name,Status,Population Census 2003-12-08,Population Estimate 2021-03-01,
1,1er Arrondissement,Arrondissement,"13,992","7,741",
2,2e Arrondissement,Arrondissement,"67,727","66,267",
3,3e Arrondissement,Arrondissement,"100,157","79,749",
4,4e Arrondissement,Arrondissement,"95,460","162,422",
5,5e Arrondissement,Arrondissement,"133,363","154,000",
6,6e Arrondissement,Arrondissement,"85,404","120,983",
7,7e Arrondissement,Arrondissement,"43,841","98,942",
8,8e Arrondissement,Arrondissement,"82,827","122,303",
9,Bangui,City,"622,771","812,407",
