Name,Status,Population Census 1984-07-01,Population Estimate 2004-07-01,Unnamed: 4
Funa,City District,764620,1768505,→
Bandalungwa,Commune,97214,202341,→
Bumbu,Commune,113968,329234,→
Kalamu,Commune,160719,315342,→
Kasa Vubu,Commune,74888,157320,→
Makala,Commune,108939,253844,→
Ngiri-Ngiri,Commune,82303,174843,→
Selembao,Commune,126589,335581,→
Lukunga,City District,564656,1493095,→
Barumbu,Commune,69147,150319,→
Gombe,Commune,17360,32373,→
Kinshasa,Commune,74708,164857,→
Kintambo,Commune,49297,106772,→
Lingwala,Commune,49173,94635,→
Mont Ngafula,Commune,52820,261004,→
Ngaliema,Commune,252151,683135,→
Mont Amba,City District,585095,1561146,→
Kisenso,Commune,117774,386151,→
Lemba,Commune,159775,349838,→
Limete,Commune,128197,375726,→
Matete,Commune,104902,268781,→
Ngaba,Commune,74447,180650,→
Tshangu,City District,749938,2194254,→
Kimbanseke,Commune,353209,946372,→
Maluku,Commune,52676,179648,→
Masina,Commune,158080,485167,→
Ndjili,Commune,157010,442138,→
Nsele,Commune,28963,140929,→
