Unnamed: 0,Name,Adm.,Population Census (C) 1984-07-01,Population Estimate (E) 2004-07-01,Area,Unnamed: 6
,Aketi,BUL,21656,35486,3400,
,Aru,ITU,14556,26290,2000,
,Bakwa-Kalonji (Lukalaba),KSO,39094,58092,2300,
,Balamba (Kasumbalesa),HKA,31773,47213,3200,
,Bandundu,KWI,63642,117197,22200,
,Basankusu,EQU,13157,23763,1100,
,Basoko (incl. Bandu),TSO,26920,44112,1600,
,Beni,NKV,44141,81286,1300,
,Binga,MON,32181,55906,1400,
,Boende,TSU,17220,29339,1100,
,Bolobo,MND,15041,27166,3100,
,Boma,KGC,94984,171552,6500,
,Bukama (incl. Kibanda),HLO,33100,60954,1600,
,Bukavu,SKV,167950,471789,6000,
,Bulungu,KWI,26030,47013,1500,
,Bumba,MON,51197,89289,5000,
,Bunia,ITU,59598,230625,5300,
,Businga,NUB,15459,27921,900,
,Buta,BUL,28133,46642,2800,
,Butembo,NKV,73312,165333,1400,
,Diyaba-Lubue,KWI,17577,32368,600,
,Djugu,ITU,13243,23918,4000,
,Dungu,HUL,15967,23726,7700,
,Fungurume,LUA,17660,28938,1200,
,Gandajika,LOM,64878,120170,3500,
,Gbadolite,NUB,27063,42647,1200,
,Gemena,SUB,63052,113879,1300,
,Goma,NKV,77908,249862,1500,
,Idiofa,KWI,27565,50761,1400,
,Ilebo,KAS,53877,67721,2300,
,Inkisi (Kisantu),KGC,37034,66607,1800,
,Inongo,MND,21596,39769,3500,
,Isiro,HUL,78268,147524,2600,
,Kabalo,TAN,25466,46896,5800,
,Kabinda,LOM,24789,126723,2700,
,Kalemie,TAN,73528,92971,2200,
,Kalima,MAN,27087,41776,3800,
,Kambove,HKA,31329,57693,1300,
,Kamina,HLO,62789,115626,2800,
,Kananga,KSC,298693,720362,74300,
,Kaniama,HLO,25106,46233,1100,
,Kanyabayonga,NKV,17160,25499,900,
,Kasangulu,KGC,14519,26223,2400,
,Kasongo,MAN,27140,47149,1900,
,Katanda,KSO,14842,24320,900,
,Katwa,NKV,28026,51610,1300,
,Kayna,NKV,16343,29517,800,
,Kenankuna (Kabeya),KSO,14194,25636,3800,
,Kenge,KWA,19860,36572,1600,
,Kikwit,KWI,149296,294210,9200,
,Kimpese,KGC,24948,45942,1000,
,Kindu,MAN,66812,135534,3800,
,Kinshasa,KIN,2664309,7273947,996500,→
,Kipamba (incl. Kikondja),HLO,16366,26818,1200,
,Kipushi,HKA,53207,97981,2000,
,Kirumba,NKV,16643,30059,200,
,Kisangani,TSO,317581,682599,191000,
,Kituku,TAN,20820,38340,1900,
,Kolwezi,LUA,220706,456446,34000,
,Kongolo,TAN,27267,50212,3600,
,Kutu,MND,17584,32381,1200,
,Libenge,SUB,14516,21570,1900,
,Likasi,HKA,213862,367219,23500,
,Lisala,MON,37565,67847,1200,
,Lodja,SAN,28671,52798,4000,
,Lubao,LOM,13331,21844,6200,
,Lubero,NKV,13343,24099,200,
,Lubumbashi,HKA,564830,1283380,74700,
,Luebo,KAS,17664,26248,5000,
,Lukula,KGC,16403,26878,1000,
,Luputa,LOM,19273,31581,1600,
,Lusambo,SAN,17405,28520,600,
,Malemba-Nkulu,HLO,15519,25430,1200,
,Mangai,KWI,19984,36801,1800,
,Mangina (Matango),NKV,17730,32022,2200,
,Manono,TAN,32055,47632,9400,
,Masi-Manimba,KWI,14639,26440,1800,
,Matadi,KGC,138798,245862,11000,
,Mbandaka,EQU,137291,262814,46000,
,Mbanza-Ngungu,KGC,44782,82466,1400,
,Mbuji-Mayi,KSO,486235,1213726,6400,
,Miabi,KSO,25070,46167,800,
,Moanda,KGC,40400,74397,3900,
,Moba,TAN,25463,46890,7700,
,Mokambo,HKA,11117,20079,2700,
,Mongbwalu,ITU,14493,26176,4200,
,Mulongo,HLO,28022,51603,6900,
,Mushie,MND,17805,35428,600,
,Mweka,KAS,25490,46940,4300,
,Mwene-Ditu,LOM,94560,170786,1600,
,Nioki,MND,21909,35900,1000,
,Nyunzu,TAN,19524,36138,2300,
,Oicha,NKV,23386,43065,2200,
,Pweto,HKA,12248,22121,7700,
,Rutshuru,NKV,25933,47756,3000,
,Tshela,KGC,20140,37088,1200,
,Tshikapa,KAS,116016,366503,3800,
,Tshilenge,KSO,36407,67044,3300,
,Uvira,SKV,74432,235136,7400,
,Watsa,HUL,15120,27308,1800,
,Yangambi,TSO,21884,35859,6900,
,Zongo,SUB,18366,28105,104500,
