Unnamed: 0,Name,Abbr.,Status,Capital,Area A (km²),Population Census (C) 1984-07-01,Population Projection (P) 2010-07-01,Population Projection (P) 2015-07-01,Population Projection (P) 2020-07-01,Unnamed: 10,Unnamed: 11
,Bas-Uele,BUL,Prov,Buta,148331,545458,1004000,1138000,1369600,14833100.0,
,Équateur,EQU,Prov,Mbandaka,103902,635298,1315000,1528000,1856000,10390200.0,
,Haut-Katanga,HKA,Prov,Lubumbashi,132425,1391617,3788000,4617000,5718800,13242500.0,
,Haut-Lomami,HLO,Prov,Kamina,108204,891021,2426000,2957000,3662800,10820400.0,
,Haut-Uele,HUL,Prov,Isiro,89683,893111,1643000,1864000,2242500,8968300.0,
,Ituri,ITU,Prov,Bunia,65658,1749256,3219000,3650000,4392200,6565800.0,
,Kasaï,KAS,Prov,Tshikapa,95631,1096783,2388000,2801000,3417000,9563100.0,
,Kasaï-Central,KSC,Prov,Kananga,59500,1298463,2827000,3317000,4045300,5950000.0,
,Kasaï-Oriental,KSO,Prov,Mbuji-Mayi,9545,1080610,2634000,3145000,3864300,954500.0,
,Kinshasa,KIN,Cap,Kinshasa,9965,2664309,8683000,11575000,14565700,996500.0,→
,Kongo Central (Bas-Congo),KGC,Prov,Matadi,53920,1994573,4684000,5575000,6838500,5392000.0,
,Kwango,KWA,Prov,Kenge,89974,854325,1844000,2152000,2618700,8997400.0,
,Kwilu,KWI,Prov,Bandundu,78533,2180023,4704000,5490000,6682300,7853300.0,
,Lomami,LOM,Prov,Kabinda,56426,839424,2046000,2443000,3001900,5642600.0,
,Lualaba,LUA,Prov,Kolwezi,121308,774221,2108000,2570000,3183300,12130800.0,
,Maï-Ndombe,MND,Prov,Inongo,127243,735393,1587000,1852000,2254100,12724300.0,
,Maniema,MAN,Prov,Kindu,132250,849675,1970000,2333000,2856300,13225000.0,
,Mongala,MON,Prov,Lisala,58141,723499,1498000,1740000,2114100,5814100.0,
,Nord-Kivu [North Kivu],NKV,Prov,Goma,59483,2434275,5621000,6655000,8147400,5948300.0,
,Nord-Ubangi,NUB,Prov,Gbadolite,56644,527874,1093000,1269000,1542500,5664400.0,
,Sankuru,SAN,Prov,Lusambo,104331,725191,1768000,2110000,2593400,10433100.0,
,Sud-Kivu [South Kivu],SKV,Prov,Bukavu,64791,2107988,4874000,5772000,7066400,6479100.0,
,Sud-Ubangi,SUB,Prov,Gemena,51648,1022243,2145000,2458000,2987100,5164800.0,
,Tanganyika,TAN,Prov,Kalemie,134940,922495,2512000,3062000,3792200,13494000.0,
,Tshopo,TSO,Prov,Kisangani,199567,1126847,2074000,2352000,2829700,19956700.0,
,Tshuapa,TSU,Prov,Boende,132957,665471,1378000,1600000,1944500,13295700.0,
,Congo (Dem. Rep.),COD,,Kinshasa,2345000,29648833,71884000,86026000,101935800,,
