Name,Status,Native,Population Census 1996-11-19,Population Census 2006-11-11,Population Estimate 2017-07-01,Population Estimate 2021-07-01,Unnamed: 7
Ad-Daqahiyah [Dakahlia],Governorate,الدقهلية,4223338,4989997,6516489,6889962,→
Ajā,Markaz,مركز أجا,344160,401865,538484,557328,→
Al-Jamāliyah,Markaz,مركز الجمالية,67703,83529,138291,151444,→
Al-Kurdy,Kism (fully urban),قسم الكردى,15561,25950,39585,44905,→
Al-Manṣūrah [El Mansoura],Markaz,مركز المنصورة,...,450700,621439,638037,→
Al-Manṣūrah 1 [El Mansoura],Kism (fully urban),قسم اول المنصورة,207251,244665,313021,355095,→
Al-Manṣūrah 2 [El Mansoura],Kism (fully urban),قسم ثان المنصورة,162158,194683,235238,266858,→
Al-Manzilah [Manzala],Markaz,مركز المنزلة,218533,260888,360649,382383,→
Al-Maṭariyah [El Matareya],Markaz,مركز المطرية,105260,125770,178857,199009,→
As-Sinbillāwayn [El Senbellawein],Markaz,مركز السنبلاوين,368776,450103,567560,594488,→
Banī Ubayd,Markaz,مركز بنى عبيد,...,102016,131492,139373,→
Bilqās [Belqas],Markaz,مركز بلقاس,365464,424189,531203,558412,→
Dikirnis,Markaz,مركز دكرنس,...,279714,353820,372871,→
Jamaṣah [Gamasa],Kism (fully urban),قسم جمصة,...,2074,3922,4450,→
Maḥallat Damanah,Markaz,مركز محلة دمنة,...,46116,61835,66516,→
Minyat an-Naṣr,Markaz,مركز منية النصر,185273,204502,267431,282401,→
Mīt Ghamr,Kism (fully urban),قسم ميت غمر,101899,116593,135544,153754,→
Mīt Ghamr,Markaz,مركز ميت غمر,428509,517209,663369,681091,→
Mīt Salsīl,Markaz,مركز ميت سلسيل,52395,56129,73417,79957,→
Nabarūh,Markaz,مركز نبروة,...,219048,283034,296213,→
Shirbīn,Markaz,مركز شربين,286526,336413,427866,446520,→
Ṭalkhā,Markaz,مركز طلخا,...,306195,392383,413584,→
Timay al-Imdīd,Markaz,مركز تمى الأمديد,120804,141646,198049,205273,→
Al-Baḥr al-Aḥmar [Red Sea],Governorate,البحر الأحمر,157314,288661,361480,390070,→
Al-Ghurdaqah 1 [Hurghada],Kism (fully urban),قسم أول الغردقة,...,69616,75586,81737,→
Al-Ghurdaqah 2 [Hurghada],Kism (fully urban),قسم ثان الغردقة,...,91285,115925,125395,→
Al-Quṣayr,Kism (urban and rural parts),قسم القصير,27618,35920,48031,51882,→
Ash-Shalātīn,Kism (urban and rural parts),قسم الشلاتين,9417,15210,12484,13431,→
Ḥalāyib,Kism (fully rural),قسم حلايب,1665,2268,7930,8217,→
Marsā 'Alam,Kism (urban and rural parts),قسم مرسى علم,3382,6614,8573,9001,→
Ras Ghārib [Ras Gharib],Kism (urban and rural parts),قسم رأس غارب,28435,32369,41718,45108,→
Safājā [Safaga],Kism (urban and rural parts),قسم سفاجا,26712,35379,51233,55299,→
Al-Buḥayrah [Beheira],Governorate,البحيرة,3994297,4747283,6200137,6676858,→
