Unnamed: 0,Name,Native,Adm.,Population Census (Cf) 1996-11-19,Population Census (Cf) 2006-11-11,Population Estimate (E) 2018-07-01,Population Estimate (E) 2021-07-01,Area,Unnamed: 9
,Abnūb,أبنوب,ASY,56480,67526,101605,111785,1597,
,Abū al-Maṭāmīr [Abou el-Matamer],أبو المطامير,BHR,35069,44415,58576,66946,1093,
,Abū an-Numrus,أبو النمرس,JIZ,38197,57766,83537,86601,651,
,Abū Ḥammād,أبو حماد,SQY,29501,39361,39644,43001,463,
,Abū Ḥummuṣ [Abou Homs],أبو حمص,BHR,29033,39350,53713,61388,551,
,Abū Kabīr,أبو كبير,SQY,85339,103175,142420,154466,2938,
,Abū Qurqās [Abu Qirqas],أبو قرقاس,MNY,50031,57892,81011,90266,988,
,Abū Ṣuwayr al-Maḥaṭṭah,أبو صوير المحطة,ISM,18331,24265,30320,32763,4922,
,Abū Tīj,ابو تيج,ASY,59474,70969,95815,105418,1386,
,Abū Tisht,أبو تشت,QNA,10469,13015,17367,18194,719,
,Aḍ-Ḍab'ah,الضبعة,MTR,21251,16559,24021,27697,7830,
,Ad-Dilinjāt,الدلنجات,BHR,35113,41768,60284,68901,2204,
,Ajā,أجا,DQH,15558,17580,43106,47013,728,
,Akhmīm,أخميم,SWJ,84773,101509,140785,151430,1473,
,Al-'Arīsh [El Arish],العريش,SSH,100482,137944,191584,199243,30756,
,Al-'Ayyāṭ,العياط,JIZ,28385,34586,44171,45793,274,
,Al-Badārī,البداري,ASY,36113,42770,50933,56033,2460,
,Al-Badrashayn [Badrshein],البدرشين,JIZ,51205,63836,87611,90833,1332,
,Al-Bājūr [El Bagour],الباجور,MNF,31291,41072,58651,62961,974,
,Al-Balyanā [El Balyana],البلينا,SWJ,39911,46997,63599,68413,499,
,Al-Baṣaliyah Baḥri,البصلية بحرى,ASW,17101,20286,29256,32920,1087,
,Al-Bāwīṭī,الباويطى,JIZ,6551,10188,15098,15653,4438,
,Al-Bāyaḍiyah,البياضية,UQS,12550,15501,21979,23550,851,
,Al-Fashn,الفشن,BSW,52589,65621,101928,112999,1610,
,Al-Fatḥ - An-Nāṣiriyah,الفتح - الناصريه,ASY,10372,13109,20390,22435,119,
,Al-Fayyūm [Fayoum],الفيوم,FYM,260830,315940,489377,519047,1847,→
,Al-Ghanāyim [El Ghanayem],الغنايم,ASY,39146,48144,64429,70884,1317,
,Al-Ghurdaqah [Hurghada],الغردقة,BAH,60085,160901,195675,207132,25772,
,Al-Ḥammām,الحمام,MTR,14419,37219,15963,18407,3306,
,Al-Ḥāmūl,الحامول,KSH,39378,51209,54711,58430,5807,
,Al-Ḥawāmidiyah,الحوامدية,JIZ,91770,109314,149567,155055,1039,
,Al-Ḥusayniyah,الحسينية,SQY,24140,30825,46703,50651,2517,
,Al-Ibrāhīmiyah,الإبراهيمية,SQY,29085,32167,49596,53791,1363,
,Al-'Idwah,العدوه,MNY,13553,15875,23416,26092,849,
,Al-Iskandariyah [Alexandria],الإسكندرية,ISK,3297959,4028028,5107530,5263542,110755,
,Al-Ismā'īliyah [Ismaïlia],الإسماعيلية,ISM,255134,293184,397446,429465,6885,
,Al-Jamāliyah,الجماليه,DQH,58673,63894,91364,99641,1847,
,"Al-Jīzah (incl. Al-Warrāq, Al-Ahrām) [Giza]",الجيزة,JIZ,2521197,3021542,4212750,4367343,9840,
,Al-Khānkah,الخانكة,QLY,55013,59077,78185,81646,1045,
,Al-Khārijah [Kharga],الخارجة,WJD,49446,60584,75530,83108,25062,
,Al-Khuṣūṣ,الخصوص,QLY,...,291242,468194,488904,773,→
,Al-Kurdy,الكردى,DQH,15561,25950,41173,44905,1282,
,Al-Maḥallah al-Kubrā [Mahalla el-Kubra],المحلة الكبرى,GHB,394924,442958,543271,592573,1891,
,Al-Maḥmūdiyah [Mahmoudiyah],المحمودية,BHR,21850,28277,30325,34660,274,
,Al-Manshāh,المنشاة,SWJ,50011,65484,84744,91149,1766,
,Al-Manṣūrah [El Mansoura],المنصورة,DQH,369409,439348,570271,621953,2822,
,Al-Manzilah [Manzala],المنزلة,DQH,60184,75034,116807,127394,5016,
,Al-Marāghah [El Maragha],المراغة,SWJ,31559,38393,49872,53643,533,
,Al-Maṭariyah [El Matareya],المطرية,DQH,87062,100566,148591,162045,233,
,Al-Minyā,المنيا,MNY,201440,236043,254523,283605,1498,→
,Al-Minyā al-Jadīdah,المنيا الجديدة,MNY,68,4567,15677,17470,3674,
,Al-Qāhirah (incl. Ḥulwān) [Cairo],القاهرة,QAH,7601018,7740018,9293612,9606916,60611,
,Al-Qāhirah al-Jadīdah [New Cairo],القاهرة الجديدة,QAH,...,122339,302926,313139,34251,
,Al-Qanāṭir al-Khayriyah,القناطر الخيرية,QLY,56326,66350,80022,83568,1182,
,Al-Qanāyāt,القنايات,SQY,36010,42563,65172,70687,1786,→
,Al-Qantarah,القنطره,ISM,15054,29505,44045,47590,634,
,Al-Qanṭarah Sharq,القنطرة شرق,ISM,12116,20685,29433,31808,11965,
,Al-Qarnuh al-Jadīdah [Kurna],القرنه الجديده,UQS,...,27541,36276,38871,2174,
,Al-Qaṣāṣīn al-Jadīdah [New Kasaseen],القصاصين الجديدة,ISM,11948,15611,22546,24364,1384,
,Al-Qurayn,القرين,SQY,51833,64453,87250,94632,2358,→
,Al-Quṣayr,القصير,BAH,20472,35045,47986,50805,6588,
,Al-Qūṣiyah,القوصية,ASY,55957,69388,90523,99598,1258,
,Al-'Ubūr [El Ubour],العبور,QLY,...,43600,133102,138987,20923,→
,Al-Uqṣur [Luxor],الأقصر,UQS,...,167646,250704,268640,4299,→
,Al-Waqf,الوقف,QNA,24033,27525,33152,34723,3342,
,Al-Wāsiṭā,الواسطى,BSW,30879,37916,52200,57870,502,
,An-Najaylah [El Negaila],النجيلة,MTR,6667,10687,17142,19768,51985,
,An-Nūbāriyah al-Jadīdah [New Nubariya],النوبارية الجديدة‎,BHR,885,5321,20369,23282,2369,
,Armant,أرمنت,UQS,65647,76457,73438,78695,5508,
,Ar-Radīsiyah Qiblī,الرديسيه قبلى,ASW,7859,10175,14385,16190,1164,
,Ar-Raḥmāniyah [Rahmaniya],الرحمانية,BHR,25438,29393,38920,44482,2818,
,Ar-Rawḍah,الروضة,DMY,18955,21434,29592,31240,875,
,Ar-Riyāḍ,الرياض,KSH,14008,18263,22708,24254,277,
,Ashmūn [Ashmoun],أشمون,MNF,68793,83931,115973,124483,2335,
,Ash-Shalātīn,الشلاتين,BAH,5078,9542,11732,12421,390976,
,Ash-Shaykh Zāyid [Sheikh Zayed City],الشيخ زايد,JIZ,...,29422,92457,95854,4313,→
,Ash-Shaykh Zuwayd [Sheikh Zuweid],الشيخ زويد,SSH,12489,18577,25687,26713,2845,
,Ash-Shuhadā',الشهداء,MNF,41057,49447,70872,76071,1892,
,Ash-Shurūq,الشروق,QAH,...,22570,88909,91899,17490,→
,Aṣ-Ṣaff,الصف,JIZ,32347,45131,59348,61531,2500,
,Aṣ-Ṣaliḥiyah al-Jadīdah [New Salhia],الصالحية الجديدة,SQY,8140,18957,54695,59320,586,→
,As-Sallūm,السلوم,MTR,6258,...,14349,16545,54293,
,As-Sanṭah,السنطة,GHB,27187,32033,42000,45813,1093,
,As-Sarw,السرو,DMY,19291,20592,27743,29286,1008,
,As-Sibā'iyah Gharb [Sebaiya],السباعية غرب,ASW,13234,15233,19204,21610,1270,
,As-Sinbillāwayn [El Senbellawein],السنبلاوين,DQH,72824,86786,113717,124020,1883,
,As-Suways [Suez],السويس,SWS,414799,508578,740874,699541,312788,
,Aswān,أسوان,ASW,219541,266013,337472,379774,37512,→
,Asyūṭ [Asyut],أسيوط,ASY,343662,389307,480516,528669,2660,
,Aṭfīḥ,اطفيح,JIZ,11352,13760,25987,26943,482,
,At-Tall al-Kabīr,التل الكبير,ISM,...,26891,43459,46962,1856,
,Aṭ-Ṭūd,الطود,UQS,...,27868,28722,30780,1446,
,Aṭ-Ṭūr [El Tor],الطور,SJN,10563,19826,35046,38285,6001,
,Awlād Ṣaqr,أولاد صقر,SQY,16103,21370,30279,32840,837,
,Awsīm,أوسيم,JIZ,54264,67485,90839,94174,1246,
,Az-Zaqāzīq [Zagazig],الزقازيق,SQY,267469,302840,396852,430445,1403,
,Az-Zarqā',الزرقاء,DMY,14717,17837,25534,26955,730,
,Az-Zayniyah Qiblī,الزينية قبلي,UQS,...,14922,18665,20000,224,
,Badr,بدر,BHR,14359,20971,24578,28091,2731,
,Balṭīm,بلطيم,KSH,33812,40199,48015,51280,3568,
,Banhā,بنها,QLY,135892,157701,174518,182254,1095,→
,Banī Mazār [Beni Mazar],بنى مزار,MNY,52690,79553,103891,115759,819,
,Banī Suwayf [Beni Suef],بنى سويف,BSW,171734,193048,246395,273151,1400,→
,Banī Suwayf al-Jadīdah [New Beni Suef],بنى سويف الجديدة,BSW,208,17921,29117,32278,26762,
,Banī Ubayd,بني عبيد,DQH,26655,30048,42235,46060,2869,
,Basyūn [Basyoun],بسيون,GHB,48214,53226,68839,75084,1915,
,Bibā,ببا,BSW,49516,57716,85404,94677,1713,
,Bilbays [Bilbeis],بلبيس,SQY,114343,137182,170785,185237,3486,
,Bilqās [Belqas],بلقاس,DQH,87670,95194,125686,137080,3251,
,B'īr al-'Abd,بئر العبد,SSH,8177,14277,25319,26330,8020,
,Birkat as-Sab' [Birket el-Sab],بركة السبع,MNF,28917,33873,47436,50924,1052,
,Biyalā,بيلا,KSH,56759,66663,83398,89068,4070,
,Burj al-'Arab,برج العرب,ISK,9771,12429,21780,22444,2842,
,Burj al-Barlus,برج البرلس,KSH,...,46568,56481,60320,28329,
,Būr Sa'īd [Port Said],بور سعيد,BSD,472331,570603,760152,780515,129425,
,Damanhūr [Damanhour],دمنهور,BHR,209423,244043,278413,318207,684,→
,Dar as-Salām [Dar el-Salam],دار السلام,SWJ,22962,31736,35335,38008,2543,
,Daraw,دراو,ASW,30732,38400,54905,61790,1702,
,Dayr Mawās [Deir Mawas],دير مواس,MNY,33197,40640,54598,60835,2132,
,Dayrūṭ [Dairut],ديروط,ASY,55890,72856,93223,102570,644,
,Dikirnis,دكرنس,DQH,58514,67732,92682,101082,2520,
,Dishnā,دشنا,QNA,44125,52534,61812,64744,1247,
,Disūq [Desouk],دسوق,KSH,91318,106827,139794,149291,864,→
,Diyarb Najm,ديرب نجم,SQY,43507,53384,74639,80954,863,
,Dumyāṭ [Damietta],دمياط,DMY,...,206664,289833,305920,353,
,Fa'id [Fayid],فايد,ISM,15652,21808,32450,35066,5537,
,Fāqūs [Faqous],فاقوس,SQY,56237,78405,107819,116945,1078,→
,Fāraskūr,فارسكور,DMY,30697,31832,41118,43400,1413,
,Farshūṭ,فرشوط,QNA,43796,51052,67793,71013,613,
,Fuwah,فوه,KSH,54420,63175,87451,93392,2395,
,Ḥawsh 'Īsā [Hosh Essa],حوش عيسى,BHR,...,46994,72621,82999,2394,
,Hihyā,ههيا,SQY,36257,44465,68987,74823,1176,
,Ibshawāy [Ibsheway],إبشواى,FYM,41972,54853,81264,86186,2038,
,Idfū [Edfu],إدفو,ASW,56135,69809,70657,79510,3609,
,Idkū,إدكو,BHR,87848,97168,154997,177152,7244,
,Ihnāsiyā,اهناسيا,BSW,31488,37174,57782,64058,1111,
,Isnā [Esna],اسنا,UQS,55068,68656,90355,96818,1903,
,Iṭsā,أطسا,FYM,37146,47189,70108,74357,2843,
,Ityāy al-Bārūd,إيتاى البارود,BHR,35491,40744,67899,77606,2564,
,'Izbat al-Burj,عزبةالبرج,DMY,32247,33538,50285,53079,468,
,Jirjā [Girga],جرجا,SWJ,89679,102597,140622,151256,1153,
,Juhaynah,جهينة,SWJ,39161,46768,71174,76555,2273,
,Kafr ad-Dawwār,كفر الدوار,BHR,101056,114030,112467,128539,546,
