Unnamed: 0,Name,Abbr.,Native,Capital,Area A (km²),Population Census (Cp) 1986-11-17,Population Census (Cf) 1996-11-19,Population Census (Cf) 2006-11-11,Population Census (Cf) 2017-03-28,Population Estimate (E) 2021-07-01,Unnamed: 11,Unnamed: 12
,Ad-Daqahiyah [Dakahlia],DQH,الدقهلية,Al-Manṣūrah,3538,3500470,4223338,4989997,6492381,6889962,353800.0,→
,Al-Baḥr al-Aḥmar [Red Sea],BAH,البحر الأحمر,Al-Ghurdaqah,120000,90491,157314,288661,359888,390070,12000000.0,→
,Al-Buḥayrah [Beheira],BHR,البحيرة,Damanhūr,9826,3257168,3994297,4747283,6171613,6676858,982600.0,→
,Al-Fayyūm [Fayoum],FYM,الفيوم,Al-Fayyūm,6068,1544047,1989772,2511027,3596954,3928020,606800.0,→
,Al-Gharbiyah [Gharbia],GHB,الغربية,Ṭanṭā,1942,2870960,3404339,4011320,4999633,5309440,194200.0,→
,Al-Iskandariyah [Alexandria],ISK,الإسكندرية,Al-Iskandariyah,2300,2917327,3339076,4123869,5163750,5441866,230000.0,→
,Al-Ismā'īliyah [Ismaïlia],ISM,الإسماعيلية,Al-Ismā'īliyah,5067,544427,714828,953006,1303993,1408847,506700.0,→
,Al-Jīzah [Giza],JIZ,الجيزة,Al-Jīzah,13184,3700054,4784095,6294319,8632021,9250791,1318400.0,→
,Al-Minūfiyah [Monufia],MNF,المنوفية,Shibīn al-Kawm,2499,2227087,2760429,3270431,4301601,4604599,249900.0,→
,Al-Minyā,MNY,المنيا,Al-Minyā,32279,2648043,3310129,4166299,5497095,6077791,3227900.0,→
,Al-Qāhirah [Cairo],QAH,القاهرة,Al-Qāhirah,3085,6052836,6800991,7902085,9539673,10044894,308500.0,→
,Al-Qalyūbyah [Qalyubia],QLY,القليوبية,Banhā,1124,2514244,3281135,4251672,5627420,5982567,112400.0,→
,Al-Uqṣor [Luxor],UQS,الأقصر,Al-Uqṣur,2960,274074,775551,959003,1250209,1352818,296000.0,→
,Al-Wādī al-Jadīd [New Valley],WJD,الوادي الجديد,Al-Khārijah,440098,113838,141774,187263,241247,259174,44009800.0,→
,Ash-Sharqiyah [Sharqia],SQY,الشرقية,Az-Zaqāzīq,4911,3420119,4281068,5354041,7163824,7682770,491100.0,→
,As-Suways [Suez],SWS,السويس,As-Suways,9002,326820,417526,512135,728180,773840,900200.0,→
,Aswān,ASW,أسوان,Aswān,62726,801408,960510,1186482,1473975,1600210,6272600.0,→
,Asyūt,ASY,أسيوط,Asyūṭ,13720,2223034,2802334,3444967,4383289,4847735,1372000.0,→
,Banī Suwayf [Beni Suef],BSW,بنى سويف,Banī Suwayf,10954,1442981,1859213,2291618,3154100,3455733,1095400.0,→
,Būr Sa'īd [Port Said],BSD,بور سعيد,Būr Sa'īd,1345,399793,472331,570603,749371,780515,134500.0,→
,Dumyāṭ [Damietta],DMY,دمياط,Dumyāṭ,910,741264,913555,1097339,1496765,1585253,91000.0,→
,Kafr ash-Shaykh [Kafr el-Sheikh],KSH,كفر الشيخ,Kafr ash-Shaykh,3467,1800129,2223383,2620208,3362185,3620887,346700.0,→
,Maṭrūḥ [Matrouh],MTR,مطروخ,Marsā Maṭrūḥ,166563,160567,212001,323381,425624,511545,16656300.0,→
,Qinā [Qena],QNA,قنا,Qinā,8980,1978241,2027603,2499964,3164281,3492867,898000.0,→
,Sawhāj [Sohag],SWJ,سوهاج,Sawhāj,11218,2455134,3123114,3747289,4967409,5486409,1121800.0,→
,Sīnā' al-Janūbiyah [South Sinai],SJN,جنوب سيناء,Aṭ-Ṭūr,31272,28988,54806,150088,102018,112672,3127200.0,→
,Sīnā' ash-Shamāliyah [North Sinai],SSH,شمال سيناء,Al-'Arīsh,27564,171505,252160,343681,450328,492555,2756400.0,→
,Egypt,EGY,مصر,Al-Qāhirah,996603,48205049,59276672,72798031,94798827,102060688,,→
