,0,1,2,3,4
0,Name,Status,Population Census 2007-05-28,Population Projection 2022-07-01,
1,Adis Abeba [ Addis Ababa ],Chartered City,"2,739,551","3,859,999",
2,Addis Ketema,Sub City,"255,372","359,735",
3,Akaki Kaliti,Sub City,"181,270","255,348",
4,Arada,Sub City,"211,501","298,044",
5,Bole,Sub City,"308,995","435,421",
6,Gulele,Sub City,"267,624","377,032",
7,Kirkos,Sub City,"221,234","311,765",
8,Kolfe Keraniyo,Sub City,"428,895","604,226",
9,Lideta,Sub City,"201,713","284,208",
10,Nefas Silk-Lafto,Sub City,"316,283","445,683",
11,Yeka,Sub City,"346,664","488,537",
12,Ethiopia,Federal Democratic Republic,"73,750,932","105,163,988",
