,0,1,2,3,4
0,Name,Status,Population Census 2007-05-28,Population Projection 2022-07-01,
1,Adis Abeba [ Addis Ababa ],Chartered City,"2,739,551","3,859,999",
2,Addis Ketema,Sub City,"255,372","359,735",
3,Akaki Kaliti,Sub City,"181,270","255,348",
4,Arada,Sub City,"211,501","298,044",
5,Bole,Sub City,"308,995","435,421",
6,Gulele,Sub City,"267,624","377,032",
7,Kirkos,Sub City,"221,234","311,765",
8,Kolfe Keraniyo,Sub City,"428,895","604,226",
9,Lideta,Sub City,"201,713","284,208",
10,Nefas Silk-Lafto,Sub City,"316,283","445,683",
11,Yeka,Sub City,"346,664","488,537",
12,Afar,Region,"1,439,042","2,090,910",
13,Abala,District,"37,963","60,898",
14,Afambo,District,"24,153","32,064",
15,Afdem,Special Census District,"48,020","57,033",
16,Afdera,District,"32,225","45,683",
17,Amibara,District,"63,378","114,496",
18,Argoba Liyu,District,"21,794","30,613",
19,Asayita,District,"50,803","84,161",
20,Awash Fentale,District,"29,780","58,016",
21,Awra,District,"34,604","46,494",
22,Berahile,District,"78,881","108,555",
23,Bure Mudayitu,District,"31,794","40,879",
24,Chifra,District,"91,080","127,884",
25,Dalifage,District,"36,154","52,299",
26,Dalol,District,"83,930","110,066",
27,Dawe,District,"42,397","57,117",
28,Dubti,District,"65,342","122,641",
29,Dulacha,District,"20,687","28,039",
30,Elidar,District,"58,087","113,755",
31,Erebti,District,"34,801","45,654",
32,Ewa,District,"47,203","62,178",
33,Gewane,District,"31,318","47,311",
34,Golina,District,"49,794","68,628",
35,Hadele Ele,District,"35,255","47,872",
36,Kori,District,"30,652","39,470",
37,Kunoba,District,"54,198","73,390",
38,Megale,District,"28,113","37,030",
39,Mile,District,"90,673","133,319",
40,Mulo,Special Census District,749,875,
41,Sumu Robi,District,"32,023","42,355",
42,Telalak,District,"37,970","51,028",
43,Teru,District,"67,753","89,173",
44,Yalo,District,"47,468","61,934",
45,Amhara,Region,"17,221,976","22,876,991",
46,Abergele,District,"43,191","51,791",
47,Adi Arkay,District,"93,763","123,328",
48,Albuko,District,"77,167","96,179",
49,Alefa,District,"170,491","216,632",
50,Ambasel,District,"121,899","152,372",
51,Aneded,District,"91,224","111,263",
52,Angolala Tera,District,"82,349","104,671",
53,Ankaska Guagusa,District,"199,826","256,973",
54,Ankober,District,"76,510","96,367",
55,Antsokiya Gemza,District,"79,091","108,070",
56,Argoba,Special District,"34,998","41,968",
57,Artuma Fursi,District,"82,842","105,619",
58,Asagirt,District,"48,371","59,351",
59,Awabel,District,"121,588","158,301",
60,Bahir Dar,Town,"221,991","455,901",
61,Bahri Dar Zuria,District,"182,730","219,106",
62,Banja Shekudad,District,"111,975","158,003",
63,Baso Liben,District,"138,332","172,686",
64,Basona Werana,District,"120,930","146,283",
65,Bati,District,"107,387","146,317",
66,Berehet,District,"34,810","45,931",
67,Beyeda,District,"97,492","120,360",
68,Bibugn,District,"82,002","104,935",
69,Bugna,District,"75,486","90,524",
70,Bure,District,"143,132","199,053",
71,Chilga,District,"221,462","287,299",
72,Dabat,District,"145,509","191,048",
73,Dangila,District,"158,688","218,765",
74,Dawa Chefa,District,"133,388","162,982",
75,Dawe Harewa,District,"41,359","51,399",
76,Dawunt,District,"65,363","78,930",
77,Debark,District,"159,193","212,732",
78,Debay Tilatgen,District,"128,045","158,823",
79,Debre Birhan,Town,"65,231","146,918",
80,Debre Elias,District,"82,150","106,864",
81,Debre Markos,Town,"62,497","140,699",
82,Debresina,District,"158,209","198,950",
83,Debre Tabor,Town,"55,596","125,312",
84,Debub Achefer,District,"136,508","176,088",
85,Dega Damot,District,"152,343","189,806",
86,Dehena,District,"109,725","135,987",
87,Dejen,District,"102,359","131,930",
88,Delanta,District,"127,771","161,511",
89,Dembecha,District,"129,260","173,905",
90,Dembia,District,"271,053","349,512",
91,Dera,District,"248,464","315,557",
92,Dese,Town,"151,174","307,638",
93,Dessie Zuria,District,"157,679","189,114",
94,Ebinat,District,"220,177","276,611",
95,Efrata Gidim,District,"110,493","148,674",
96,Enarj Enawga,District,"167,402","215,080",
97,Enebse Sar Midir,District,"133,855","173,450",
98,Enemay,District,"165,292","218,116",
99,Ensaro,District,"58,203","73,111",
100,Fagita Lekoma,District,"126,367","160,936",
101,Farta,District,"232,181","285,572",
102,Finote Selam,Town,"25,913","58,429",
103,Fogera,District,"228,449","300,473",
104,Gazgibla,District,"70,854","84,969",
105,Gidan,District,"158,428","198,127",
106,Gishe,District,"61,521","76,718",
107,Goncha,District,"106,688","132,438",
108,Goncha Siso Enese,District,"149,646","187,581",
109,Gondar ( Gonder ),Town,"207,044","465,973",
110,Gondar Zuria,District,"191,394","248,807",
111,Gozamin,District,"132,883","162,070",
112,Guagusa Shikudad,District,"83,930","110,187",
113,Guangua,District,"223,066","300,682",
114,Gubalafto,District,"139,825","172,818",
115,Habru,District,"192,742","253,895",
116,Hagere Mariam Kesem,District,"55,235","68,537",
117,Hulet Ej Enese,District,"275,638","362,868",
118,Jabi Tehnan,District,"179,342","228,351",
119,Jama,District,"126,879","158,515",
120,Janamora,District,"167,757","206,459",
121,Jawi,District,"79,090","102,969",
122,Jile Timuga,District,"72,882","92,761",
123,Kalu,District,"186,181","244,153",
124,Kelela,District,"136,545","171,806",
125,Kemisie,Town,"19,420","43,791",
126,Kewet,District,"118,381","160,500",
127,Kobo,District,"221,958","301,102",
128,Kombolcha,Town,"85,367","164,140",
129,Kutaber,District,"95,410","119,638",
130,Lasta,District,"117,777","159,484",
131,Lay Armachoho,District,"157,836","202,384",
132,Lay Gayint,District,"206,499","271,644",
133,Legahida,District,"67,138","82,680",
134,Legambo,District,"165,026","205,653",
135,Libo Kemkem,District,"198,435","261,205",
136,Machakel,District,"118,097","150,844",
137,Mecha,District,"292,080","374,196",
138,Mehal Saynt,District,"73,432","88,069",
139,Mekdela,District,"142,654","176,471",
140,Meket,District,"226,644","284,157",
141,Menz Gera Midir,District,"120,469","156,127",
142,Menz Keya Gebreal,District,"46,219","58,197",
143,Menz Lalo Midir,District,"17,308","20,757",
144,Menz Mama Midir,District,"85,129","108,954",
145,Merab Armachoho,District,"31,730","54,023",
146,Merab Belsa,District,"142,791","179,286",
147,Merab Este,District,"120,885","147,261",
148,Merhabete,District,"126,501","165,514",
149,Metema,District,"110,252","163,546",
150,Mida Woremo,District,"93,729","119,819",
151,Minjar Shenkora,District,"128,879","167,418",
152,Misrak Belesa,District,"97,838","131,048",
153,Misrak Este,District,"210,825","267,478",
154,Mojana Waderea,District,"69,667","86,153",
155,Moretna Jiru,District,"92,937","120,945",
156,Quara,District,"94,106","117,806",
157,Quarit,District,"114,771","142,675",
158,Saya Debirna Wayu,District,"61,046","77,962",
159,Sayint,District,"144,972","179,650",
160,Sehala,District,"23,688","28,404",
161,Sekela,District,"138,691","173,483",
162,Sekota,District,"112,396","134,790",
163,Sekota,Town,"22,346","50,316",
164,Semen Achefer,District,"189,716","243,901",
165,Shebel Berenta,District,"103,988","129,173",
166,Simada,District,"228,271","284,623",
167,Sinan,District,"98,939","123,465",
168,Tach Armachoho,District,"89,115","119,718",
169,Tach Gayint,District,"101,956","130,677",
170,Takusa,District,"129,097","162,235",
171,Tarma Ber,District,"84,481","112,131",
172,Tegede,District,"73,898","94,243",
173,Tehuledere,District,"117,877","156,926",
174,Tenta,District,"166,239","208,842",
175,Tselemet,District,"57,241","68,645",
176,Wadla,District,"128,170","158,196",
177,Wegera,District,"220,566","284,029",
178,Wegidi,District,"135,240","166,961",
179,Weldiya,Town,"46,139","104,005",
180,Werebabu,District,"100,530","127,642",
181,Were Ilu,District,"109,244","143,105",
182,Wonberma,District,"100,570","131,765",
183,Yilmana Densa,District,"214,852","277,897",
184,Ziquala,District,"44,013","56,353",
185,Benishangul-Gumuz,Region,"784,345","1,218,000",
186,Agelo Meti,District,"22,774","33,828",
187,Asossa,District,"104,147","177,292",
188,Bambasi,District,"48,694","79,558",
189,Belo Jegonfoy,District,"30,143","44,798",
190,Bulen,District,"45,523","71,280",
191,Dangur,District,"48,537","78,133",
192,Dibate,District,"66,654","101,051",
193,Guba,District,"14,907","23,648",
194,Homesha ( Komesha ),District,"21,744","30,603",
195,Kemashi,District,"17,883","33,139",
196,Kurmuk,District,"16,734","23,368",
197,Mandura,District,"40,746","66,361",
198,Mao Komo,Special District,"50,061","72,575",
199,Menge,District,"40,240","55,843",
200,Odabuldi-Guli,District,"54,584","78,305",
201,Pawe,Special District,"45,552","76,744",
202,Sherkole,District,"24,679","34,598",
203,Sirba Abay,District,"17,996","28,397",
204,Wenbera,District,"60,000","89,152",
205,Yaso,District,"12,747","19,327",
206,Dire Dawa,Chartered City,"341,834","535,000",
207,Dire Dawa,Special District,"341,834","535,000",
208,Gambela,Region,"307,096","508,004",
209,Abobo,District,"15,741","26,155",
210,Akobo,District,"24,674","34,405",
211,Dima,District,"8,001","13,322",
212,Etang,Special District,"35,686","55,507",
213,Gambela,Town,"39,022","97,643",
214,Gambela National Park,National Park,0,0,
215,Gambela Zuria,District,"10,590","15,705",
216,Godare,District,"38,781","61,079",
217,Gog,District,"16,836","29,373",
218,Jikawo,District,"35,556","51,140",
219,Jor,District,"9,366","13,507",
220,Lare,District,"31,406","50,334",
