,0,1,2,3,4,5,6,7,8
0,,Name,Adm.,Population Census (C) 1984-05-09,Population Census (C) 1994-10-11,Population Census (C) 2007-05-28,Population Projection (P) 2022-07-01,Area,
1,,Abala,AF,...,"3,300","10,301","25,300",0,
2,,Abderafi,AM,...,"3,322","10,831","24,500",0,
3,,Abiy Adi,TI,...,"7,884","16,115","34,200",22227,
4,,Abomsa,OR,"7,489","10,742","14,655","30,400",0,
5,,Adaba,OR,...,"9,997","12,099","25,100",0,
6,,Adama ( Nazret ),OR,"76,284","127,842","220,212","456,900",0,
7,,Addis Alem ( Ejere ),OR,...,"7,516","10,071","20,900",0,
8,,Addis Kidam,AM,...,"3,744","8,906","20,100",0,
9,,Adebaye,TI,...,...,"10,268","21,800",0,
10,,Adet,AM,"6,501","12,178","19,169","43,200",0,
11,,Adigrat,TI,"16,262","37,417","57,588","121,800",15520,
12,,Adis Abeba [ Addis Ababa ],AA,"1,412,575","2,112,737","2,739,551","3,860,000",52699,
13,,Adis Zemen,AM,"9,093","14,342","16,113","36,300",0,
14,,Adola ( Kibre Mengist ),OR,"14,391","20,136","22,938","47,600",2737,
15,,Adwa,TI,"13,823","24,519","40,500","85,600",18227,
16,,Agaro,OR,"18,764","23,246","25,458","52,800",819,
17,,Aksum ( Axum ),TI,"17,753","27,148","44,647","94,500",17129,
18,,Alaba Kulito ( Kolito ),SN,"8,902","15,101","26,867","72,200",0,
19,,Alamata,TI,"14,030","26,179","33,214","70,400",151450,
20,,Alem Ketema,AM,...,"7,119","10,415","23,500",0,
21,,Alem Tena,OR,...,"6,497","11,403","23,700",0,
22,,Aleta Wendo,SI,"9,685","11,321","22,093","59,300",0,
23,,Aman,SW,...,"3,415","10,936","29,400",0,
24,,Amba Giyorgis,AM,...,"4,955","12,142","27,300",0,
25,,Ambo ( Hagere Hiywet ),OR,"17,325","27,636","48,171","99,900",1020,
26,,Arba Minch,SN,"23,032","40,020","74,879","201,000",3297,
27,,Areka,SN,"4,231","12,294","31,408","84,500",0,
28,,Arerti,AM,...,"6,492","10,214","23,000",0,
29,,Arsi Negele,OR,"13,096","23,512","47,292","98,100",0,
30,,Asasa,OR,"5,068","10,903","20,667","42,900",0,
31,,Asayta,AF,...,"15,475","16,052","39,400",0,
32,,Asela,OR,"36,720","47,391","67,269","139,500",1698,
33,,Asosa,BE,"4,159","11,749","24,214","69,700",0,
34,,Ataye ( Efeson ),AM,...,"9,782","11,639","26,300",0,
35,,Awasa ( Hawassa ),SI,"36,169","69,169","157,139","422,200",0,
36,,Awash Sebat Kilo,AF,"8,684","7,570","14,880","36,500",0,
37,,Ayikel ( Chilga ),AM,...,"8,364","15,127","34,000",0,
38,,Babile,OR,...,"9,195","17,712","36,700",0,
39,,Bahir Dar,AM,"54,800","96,140","155,428","350,000",21343,
40,,Bako,OR,"6,081","10,422","16,445","34,100",0,
41,,Bambasi,BE,...,"4,164","9,146","26,300",0,
42,,Bati,AM,"10,009","13,965","16,710","37,600",0,
43,,Bedele,OR,"6,988","11,907","19,517","40,500",852,
44,,Bedesa,OR,"6,654","10,813","18,187","37,700",302,
45,,Bekoji,OR,...,"9,367","17,741","36,800",0,
46,,Bichena,AM,...,"12,484","16,206","36,500",0,
47,,Bishoftu ( Debre Zeyit ),OR,"51,143","73,372","99,928","207,400",4002,
48,,Boditi,SN,"4,403","13,400","24,133","64,900",0,
49,,Bonga,SW,...,"10,851","20,858","56,000",1369,
50,,Bule Hora ( Hagere Mariyam ),OR,"7,327","12,718","27,820","57,700",0,
51,,Burayu,OR,...,"10,027","48,876","101,400",0,
52,,Bure,AM,"8,177","13,437","20,410","46,000",0,
53,,Butajira,SN,"13,688","20,509","33,406","89,800",1613,
54,,Chagni,AM,"8,421","17,777","23,232","52,300",0,
55,,Chelenko,OR,...,"4,457","10,077","20,900",0,
56,,Chencha,SN,...,"5,787","10,225","27,500",0,
57,,Chiefera,AF,...,"1,660","9,132","22,400",0,
58,,Chinaksen ( Chinahasan ),OR,...,"7,753","12,261","25,400",0,
59,,Chiro ( Asbe Teferi ),OR,"11,344","18,678","33,670","69,800",590,
60,,Chuko,SI,...,"4,583","18,467","49,500",0,
61,,Dabat,AM,...,"8,782","12,574","28,300",0,
62,,Dangila,AM,"10,602","15,437","24,827","56,000",0,
63,,Daye,SI,...,"5,897","11,588","31,000",0,
64,,Debark,AM,"8,484","14,474","20,839","46,800",0,
65,,Debre Birhan ( Debre Berhan ),AM,"25,753","38,717","65,231","146,900",14627,
66,,Debre Markos,AM,"39,808","49,297","62,497","140,700",6582,
67,,Debre Tabor,AM,"15,306","22,455","55,596","125,300",11088,
68,,Deder,OR,...,"6,758","12,967","26,900",0,
69,,Degehabur,SO,...,"28,708","30,027","47,200",0,
70,,Dembecha,AM,...,"8,663","13,218","29,800",0,
71,,Dembi Dolo,OR,"14,170","19,587","29,448","61,100",1683,
72,,Dera,OR,...,"9,356","14,786","30,700",0,
