,0,1,2,3,4
0,Name,Status,Population Census 2010-09-26,Population Census 2021-06-27,
1,Ahafo ( ← Brong Ahafo ),Region,"484,210","564,668",
2,Asunafo North Municipal,Municipal District,"124,685","150,198",
3,Asunafo South,District,"95,580","91,693",
4,Asutifi North,District,"52,259","73,556",
5,Asutifi South,District,"53,584","68,394",
6,Tano North Municipal,Municipal District,"79,973","93,608",
7,Tano South Municipal,Municipal District,"78,129","87,219",
8,Ashanti,Region,"4,780,380","5,440,463",
9,Adansi Asokwa ( ← Adansi North ),District,"67,133","71,844",
10,Adansi North,District,"39,958","54,155",
11,Adansi South,District,"40,523","85,200",
12,Afigya Kwabre North,District,"41,593","73,330",
13,Afigya Kwabre South,District,"94,547","234,667",
14,Ahafo Ano North Municipal,Municipal District,"94,285","92,742",
15,Ahafo Ano South East,District,"58,962","63,468",
16,Ahafo Ano South West,District,"62,697","65,770",
17,Akrofuom ( ← Obuasi Municipal ),District,"74,855","49,291",
18,Amansie Central,District,"90,741","93,052",
19,Amansie South ( ← Amansie West ),District,"60,227","116,366",
20,Amansie West,District,"74,104","109,416",
21,Asante Akim Central Municipal,Municipal District,"71,508","91,673",
22,Asante Akim North,District,"69,186","85,788",
23,Asante Akim South Municipal,Municipal District,"117,245","123,633",
24,Asokore Mampong Municipal,Municipal District,"304,815","191,402",
25,Asokwa Municipal ( ← Kumasi Metropolitan ),Municipal District,"140,161","125,642",
26,Atwima Kwanwoma,District,"90,634","234,846",
27,Atwima Mponua,District,"119,180","155,254",
28,Atwima Nwabiagya Municipal ( Atwima Nwabiagya South Municipal ),Municipal District,"85,994","161,893",
29,Atwima Nwabiagya North ( ← Atwima Nwabiagya Municipal ),District,"63,031","155,025",
30,Bekwai Municipal,Municipal District,"118,024","137,967",
31,Bosome Freho,District,"60,397","62,259",
32,Bosomtwe,District,"93,910","165,180",
33,Ejisu Municipal,Municipal District,"95,424","180,723",
34,Ejura-Sekyedumase Municipal,Municipal District,"85,446","137,672",
35,Juaben Municipal,Municipal District,"48,338","63,929",
36,"Kumasi Metropolitan ( incl. Bantama Municipal, Manhyia North Municipal, Manhyia South Municipal, Nhyiaeso Municipal, Subin Municipal )",Metropolitan District,"728,634","443,981",
37,Kwabre East,District,"115,556","296,814",
38,Kwadaso Municipal ( ← Kumasi Metropolitan ),Municipal District,"251,215","154,526",
39,Mampong Municipal,Municipal District,"88,051","116,632",
40,Obuasi East ( ← Obuasi Municipal ),District,"76,004","92,401",
41,Obuasi Municipal,Municipal District,"92,637","104,297",
42,Offinso Municipal,Municipal District,"76,895","137,272",
43,Offinso North,District,"56,881","83,440",
44,Oforikrom Municipal ( ← Kumasi Metropolitan ),Municipal District,"303,016","213,126",
45,Old Tafo Municipal ( ← Kumasi Metropolitan ),Municipal District,"146,024","114,368",
46,Sekyere Afram Plains,District,"28,535","32,640",
47,Sekyere Central,District,"71,232","73,228",
48,Sekyere East,District,"62,172","74,789",
