,0,1,2,3,4
0,Name,Status,Population Census 1996-12-31,Population Census 2014-03-01,
1,Beyla,Prefecture,"169,730","326,082",
2,Beyla-Centre,Urban Commune,"17,264","32,212",
3,Boola,Sub-Prefecture,"15,323","22,542",
4,Diara-Guerela,Sub-Prefecture,"4,573","11,340",
5,Diassadou,Sub-Prefecture,"5,870","16,922",
6,Fouala,Sub-Prefecture,"9,174","16,619",
7,Gbackédou,Sub-Prefecture,"13,567","22,474",
8,Gbéssoba,Sub-Prefecture,"17,977","35,372",
9,Karala,Sub-Prefecture,"4,786","10,815",
10,Koumandou,Sub-Prefecture,"7,686","13,119",
11,Moussadou,Sub-Prefecture,"6,683","15,638",
12,Nionsomoridou,Sub-Prefecture,"7,557","15,627",
13,Samana,Sub-Prefecture,"10,473","24,213",
14,Sinko,Sub-Prefecture,"40,276","80,104",
15,Sokourala,Sub-Prefecture,"5,001","9,085",
16,Boffa,Prefecture,"156,558","212,583",
17,Boffa-Centre,Urban Commune,"20,553","27,130",
18,Colia,Sub-Prefecture,"26,549","35,737",
19,Douprou,Sub-Prefecture,"14,514","21,405",
20,Koba-Tatema,Sub-Prefecture,"35,730","51,111",
21,Lisso,Sub-Prefecture,"7,983","11,830",
22,Mankountan,Sub-Prefecture,"14,097","17,148",
23,Tamita,Sub-Prefecture,"11,556","14,287",
24,Tougnifili,Sub-Prefecture,"27,294","33,935",
25,Boké,Prefecture,"293,917","450,278",
26,Bintimodiya,Sub-Prefecture,"22,225","25,901",
27,Boké-Centre,Urban Commune,"41,985","61,758",
28,Dabiss,Sub-Prefecture,"16,470","29,897",
29,Kamsar,Sub-Prefecture,"83,331","113,350",
30,Kanfarandé,Sub-Prefecture,"20,024","29,407",
31,Kolaboui,Sub-Prefecture,"39,180","57,442",
32,Malapouyah,Sub-Prefecture,"8,795","10,271",
33,Sangarédi,Sub-Prefecture,"35,272","76,425",
34,Sansalé,Sub-Prefecture,"6,404","11,873",
35,Tanéné,Sub-Prefecture,"19,115","33,954",
36,Conakry,Capital,"1,092,936","1,660,973",
37,Dixinn,Urban Sub-Prefecture,"152,236","135,788",
38,Kaloum,Urban Sub-Prefecture,"73,505","62,507",
39,Matam,Urban Sub-Prefecture,"158,207","143,255",
40,Matoto,Urban Sub-Prefecture,"392,758","666,640",
41,Ratoma,Urban Sub-Prefecture,"336,162","652,783",
42,Coyah,Prefecture,"85,148","263,861",
43,Coyah-Centre,Urban Commune,"30,993","49,738",
44,Kouriah,Sub-Prefecture,"5,431","10,009",
45,Manéah,Sub-Prefecture,"26,872","167,531",
46,Wonkifong,Sub-Prefecture,"23,676","36,583",
47,Dabola,Prefecture,"111,363","181,137",
48,Arfamoussaya,Sub-Prefecture,"10,614","16,523",
49,Banko,Sub-Prefecture,"13,584","23,610",
50,Bissikrima,Sub-Prefecture,"18,706","28,638",
51,Dabola-Centre,Urban Commune,"23,002","38,464",
52,Dogomet,Sub-Prefecture,"20,011","27,748",
53,Kankama,Sub-Prefecture,"8,642","13,297",
54,Kindoyé,Sub-Prefecture,"3,259","6,382",
55,Konindou,Sub-Prefecture,"5,850","10,013",
56,N'Déma,Sub-Prefecture,"6,391","16,462",
57,Dalaba,Prefecture,"136,656","133,677",
58,Bodié,Sub-Prefecture,"10,116","8,967",
59,Dalaba-Centre,Urban Commune,"20,871","24,193",
60,Ditinn,Sub-Prefecture,"16,104","13,121",
61,Kaala,Sub-Prefecture,"7,496","7,024",
62,Kankalabé,Sub-Prefecture,"16,781","15,955",
63,Kébali,Sub-Prefecture,"13,825","11,540",
64,Koba,Sub-Prefecture,"13,418","16,876",
65,Mafara,Sub-Prefecture,"8,604","8,182",
66,Mitty,Sub-Prefecture,"18,284","13,737",
67,Mombéyah,Sub-Prefecture,"13,636","14,082",
68,Dinguiraye,Prefecture,"137,380","196,469",
69,Banora,Sub-Prefecture,"21,559","33,823",
70,Dialakoro,Sub-Prefecture,"10,782","14,882",
71,Diatiféré,Sub-Prefecture,"19,994","33,658",
72,Dinguiraye-Centre,Urban Commune,"30,753","47,207",
73,Gagnakali,Sub-Prefecture,"9,654","12,659",
74,Kalinko,Sub-Prefecture,"26,630","31,970",
75,Lansanya,Sub-Prefecture,"7,925","9,106",
76,Sélouma,Sub-Prefecture,"10,697","13,164",
77,Dubréka,Prefecture,"131,337","330,548",
78,Badi,Sub-Prefecture,"8,659","10,651",
79,Dubréka-Centre,Urban Commune,"20,277","170,388",
80,Falessade,Sub-Prefecture,"7,633","11,186",
81,Khorira,Sub-Prefecture,"15,465","25,505",
82,Ouassou,Sub-Prefecture,"11,440","15,647",
83,Tanéné,Sub-Prefecture,"28,709","48,051",
84,Tondon,Sub-Prefecture,"33,746","49,120",
85,Faranah,Prefecture,"147,347","280,170",
86,Banian,Sub-Prefecture,"20,595","36,634",
