,0,1,2,3,4,5,6,7,8,9,10
0,,Name,Abbr.,Status,Capital,Area A (km²),Population Census (C) 1983-02-04,Population Census (C) 1996-12-31,Population Census (Cf) 2014-03-01,,
1,,Guinea,GIN,Rep,Conakry,"245,857","4,660,582","7,156,406","10,523,261",,
2,,Boké,BOK,Reg,Boké,"31,186","508,724","760,119","1,083,147",3118600,
3,,Conakry,CON,Cap,Conakry,450,"710,372","1,092,936","1,660,973",45000,
4,,Faranah,FAR,Reg,Faranah,"35,581","425,160","602,845","941,554",3558100,
5,,Kankan,KAN,Reg,Kankan,"72,156","640,432","1,011,644","1,972,537",7215600,
6,,Kindia,KIN,Reg,Kindia,"28,873","555,937","928,312","1,561,374",2887300,
7,,Labé,LAB,Reg,Labé,"22,869","642,617","799,545","994,458",2286900,
8,,Mamou,MAM,Reg,Mamou,"17,074","437,212","612,218","731,188",1707400,
9,,Nzérékoré,NZE,Reg,Nzérékoré,"37,668","740,128","1,348,787","1,578,030",3766800,
