,0,1,2,3,4,5,6,7,8
0,,Name,Adm.,Population Census (Cf) 1975-04-30,Population Census (Cf) 1988-03-01,Population Census (C) 1998-12-20,Population Census (C) 2014-05-15,Area,
1,,Abengourou,COM,"30,028","59,114","71,462","100,910",0,
2,,Abidjan,ABI,"951,216","1,929,079","2,877,948","4,395,243",0,
3,,Aboisso,COM,"13,527","21,331","27,218","45,688",0,
4,,Aboisso-Comoé,LAG,...,...,...,"15,937",0,
5,,Adiaké,COM,"5,588","9,387","14,280","19,055",0,
6,,Adzopé,LAG,"21,147","36,150","43,821","58,722",0,
7,,Afféry,LAG,"11,299","17,149","20,589","21,777",0,
8,,Agboville,LAG,"26,914","46,045","53,822","50,873",0,
9,,Agnibilékrou,COM,"13,355","24,691","33,061","48,611",0,
10,,Ahigbé-Koffikro,COM,...,...,...,"14,928",0,
11,,Ahouanou,LAG,...,...,...,"21,533",0,
12,,Akoupé,LAG,"10,873","20,412","21,881","26,668",0,
13,,Ancien-Prozi,SMA,...,...,...,"24,103",0,
14,,Anyama,ABI,"26,406","56,690","79,548","103,297",0,
15,,Arrah,LAC,"16,015","20,875","23,388","24,122",0,
16,,Azaguié,LAG,...,"14,392","16,677","13,876",0,
17,,Balokuya,BSA,...,...,...,"25,573",0,
18,,Bangolo,MON,...,"9,495","12,642","16,864",0,
19,,Bécédi-Brignan,LAG,...,"7,860","8,162","15,648",0,
20,,Bédiala,SMA,...,...,...,"17,295",0,
21,,Belleville,BSA,...,...,...,"14,530",0,
22,,Belleville,SMA,...,...,...,"18,202",0,
23,,Béoumi,VBA,"10,487","13,200","21,484","25,526",0,
24,,Biankouma,MON,"4,533","12,822","17,067","17,922",0,
25,,Biéby,LAG,...,...,...,"16,646",0,
26,,Bingerville,ABI,"12,527","28,752","35,944","64,015",0,
27,,Bléniméouin,MON,...,...,...,"15,189",0,
28,,Bloléquin,MON,...,"6,608","24,236","32,262",0,
29,,Boboniessoko,SMA,...,...,...,"21,237",0,
30,,Bondoukou,ZAN,"19,021","33,325","44,335","88,783",0,
31,,Bongouanou,LAC,"15,459","19,483","21,898","28,064",0,
32,,Bonon,SMA,...,"19,953","28,140","92,523",0,
33,,Bonoua,COM,"17,421","21,436","31,875","38,135",0,
34,,Bonoufla,SMA,...,...,...,"23,467",0,
35,,Bouaflé,SMA,"17,188","35,758","47,941","80,389",0,
36,,Bouaké,VBA,"175,264","329,850","461,618","536,719",0,
37,,Bouna,ZAN,"5,397","13,371","16,094","18,755",0,
38,,Boundiali,SAV,"9,910","22,035","27,927","39,962",0,
39,,Buyo,BSA,...,"7,301","12,953","25,339",0,
40,,Dabakala,VBA,"3,311","7,768","9,915","14,134",0,
41,,Dabou,LAG,"23,134","39,407","53,633","61,942",0,
42,,Dabouyo,BSA,...,...,...,"17,015",0,
43,,Dagadji,BSA,...,...,...,"21,333",0,
44,,Daloa,SMA,"60,837","121,842","173,107","245,360",0,
45,,Danané,MON,"19,608","30,941","53,966","60,645",0,
46,,Daoukro,LAC,"12,575","22,116","36,414","44,342",0,
47,,Dianra,WOR,...,"3,708","6,925","25,880",0,
48,,Diawala,SAV,...,"4,597","6,911","20,216",0,
49,,Diégonéfla,GDJ,...,"10,489","15,835","33,523",0,
50,,Dimbokro,LAC,"31,073","37,981","46,683","48,860",0,
51,,Divo,GDJ,"35,610","72,350","86,569","105,397",0,
52,,Djapadji,BSA,...,...,...,"30,605",0,
53,,Doropo,ZAN,...,"5,364","7,409","14,388",0,
54,,Doukouya,GDJ,...,...,...,"14,881",0,
55,,Duékoué,MON,"13,297","27,600","37,374","90,274",0,
56,,Ebilassokro,COM,...,...,...,"14,295",0,
57,,Fengolo,MON,...,...,...,"28,670",0,
58,,Ferkessédougou,SAV,"24,662","35,141","73,010","55,910",0,
59,,Fronan,VBA,...,"8,226","8,863","16,647",0,
60,,Gabiadji,BSA,...,...,...,"17,449",0,
61,,Gagnoa,GDJ,"42,285","85,563","107,124","160,465",0,
62,,Galébré,GDJ,...,...,...,"16,389",0,
63,,Gbapleu,MON,...,...,...,"22,219",0,
64,,Gligbeuadji,BSA,...,...,...,"24,979",0,
65,,Gnatroa,GDJ,...,...,...,"21,879",0,
66,,Gohouo-Zagna,MON,...,...,...,"16,836",0,
67,,Gonaté,SMA,...,...,...,"19,161",0,
68,,Goya,MON,...,...,...,"27,225",0,
69,,Grand-Bassam,COM,"27,273","41,501","53,218","74,671",0,
70,,Grand-Lahou,LAG,"3,788","5,789","24,718","28,470",0,
71,,Grand-Zattry,BSA,...,...,...,"24,166",0,
72,,Guépahouo,GDJ,...,...,...,"20,143",0,
73,,Guézon,MON,...,...,...,"15,473",0,
74,,Guibéroua,GDJ,"5,281","7,520","11,512","18,029",0,
75,,Guiglo,MON,"9,283","22,385","35,928","52,544",0,
76,,Guinglo-Tahouaké,MON,...,...,...,"18,067",0,
77,,Hermankono-Garo,GDJ,...,...,...,"14,216",0,
78,,Hiré,GDJ,"10,253","14,643","17,837","31,960",0,
79,,Issia,SMA,"10,863","28,821","40,975","52,660",0,
80,,Kahin-Zarabaon,MON,...,...,...,"25,450",0,
81,,Kaouara,SAV,...,...,...,"20,167",0,
82,,Katiola,VBA,"18,625","33,662","38,515","40,319",0,
83,,Kononfla,SMA,...,...,...,"23,310",0,
84,,Korhogo,SAV,"45,250","109,445","142,039","243,048",0,
85,,Labakuya,BSA,...,...,...,"14,436",0,
86,,Lakota,GDJ,"12,958","21,940","30,154","24,976",0,
87,,Luénoufla,SMA,...,...,...,"19,643",0,
88,,Mabéhiri 1,BSA,...,...,...,"17,909",0,
89,,Mahapleu,MON,...,...,...,"14,921",0,
90,,Man,MON,"50,288","89,575","116,657","149,041",0,
91,,Mankono,WOR,"6,524","10,783","14,908","15,118",0,
92,,M'Bahiakro,LAC,"10,208","10,825","10,641","14,894",0,
93,,M'Batto,LAC,"10,057","15,699","16,871","18,300",0,
94,,M'Bengué,SAV,...,"4,614","6,878","22,242",0,
95,,Méagui,BSA,...,"7,648","18,093","57,367",0,
96,,Mignoré,SMA,...,...,...,"14,025",0,
97,,Moussadougou,BSA,...,...,...,"16,344",0,
98,,N'Douci,LAG,...,...,...,"27,112",0,
99,,Niablé,COM,...,"11,203","12,840","15,754",0,
100,,Niakaramandougou,VBA,...,"3,941","8,254","16,812",0,
101,,Niapidou,BSA,...,...,...,"14,145",0,
102,,Niellé,SAV,...,"9,599","6,386","19,116",0,
