,0,1,2,3,4
0,Name,Status,Population Census 2014-05-15,Population Census 2021-12-14,
1,Abidjan,Autonomous District,"4,707,404","6,321,017",
2,Abidjan,Sub-Prefecture,"4,395,243","5,616,633",
3,Anyama,Sub-Prefecture,"148,962","389,592",
4,Bingerville,Sub-Prefecture,"91,319","204,656",
5,Brofodoumé,Sub-Prefecture,"15,842","20,357",
6,Songon,Sub-Prefecture,"56,038","89,778",
7,Agnéby-Tiassa,Region,"606,852","865,951",
8,Aboudé,Sub-Prefecture,"19,796","28,315",
9,Agboville,Sub-Prefecture,"95,093","135,082",
10,Ananguié,Sub-Prefecture,"13,786","18,311",
11,Attobrou,Sub-Prefecture,"20,454","25,972",
12,Azaguié,Sub-Prefecture,"21,976","38,066",
13,Céchi,Sub-Prefecture,"22,779","25,967",
14,Gbolouville,Sub-Prefecture,"28,854","42,476",
15,Gomon,Sub-Prefecture,"20,880","34,865",
16,Grand-Morié,Sub-Prefecture,"17,907","25,302",
17,Guessiguié,Sub-Prefecture,"21,911","26,167",
18,Loviguié,Sub-Prefecture,"17,048","19,771",
19,Morokro,Sub-Prefecture,"35,790","55,636",
20,N'Douci,Sub-Prefecture,"56,990","97,194",
21,Oress-Krobou,Sub-Prefecture,"5,806","8,611",
22,Pacobo,Sub-Prefecture,"14,510","19,572",
23,Rubino,Sub-Prefecture,"35,553","32,775",
24,Sikensi,Sub-Prefecture,"57,559","91,032",
25,Taabo,Sub-Prefecture,"41,912","57,189",
26,Tiassalé,Sub-Prefecture,"58,248","83,648",
27,Bafing,Region,"183,047","262,850",
28,Booko,Sub-Prefecture,"18,356","22,894",
29,Borotou,Sub-Prefecture,"5,353","5,202",
30,Dioman,Sub-Prefecture,"4,817","6,375",
31,Foungbesso,Sub-Prefecture,"18,033","24,562",
32,Gbélo,Sub-Prefecture,"4,941","6,369",
33,Gouékan,Sub-Prefecture,"3,246","4,592",
34,Guintéguéla,Sub-Prefecture,"18,994","34,575",
35,Koonan,Sub-Prefecture,"6,553","9,970",
36,Koro,Sub-Prefecture,"23,596","33,567",
37,Mahandougou,Sub-Prefecture,"5,597","6,337",
38,Niokosso,Sub-Prefecture,"6,308","8,346",
39,Ouaninou,Sub-Prefecture,"20,790","27,919",
40,Saboudougou,Sub-Prefecture,"3,918","5,225",
41,Santa,Sub-Prefecture,"9,357","11,906",
42,Touba,Sub-Prefecture,"33,188","55,013",
43,Bagoué,Region,"375,687","515,890",
44,Baya,Sub-Prefecture,"8,591","16,715",
45,Blességué,Sub-Prefecture,"15,187","21,345",
46,Boundiali,Sub-Prefecture,"59,586","92,792",
47,Débété,Sub-Prefecture,"5,751","5,229",
48,Ganaoni,Sub-Prefecture,"18,842","25,216",
49,Gbon,Sub-Prefecture,"25,427","32,189",
50,Kanakono,Sub-Prefecture,"22,901","30,630",
51,Kasséré,Sub-Prefecture,"23,983","39,106",
52,Kolia,Sub-Prefecture,"24,848","32,113",
53,Kouto,Sub-Prefecture,"37,060","55,893",
54,Papara,Sub-Prefecture,"8,866","13,448",
55,Sianhala,Sub-Prefecture,"27,076","34,048",
56,Siempurgo,Sub-Prefecture,"16,682","24,713",
57,Tengréla,Sub-Prefecture,"80,887","92,454",
58,Bélier,Region,"346,768","415,593",
59,Angoda ( Angonda ),Sub-Prefecture,"14,272","11,819",
