,0,1,2,3,4,5,6,7,8
0,,Name,Abbr.,Capital,Area A (km²),Population Census (C) 1984-02-01,Population Census (Cf) 2008-03-21,,
1,,Liberia,LBR,Monrovia,"97,036","2,101,628","3,476,608",,
2,,Bomi,BM,Tubmanburg,"1,942","66,420","84,119",194200,
3,,Bong,BG,Gbarnga,"8,769","255,813","333,481",876900,
4,,Gbarpolu,GP,Bopolu,"9,685","48,399","83,388",968500,
5,,Grand Bassa,GB,Buchanan,"7,932","159,648","221,693",793200,
6,,Grand Cape Mount,CM,Robertsport,"5,160","79,322","127,076",516000,
7,,Grand Gedeh,GG,Zwedru,"10,480","63,028","125,258",1048000,
8,,Grand Kru ( Kru Coast Sasstown ),GK,Barclayville,"3,894","62,791","57,913",389400,
9,,Lofa,LO,Voinjama,"9,978","199,242","276,863",997800,
10,,Margibi ( Gibi Marshall ),MG,Kakata,"2,615","151,792","209,923",261500,
11,,Maryland,MY,Harper,"2,296","69,267","135,938",229600,
12,,Montserrado,MO,Bensonville,"1,908","491,078","1,118,241",190800,
13,,Nimba,NI,Sanniquellie,"11,546","313,050","462,026",1154600,
14,,Rivercess,RI,Cesstos City,"5,592","37,849","71,509",559200,
15,,River Gee,RG,Fish Town,"5,110","39,782","66,789",511000,
16,,Sinoe,SI,Greenville,"10,133","64,147","102,391",1013300,
