,0,1,2,3,4
0,Name,Status,Population Census 1998-04-17,Population Census 2009-04-01,
1,Abeïbara,Cercle,"7,629","10,296",
2,Abeïbara,Commune,"3,679","4,549",
3,Boghassa,Commune,"2,597","3,378",
4,Tinzawatène,Commune,"1,087","2,369",
5,Ansongo,Cercle,"83,841","131,953",
6,Ansongo,Commune,"20,791","30,091",
7,Bara,Commune,"9,575","15,092",
8,Bourra,Commune,"12,880","18,726",
9,Ouattagouna,Commune,"20,983","30,263",
10,Talataye,Commune,"8,846","14,023",
11,Tessit,Commune,"5,836","13,766",
12,Tin-Hama,Commune,"3,487","9,992",
13,Bafoulabé,Cercle,"168,731","233,647",
14,Bafoulabé,Commune,"15,385","19,766",
15,Bamafele,Commune,"12,544","16,180",
16,Diakon,Commune,"24,141","33,756",
17,Diallan,Commune,"10,146","14,695",
18,Diokeli,Commune,"9,893","13,097",
19,Gounfan,Commune,"4,423","6,998",
20,Kontela,Commune,"14,990","21,510",
21,Koundian,Commune,"10,970","13,857",
22,Mahina,Commune,"19,070","25,902",
23,Niambia,Commune,"4,545","7,431",
24,Oualia,Commune,"14,717","20,687",
25,Sidibela,Commune,"5,146","7,557",
26,Tomora,Commune,"22,761","32,211",
27,Bamako,Capital District,"1,016,296","1,810,366",
28,Commune I,Urban Commune,"195,081","334,886",
29,Commune II,Urban Commune,"126,353","159,360",
30,Commune III,Urban Commune,"99,753","128,666",
31,Commune IV,Urban Commune,"186,200","304,526",
32,Commune V,Urban Commune,"187,567","413,266",
33,Commune VI,Urban Commune,"221,342","469,662",
34,Banamba,Cercle,"142,160","191,005",
35,Banamba,Commune,"23,933","31,880",
36,Ben Kadi,Commune,"6,697","9,072",
37,Boron,Commune,"30,313","38,106",
38,Duguwolowula,Commune,"32,414","43,026",
39,Kiban,Commune,"9,079","12,389",
40,Madina Sacko,Commune,"17,315","26,143",
41,Sebete,Commune,"3,091","4,060",
42,Toubacoro ( Toubakoro ),Commune,"10,287","14,374",
43,Toukoroba,Commune,"9,031","11,955",
44,Bandiagara,Cercle,"227,580","313,456",
45,Bandiagara,Urban Commune,"11,499","17,166",
46,Bara Sara,Commune,"10,197","15,033",
47,Borko,Commune,"6,458","7,031",
48,Dandoli,Commune,"7,200","9,579",
49,Diamnati,Commune,"10,462","13,148",
50,Dogani Béré,Commune,"3,259","4,419",
51,Doucoumbo,Commune,"14,985","20,835",
52,Dourou,Commune,"16,663","19,524",
53,Kendé,Commune,"4,317","3,726",
54,Kendié,Commune,"18,593","25,482",
55,Lowol-Guéou,Commune,"5,510","8,957",
56,Metoumou,Commune,"11,033","14,016",
57,Ondougou,Commune,"4,534","5,657",
58,Pelou,Commune,"3,481","4,347",
59,Pignari,Commune,"8,889","16,063",
60,Pignari Bana,Commune,"18,295","30,079",
61,Sangha,Commune,"24,420","30,798",
62,Ségué Iré,Commune,"11,187","14,861",
63,Soroly,Commune,"5,738","7,296",
64,Timniri,Commune,"9,802","17,580",
65,Wadouba,Commune,"21,058","27,859",
66,Bankass,Cercle,"195,582","264,776",
67,Bankass,Commune,"23,377","30,476",
68,Baye,Commune,"26,392","38,735",
69,Diallassagou,Commune,"16,417","22,709",
70,Dimbal Habé ( Dimbal Habbe ),Commune,"13,702","17,682",
71,Kani Bozon ( Kani-Bonzoni ),Commune,"10,522","13,082",
72,Koulogon Habbé,Commune,"12,791","14,511",
73,Lessagou Habe,Commune,"11,858","15,552",
74,Ouonkoro ( Ouenkoro ),Commune,"17,161","22,702",
75,Segue,Commune,"16,934","22,067",
76,Sokoura,Commune,"27,457","38,565",
77,Soubala,Commune,"7,361","10,684",
78,Tori,Commune,"11,610","18,011",
79,Barouéli,Cercle,"157,145","202,866",
80,Barouéli,Commune,"31,945","42,862",
81,Boidie,Commune,"17,380","22,056",
82,Dougoufie,Commune,"7,529","9,260",
83,Gouendo,Commune,"8,480","10,588",
84,Kalake,Commune,"12,860","16,509",
85,Konobougou,Commune,"26,370","37,236",
86,N'Gassola,Commune,"4,404","5,660",
87,Sanando,Commune,"23,830","32,643",
88,Somo,Commune,"6,618","6,875",
89,Tamani,Commune,"13,279","13,059",
90,Tesserla,Commune,"4,450","6,118",
91,Bla,Cercle,"202,295","283,678",
92,Beguene,Commune,"9,872","11,900",
93,Bla,Commune,"27,568","45,474",
94,Diaramana,Commune,"15,235","20,053",
95,Diena,Commune,"6,691","9,502",
96,Dougouolo,Commune,"7,478","8,711",
97,Falo,Commune,"26,306","41,144",
98,Fani,Commune,"10,568","13,821",
99,Kazangasso,Commune,"6,452","6,001",
100,Kemeni,Commune,"10,076","13,422",
101,Korodougou,Commune,"8,405","11,336",
102,Koulandougou,Commune,"3,502","4,710",
103,Niala,Commune,"8,198","10,262",
104,Samabogo,Commune,"9,684","13,210",
105,Somasso,Commune,"8,428","10,948",
106,Tiemena,Commune,"7,956","11,169",
107,Touna,Commune,"20,174","30,399",
108,Yangasso,Commune,"15,702","21,616",
109,Bougouni,Cercle,"307,633","458,546",
110,Bladié-Tiémala,Commune,"2,025","4,604",
111,Bougouni,Urban Commune,"37,360","58,538",
112,Danou,Commune,"10,058","13,464",
113,Debelin,Commune,"5,135","8,281",
114,Defina,Commune,"7,163","8,019",
115,Dogo,Commune,"25,567","34,154",
116,Domba,Commune,"8,947","13,847",
117,Faradiele,Commune,"2,220","2,689",
118,Faragouaran,Commune,"7,960","10,525",
119,Garalo,Commune,"20,394","32,760",
120,Keleya,Commune,"17,566","20,529",
121,Kokele,Commune,"5,049","6,477",
122,Kola,Commune,"2,724","4,488",
123,Koumantou,Commune,"33,987","51,209",
124,Kouroulamini,Commune,"4,599","6,245",
125,Meridiela,Commune,"9,137","13,858",
126,Ouroun,Commune,"4,265","5,545",
127,Sanso,Commune,"10,940","19,834",
128,Sibirila,Commune,"17,317","30,837",
129,Sido,Commune,"12,921","20,822",
130,Syen Toula,Commune,"6,768","9,455",
131,Tiémala-Banimonotié,Commune,"11,517","16,773",
132,Wola,Commune,"9,257","11,382",
133,Yinindougou,Commune,"4,470","8,966",
134,Yiridougou,Commune,"6,860","9,478",
135,Zantiébougou,Commune,"23,427","35,767",
136,Bourem,Cercle,"86,168","116,360",
137,Bamba,Commune,"21,735","28,616",
138,Bourem,Urban Commune,"21,227","27,488",
139,Taboye,Commune,"16,372","20,641",
140,Tarkint,Commune,"7,441","19,099",
141,Téméra,Commune,"13,892","20,516",
142,Diéma,Cercle,"141,905","211,772",
143,Béma,Commune,"19,664","25,429",
144,Diangounté Camara,Commune,"20,419","28,467",
145,Dianguirdé,Commune,"8,630","11,988",
146,Diéma,Commune,"19,297","30,470",
147,Diéoura,Commune,"7,921","11,761",
148,Dioumara Koussata,Commune,"10,894","16,280",
149,Fassoudébé,Commune,"3,731","5,470",
150,Fatao,Urban Commune,"4,774","8,339",
151,Gomitradougou,Commune,"4,111","7,296",
152,Grouméra,Commune,"7,154","11,519",
153,Guédébiné,Commune,"3,744","5,089",
154,Lakamané,Commune,"9,756","15,964",
155,Lambidou,Commune,"9,347","14,791",
156,Madiga Sacko,Commune,"8,816","13,936",
157,Sansankidé,Commune,"3,647","4,973",
158,Dioïla,Cercle,"332,972","488,937",
159,Banco ( Banko ),Commune,"24,596","32,979",
160,Benkadi,Commune,"5,921","7,899",
161,Binko,Commune,"13,262","19,897",
162,Degnekoro,Commune,"7,058","10,082",
163,Diebé,Commune,"6,452","8,704",
164,Diédougou,Commune,"26,273","35,892",
165,Diouman,Commune,"8,047","19,176",
166,Dolendougou,Commune,"9,783","14,220",
167,Guegneka,Commune,"27,404","48,041",
168,Jèkafo,Commune,"4,862","6,641",
169,Kaladougou,Commune,"23,823","39,171",
170,Kemekafo,Commune,"16,965","24,434",
171,Kerela,Commune,"7,224","12,626",
172,Kilidougou,Commune,"12,045","15,508",
173,Massigui,Commune,"42,665","54,252",
174,Nangola,Commune,"13,603","18,605",
175,N'Dlondougou,Commune,"14,100","20,993",
176,N'Garadougou,Commune,"10,113","15,593",
177,N'Golobougou,Commune,"15,204","21,848",
178,Niantjila,Commune,"12,151","14,303",
179,Tenindougou,Commune,"9,869","14,583",
180,Wacoro,Commune,"9,759","15,000",
181,Zan Coulibaly,Commune,"11,793","18,490",
182,Diré,Cercle,"84,393","109,661",
183,Arham,Commune,"2,242","2,819",
184,Binga,Commune,"4,011","5,115",
185,Bourem Sidi Amar,Commune,"5,724","8,555",
186,Dangha,Commune,"7,216","12,905",
187,Diré,Urban Commune,"13,431","20,337",
188,Garbakoïra,Commune,"4,627","5,651",
189,Haibongo,Commune,"10,546","14,257",
190,Kirchamba,Commune,"3,069","4,120",
191,Kondi,Commune,"2,324","3,051",
192,Sareyamou,Commune,"12,488","16,946",
193,Tienkour,Commune,"4,093","6,527",
194,Tindirma,Commune,"4,922","6,477",
195,Tinguereguif,Commune,"2,267","2,901",
196,Djenné,Cercle,"155,551","208,413",
197,Dandougou Fakala,Commune,"8,481","9,410",
198,Derary,Commune,"5,771","6,962",
199,Djenné,Urban Commune,"19,558","26,267",
200,Fakala,Commune,"25,177","33,714",
201,Femaye,Commune,"13,043","16,324",
202,Kéwa,Commune,"13,835","22,025",
203,Madiama,Commune,"8,805","11,833",
204,Néma-Badenyakafo,Commune,"33,619","46,399",
205,Niansanarie,Commune,"3,863","4,743",
206,Ouro Ali,Commune,"8,261","10,826",
207,Pondori,Commune,"7,236","9,991",
208,Togue Mourari,Commune,"7,902","9,919",
209,Douentza,Cercle,"155,831","246,625",
210,Dallah,Commune,"6,337","8,103",
211,Dangol-Boré,Commune,"18,028","26,540",
212,Débéré,Commune,"5,204","6,953",
213,Dianwély,Commune,"5,948","8,649",
214,Djaptodji,Commune,"26,554","36,232",
215,Douentza,Urban Commune,"13,138","24,005",
216,Gandamia,Commune,"3,103","5,961",
217,Haïré,Commune,"17,950","30,008",
218,Hombori,Commune,"13,310","23,103",
219,Kéréna,Commune,"1,849","3,903",
220,Korarou,Commune,"1,844","3,449",
221,Koubewel Koundia,Commune,"10,230","13,180",
222,Mondoro,Commune,"20,968","42,194",
223,Pétaka,Commune,"4,635","5,553",
224,Tédjé ( Tédié ),Commune,"6,733","8,792",
225,Gao,Cercle,"171,253","239,535",
226,Anchawadi,Commune,"10,795","20,559",
227,Gabero,Commune,"18,771","25,621",
228,Gao,Urban Commune,"52,201","86,353",
229,Gounzoureye,Commune,"19,970","27,249",
230,N'Tillit,Commune,"10,073","22,285",
231,Sony Aliber,Commune,"29,816","47,618",
232,Tilemsi,Commune,"1,674","9,850",
233,Goundam,Cercle,"130,583","151,329",
234,Alzounoub,Commune,"3,774","4,477",
235,Bintagoungou,Commune,"6,159","8,313",
236,D'adarmalane ( Adarmalane ),Commune,"1,960",955,
237,Douékiré,Commune,"12,638","18,095",
238,Doukouria,Commune,"2,431","2,765",
239,Essakane,Commune,"9,130","11,358",
240,Gargando,Commune,"6,658","8,522",
241,Goundam,Urban Commune,"9,030","12,586",
242,Issa Bery,Commune,"4,674","4,126",
243,Kaneye,Commune,"2,052","2,332",
244,M'Bouna,Commune,"4,749","3,831",
245,Raz-El-Ma,Commune,"3,511","4,398",
246,Télé,Commune,"5,489","5,926",
247,Tilemsi,Commune,"1,893","7,392",
248,Tin Aicha,Commune,"1,928","2,977",
249,Tonka,Commune,"37,821","53,276",
250,Gourma-Rharous,Cercle,"67,717","111,033",
251,Bambara Maoudé,Commune,"9,635","16,485",
252,Banikane,Commune,"5,482","9,449",
253,Gossi,Commune,"9,458","24,065",
254,Hanzakoma,Commune,"3,483","9,084",
255,Haribomo,Commune,"6,531","7,371",
256,Inadiatafane,Commune,"4,155","3,557",
257,Ouinerden,Commune,"3,786","6,101",
258,Rharous ( Gourma-Rharous ),Commune,"15,155","26,287",
259,Serere,Commune,"5,949","8,634",
260,Kadiolo,Cercle,"130,730","243,411",
261,Diou,Commune,"2,828","3,504",
262,Dioumaténé,Commune,"5,640","7,863",
263,Fourou,Commune,"21,289","41,543",
264,Kadiolo,Commune,"31,292","52,016",
265,Kaï,Commune,"6,956","8,185",
266,Loulouni,Commune,"31,468","41,086",
267,Misséni,Commune,"12,676","47,673",
268,Nimbougou,Commune,"4,605","8,423",
269,Zégoua,Commune,"13,976","33,118",
270,Kangaba,Cercle,"76,404","100,398",
271,Balan Bakama,Commune,"4,974","6,891",
272,Benkadi Habaladougou,Commune,"6,637","9,435",
273,Kaniogo,Commune,"12,994","16,785",
274,Karan,Urban Commune,"5,669","6,376",
275,Maramandougou,Commune,"10,875","14,539",
276,Minidian ( Kangaba ),Commune,"13,420","18,125",
277,Narena,Commune,"8,875","12,553",
278,Nouga,Commune,"8,488","11,057",
279,Selefougou,Commune,"4,472","4,637",
280,Kati,Cercle,"513,798","956,753",
281,Baguinéda-Camp,Commune,"28,371","51,821",
282,Bancoumana ( Bankoumana ),Commune,"19,138","23,577",
283,Bossofala,Commune,"15,657","16,898",
284,Bougoula,Commune,"8,194","10,781",
285,Daban,Commune,"8,621","11,159",
286,Diago,Commune,"6,010","9,412",
287,Dialakoroba,Commune,"16,700","22,835",
288,Dialakorodji,Commune,"12,938","47,486",
289,Diédougou,Commune,"8,624","10,512",
290,Dio-Gare,Commune,"8,386","12,742",
291,Dogodouman,Commune,"4,276","11,784",
292,Dombila,Commune,"10,219","13,452",
293,Doubabougou,Commune,"6,155","9,855",
294,Faraba,Commune,"9,554","12,357",
295,Kalabancoro,Commune,"35,582","161,882",
296,Kalifabougou,Commune,"11,101","11,621",
297,Kambila,Commune,"9,784","15,365",
298,Kati,Urban Commune,"52,714","84,500",
299,Kourouba,Commune,"4,960","5,829",
300,Mandé,Commune,"30,577","57,349",
301,Moribabougou,Commune,"5,377","27,059",
302,Mountougoula,Commune,"10,258","16,228",
303,N'Gabacoro,Commune,"5,995","18,263",
304,N'Gouraba,Commune,"12,419","17,695",
305,Niagadina,Commune,"8,498","10,442",
306,Nioumamakana,Commune,"6,244","8,426",
307,N'Tjiba,Commune,"17,272","21,792",
308,Ouélessébougou,Commune,"36,198","50,039",
309,Safo,Commune,"7,923","14,681",
310,Sanankoroba,Commune,"22,251","37,361",
311,Sanankoro Djitoumou,Commune,"10,142","13,327",
312,Sangarébougou,Commune,"8,046","47,192",
313,Siby,Commune,"18,150","24,255",
314,Sobra,Commune,"6,856","9,804",
315,Tiakadougou-Dialakoro,Commune,"5,369","7,698",
316,Tiélé,Commune,"14,871","18,494",
317,Yélékébougou,Commune,"10,368","12,780",
318,Kayes,Cercle,"327,891","513,172",
319,Bangassi,Commune,"6,614","12,097",
320,Colimbiné,Commune,"9,741","12,497",
321,Diamou,Commune,"12,550","14,130",
322,Djélébou,Commune,"16,306","23,557",
323,Falémé,Commune,"6,541","10,158",
324,Fégui,Urban Commune,"2,688","3,933",
325,Gory Gopela,Commune,"5,296","7,866",
326,Gouméra,Urban Commune,"2,589","3,821",
327,Guidimakan Kéri Kaffo,Commune,"14,234","20,032",
328,Hawa Dembaya,Commune,"5,118","6,851",
329,Karakoro,Commune,"11,677","15,206",
330,Kayes,Urban Commune,"67,424","126,319",
331,Kéméné Tambo,Commune,"13,266","16,955",
332,Khouloum,Commune,"8,940","18,994",
333,Koniakary,Urban Commune,"7,023","8,141",
334,Koussané,Commune,"14,176","21,590",
335,Liberté Dembaya,Commune,"7,240","14,366",
336,Logo,Commune,"9,967","11,989",
337,Maréna Diombougou,Commune,"12,903","18,672",
338,Marintoumania,Commune,"5,705","8,061",
339,Sadiola,Commune,"19,447","39,409",
340,Sahel,Commune,"7,432","12,227",
341,Samé Diomgoma,Commune,"9,244","12,411",
342,Ségala,Commune,"18,767","25,803",
343,Séro Diamanou,Commune,"16,092","23,339",
344,Somankidy,Urban Commune,"4,784","6,915",
345,Sony,Commune,"6,328","8,707",
346,Tafacirga,Commune,"5,799","9,126",
347,Kéniéba,Cercle,"144,971","197,050",
348,Baye,Commune,"10,955","14,649",
349,Dabia,Commune,"9,147","15,179",
350,Dialafara,Commune,"13,721","17,961",
351,Dombia,Commune,"8,986","7,582",
352,Faléa,Commune,"13,173","17,445",
353,Faraba,Commune,"6,777","7,772",
354,Guénégoré,Commune,"9,850","6,587",
355,Kassama,Commune,"17,224","19,462",
356,Kéniéba,Commune,"25,914","35,651",
357,Kouroukoto,Commune,"5,115","10,320",
358,Sagalo,Commune,"10,229","14,288",
