,0,1,2,3,4,5
0,Name,Status,District,Population Census 2012-08-17,Population Census 2022-04-20,
1,Ward 1,Ward,Harare Rural,"113,599","357,863",
2,Ward 2,Ward,Harare Urban,"37,024","30,229",
3,Ward 3,Ward,Harare Urban,"22,397","20,511",
4,Ward 4,Ward,Harare Urban,"15,027","11,699",
5,Ward 5,Ward,Harare Urban,"21,981","16,641",
6,Ward 6,Ward,Harare Urban,"21,257","15,101",
7,Ward 7,Ward,Harare Urban,"29,372","25,905",
8,Ward 8,Ward,Harare Urban,"20,785","14,297",
9,Ward 9,Ward,Harare Urban,"48,026","49,505",
10,Ward 10,Ward,Harare Urban,"22,042","17,941",
11,Ward 11,Ward,Harare Urban,"20,835","18,898",
12,Ward 12,Ward,Harare Urban,"22,324","20,294",
13,Ward 13,Ward,Harare Urban,"23,123","23,467",
14,Ward 14,Ward,Harare Urban,"30,517","36,061",
15,Ward 15,Ward,Harare Urban,"66,182","65,608",
16,Ward 16,Ward,Harare Urban,"46,598","56,597",
17,Ward 17,Ward,Harare Urban,"26,412","18,486",
18,Ward 18,Ward,Harare Urban,"32,789","28,929",
19,Ward 19,Ward,Harare Urban,"21,138","17,405",
20,Ward 20,Ward,Harare Urban,"24,145","24,291",
21,Ward 21,Ward,Harare Urban,"23,036","22,799",
22,Ward 22,Ward,Harare Urban,"44,612","44,606",
23,Ward 23,Ward,Harare Urban,"63,955","65,349",
24,Ward 24,Ward,Harare Urban,"29,488","26,473",
25,Ward 25,Ward,Harare Urban,"29,858","26,005",
26,Ward 26,Ward,Harare Urban,"36,275","31,100",
27,Ward 27,Ward,Harare Urban,"32,409","33,506",
28,Ward 28,Ward,Harare Urban,"27,419","27,934",
29,Ward 29,Ward,Harare Urban,"13,237","11,101",
30,Ward 30,Ward,Harare Urban,"53,508","48,995",
31,Ward 31,Ward,Harare Urban,"22,975","19,656",
32,Ward 32,Ward,Harare Urban,"37,210","34,802",
33,Ward 33,Ward,Harare Urban,"60,116","56,754",
34,Ward 34,Ward,Harare Urban,"18,532","21,471",
35,Ward 35,Ward,Harare Urban,"23,937","19,568",
36,Ward 36,Ward,Harare Urban,"12,993","12,966",
37,Ward 37,Ward,Harare Urban,"70,754","69,039",
38,Ward 38,Ward,Harare Urban,"34,466","31,201",
39,Ward 39,Ward,Harare Urban,"24,507","19,795",
40,Ward 40,Ward,Harare Urban,"45,317","71,617",
41,Ward 41,Ward,Harare Urban,"55,881","55,482",
42,Ward 42,Ward,Harare Urban,"45,344","69,234",
43,Ward 43,Ward,Harare Urban,"61,120","89,287",
44,Ward 44,Ward,Harare Urban,"26,926","27,463",
45,Ward 45,Ward,Harare Urban,"28,900","30,478",
46,Ward 46,Ward,Harare Urban,"10,482","13,208",
47,Ward 1,Ward,Chitungwiza,"8,262","8,945",
48,Ward 2,Ward,Chitungwiza,"11,169","10,483",
49,Ward 3,Ward,Chitungwiza,"10,057","10,625",
50,Ward 4,Ward,Chitungwiza,"27,560","29,844",
51,Ward 5,Ward,Chitungwiza,"10,620","8,542",
52,Ward 6,Ward,Chitungwiza,"17,339","35,296",
53,Ward 7,Ward,Chitungwiza,"7,988","6,822",
54,Ward 8,Ward,Chitungwiza,"10,119","8,308",
55,Ward 9,Ward,Chitungwiza,"8,229","8,117",
56,Ward 10,Ward,Chitungwiza,"8,788","6,383",
57,Ward 11,Ward,Chitungwiza,"9,392","8,530",
58,Ward 12,Ward,Chitungwiza,"15,129","12,776",
59,Ward 13,Ward,Chitungwiza,"9,489","10,254",
60,Ward 14,Ward,Chitungwiza,"15,484","13,714",
61,Ward 15,Ward,Chitungwiza,"13,781","10,962",
62,Ward 16,Ward,Chitungwiza,"14,730","14,817",
63,Ward 17,Ward,Chitungwiza,"15,242","14,997",
64,Ward 18,Ward,Chitungwiza,"19,717","25,345",
65,Ward 19,Ward,Chitungwiza,"16,712","15,128",
66,Ward 20,Ward,Chitungwiza,"11,308","9,962",
67,Ward 21,Ward,Chitungwiza,"18,666","18,605",
68,Ward 22,Ward,Chitungwiza,"15,187","18,504",
69,Ward 23,Ward,Chitungwiza,"28,073","29,711",
70,Ward 24,Ward,Chitungwiza,"20,697","20,291",
71,Ward 25,Ward,Chitungwiza,"13,102","14,285",
72,Ward 1,Ward,Epworth,"31,537","45,323",
73,Ward 2,Ward,Epworth,"14,941","16,460",
74,Ward 3,Ward,Epworth,"16,020","23,816",
75,Ward 4,Ward,Epworth,"23,320","37,724",
76,Ward 5,Ward,Epworth,"16,273","17,546",
77,Ward 6,Ward,Epworth,"25,819","21,184",
78,Ward 7,Ward,Epworth,"39,552","44,315",
79,Harare,Province,,"2,123,132","2,427,231",
