,0,1,2,3,4,5,6
0,Name,Status,Population Census 2000-07-02,Population Census 2011-07-03,Population Estimate 2014-07-01,Population Estimate 2020-07-01,
1,Albion,Village Council Area,"2,815","5,205","5,518","6,042",
2,Amaury,Village Council Area,"2,684","2,960","3,008","3,010",
3,Amitié ( - Gokhoola ),Village Council Area,"1,947","2,256","2,291","2,292",
4,Arsenal,Village Council Area,"2,373","2,937","3,001","3,059",
5,Baie du Cap,Village Council Area,"2,205","2,388","2,415","2,398",
6,Baie du Tombeau ( Tombeau Bay ),Village Council Area,"12,011","14,687","15,007","15,301",
7,Bambous,Village Council Area,"11,285","15,345","16,265","17,818",
8,Bambous Virieux,Village Council Area,"1,424","1,496","1,522","1,520",
9,Bananes,Village Council Area,603,660,672,669,
10,Beau-Bassin/Rose-Hill,Municipal Council Area,"103,872","103,098","104,865","103,452",
11,Beau Vallon,Village Council Area,"6,485","6,904","7,027","7,018",
12,Bel Air Rivière Sèche,Village Council Area,"16,189","17,605","17,990","18,036",
13,Belle Vue Maurel,Village Council Area,"4,690","4,518","4,589","4,595",
14,Bel Ombre,Village Council Area,"2,039","2,417","2,445","2,428",
15,Bénarès,Village Council Area,"2,407","2,209","2,234","2,220",
16,Bois Chéri,Village Council Area,"3,510","3,482","3,524","3,501",
17,Bois des Amourettes,Village Council Area,"1,836","1,880","1,913","1,911",
18,Bon Accueil,Village Council Area,"6,004","6,203","6,337","6,353",
19,Bramsthan ( ← Écroignard ),Village Council Area,...,...,"4,129","4,140",
20,Brisée Verdière,Village Council Area,"6,756","7,512","7,676","7,696",
21,Britannia,Village Council Area,"1,476","1,278","1,294","1,283",
22,Calebasses,Village Council Area,"4,245","4,816","4,921","5,017",
23,Camp Carol ( ← Trois Boutiques ),Village Council Area,...,...,"2,433","2,430",
24,Camp de Masque,Village Council Area,"2,493","2,720","2,779","2,786",
25,Camp de Masque Pavé,Village Council Area,"4,141","4,260","4,352","4,363",
26,Camp Diable,Village Council Area,"4,807","4,796","4,854","4,823",
27,Camp Ithier,Village Council Area,"4,032","4,269","4,361","4,372",
28,Camp Thorel,Village Council Area,"2,154","2,128","2,167","2,225",
29,Cap Malheureux,Village Council Area,"4,427","5,070","5,149","5,154",
30,Cascavelle,Village Council Area,"2,260","2,479","2,629","2,877",
31,Case Noyale,Village Council Area,"1,319","1,703","1,804","1,975",
32,Centre de Flacq,Village Council Area,"16,225","15,791","16,134","16,175",
33,Chamarel,Village Council Area,625,784,829,906,
34,Chamouny,Village Council Area,"4,647","4,721","4,778","4,748",
35,Chemin Grenier,Village Council Area,"11,782","12,223","12,369","12,292",
36,Clémencia,Village Council Area,"1,681","1,825","1,865","1,868",
37,Cluny,Village Council Area,"1,506","1,549","1,576","1,575",
38,Congomah,Village Council Area,"1,786","1,895","1,936","1,971",
39,Cottage,Village Council Area,"3,361","4,192","4,258","4,263",
40,Crève Coeur,Village Council Area,"2,828","2,790","2,851","2,908",
41,Curepipe,Municipal Council Area,"78,920","77,471","79,172","78,256",
42,Dagotière,Village Council Area,"6,480","7,146","7,277","7,468",
43,D'Épinay,Village Council Area,"4,774","5,304","5,420","5,527",
44,Dubreuil,Village Council Area,"2,555","2,840","2,893","2,970",
45,Écroignard,Village Council Area,...,...,"2,196","2,201",
46,Espérance,Village Council Area,"1,760","1,884","1,919","1,968",
47,Espérance Trébuchet,Village Council Area,"2,141","2,148","2,182","2,184",
48,Flic en Flac,Village Council Area,"1,739","2,197","2,329","2,550",
49,Fond du Sac,Village Council Area,"5,293","5,186","5,299","5,402",
50,Goodlands,Village Council Area,"19,273","20,712","21,035","21,063",
51,Grand Baie,Village Council Area,"10,611","11,910","12,111","12,173",
52,Grand Bel Air,Village Council Area,"1,342","1,538","1,565","1,564",
53,Grand Bois,Village Council Area,...,...,"5,042","5,010",
54,Grande Retraite ( ← Laventure ),Village Council Area,...,...,"2,639","2,646",
55,Grande Rivière Noire,Village Council Area,"2,042","2,668","2,829","3,096",
56,Grand Gaube,Village Council Area,"6,596","7,578","7,697","7,706",
57,Grand River South East,Village Council Area,"2,265","2,107","2,153","2,158",
58,Grand Sable,Village Council Area,"2,041","2,182","2,221","2,219",
59,Gros Cailloux,Village Council Area,"2,907","3,189","3,380","3,702",
60,La Flora ( ← Grand Bois ),Village Council Area,...,...,"3,035","3,014",
61,La Gaulette,Village Council Area,"1,917","2,315","2,454","2,688",
62,La Laura - Malenga,Village Council Area,"1,230","1,288","1,312","1,346",
63,Lalmatie,Village Council Area,"9,532","10,387","10,613","10,641",
64,L'Avenir,Village Council Area,"2,374","2,701","2,751","2,823",
65,Laventure,Village Council Area,...,...,"3,486","3,495",
66,Le Hochet,Village Council Area,"13,878","15,034","15,362","15,662",
67,Le Morne,Village Council Area,"1,143","1,300","1,378","1,510",
68,L'Escalier,Village Council Area,"7,772","7,770","7,908","7,899",
69,Long Mountain,Village Council Area,"7,100","6,995","7,148","7,289",
