,0,1,2,3,4,5,6,7,8
0,,Name,Adm.,Population Census (C) 1983-07-21,Population Census (C) 2000-07-02,Population Census (C) 2011-07-03,Population Estimate (E) 2020-07-01,Area,
1,,Baie du Tombeau ( Tombeau Bay ),PAM,"6,200","12,011","14,687","15,301",748,
2,,Bambous,BLA,"6,100","11,285","15,345","17,818",2183,
3,,Beau-Bassin/Rose-Hill,PLA,"90,577","103,872","103,098","103,452",2017,
4,,Bel Air Rivière Sèche,FLA,"7,400","16,189","17,605","18,036",1815,
5,,Brisée Verdière,FLA,...,"6,756","7,512","7,696",1558,
6,,Centre de Flacq,FLA,...,"16,225","15,791","16,175",2027,
7,,Chemin Grenier,SAV,"6,500","11,782","12,223","12,292",865,
8,,Curepipe,PLA,"62,200","78,920","77,471","78,256",2415,
9,,Dagotière,MOK,...,"6,480","7,146","7,468",1070,
10,,Goodlands ( St.-Antoine ),REM,"10,500","19,273","20,712","21,063",1671,
11,,Grand Baie,REM,"5,000","10,611","11,910","12,173",1501,
12,,Grand Gaube,REM,...,"6,596","7,578","7,706",627,
13,,Lalmatie,FLA,"6,000","9,532","10,387","10,641",892,
14,,Le Hochet,PAM,...,"13,878","15,034","15,662",541,
15,,L'Escalier,GPO,"5,500","7,772","7,770","7,899",1218,
16,,Long Mountain ( Montagne Longue ),PAM,...,"7,100","6,995","7,289",1376,
17,,Mahébourg,GPO,"13,400","15,753","15,176","15,426",224,
18,,Moka,MOK,...,"8,286","8,846","9,364",1744,
19,,Montagne Blanche,MOK,...,"8,116","9,053","9,440",1963,
20,,New Grove,GPO,...,"9,184","10,518","11,023",555,
21,,Pamplemousses,PAM,...,"8,069","9,295","9,682",1332,
22,,Petit Raffray,REM,...,"8,403","9,254","9,410",1162,
23,,Plaine des Papayes,PAM,...,"6,956","7,607","7,925",668,
24,,Plaine Magnien,GPO,"6,900","9,963","10,443","10,615",1399,
25,,Port-Louis,PLO,"139,300","154,257","149,226","145,793",6132,
26,,Port Mathurin ( Region 5 ),ROD,...,"5,929","7,705","8,350",0,
27,,Poste de Flacq,FLA,...,"6,535","8,454","8,659",2832,
28,,Poudre d'Or,REM,...,...,...,"2,373",0,
29,,Quatre-Bornes,PLA,"63,682","75,884","75,613","77,084",2119,
30,,Richelieu,BLA,...,"4,494","7,906","9,178",398,
31,,Rivière du Rempart,REM,...,"10,761","10,825","11,009",1470,
32,,Rose Belle,GPO,...,"11,665","12,035","12,232",913,
33,,Souillac,SAV,...,"4,154","4,411","4,434",604,
34,,St. Pierre,MOK,...,"15,382","15,982","16,704",1306,
35,,Surinam,SAV,"5,400","10,045","10,507","10,564",894,
36,,Tamarin,BLA,...,"3,256","3,766","4,371",4786,
37,,Terre Rouge,PAM,"6,300","8,736","10,760","11,210",539,
38,,Triolet ( Trou aux Biches ),PAM,"13,200","21,250","23,386","24,361",1485,
39,,Vacoas/Phoenix,PLA,"53,090","100,066","105,559","105,688",5420,
40,,Vingt Cinq,AGA,...,...,...,...,0,
