,0,1,2,3,4,5,6,7
0,,Name,Native,Adm.,Population Census (Cf) 2000-11-01,Population Census (Cf) 2013-03-25,Area,
1,,Adel Bagrou,عدل بكرو,HCH,...,"8,576",0,
2,,Aïoun ( Aïoun El Atrouss ),العيون,HGH,"11,000","22,796",0,
3,,Akjoujt,أكجوجت,INC,...,"12,825",0,
4,,Aleg,ألاك,BRA,...,"15,521",0,
5,,Amourj,آمرج,HCH,...,"4,458",0,
6,,Aoujeft,أوجفت,ADR,...,"2,536",0,
7,,Atar,اطار,ADR,"23,000","25,190",0,
8,,Bababé,بابابي,BRA,...,"7,176",0,
9,,Barkewol ( Barkéol ),باركيول,ASS,"2,284","2,931",0,
10,,Bassikounou ( Bassiknou ),باسكنو,HCH,...,"9,897",0,
11,,Birmoguren ( Bir Moghrein ),بير أم إكرين,TZE,...,"1,613",0,
12,,Boghé ( Bogué ),بوكي,BRA,...,"16,418",0,
13,,Bouanzé,بوعنز,GUI,"3,204","5,628",0,
14,,Bouhdida,بوحديده,BRA,...,"6,729",0,
15,,Boumdeid,بومديد,ASS,446,286,0,
16,,Bousteille ( Boû Cṭaïla ),بوسطيله,HCH,...,"6,085",0,
17,,Boutilimit,بوتليميت,TRA,"11,733","15,536",0,
18,,Chami,الشامي,DNO,...,51,0,
19,,Chinguetti,شنقيط,ADR,...,"3,227",0,
20,,Diaguily,جاڭيلي,GUI,"5,725","5,080",0,
21,,Diogountourou,جوڭونتورو,GUI,...,"5,038",0,
22,,Djewol,جول,GOR,"5,738","6,135",0,
23,,Djiguenni,جكني,HCH,...,"6,710",0,
24,,El Ghayra,الغايره,ASS,"4,883","5,858",0,
25,,Fassale ( Vassale ),فصاله,HCH,...,"5,651",0,
26,,F'Derick,إفديرك,TZE,...,"3,296",0,
27,,Guerou,كرو,ASS,"11,401","22,323",0,
28,,Hassi Cheggar,حاس شكار,GUI,...,"5,632",0,
29,,Kaédi,كيهيدي,GOR,"31,310","45,539",0,
30,,Kankossa,كنكوصة,ASS,"4,289","6,572",0,
31,,Keurmacen ( Keur Macene ),كرمسين,TRA,"1,919","2,049",0,
32,,Kiffa,كيفة,ASS,"25,679","50,206",0,
33,,"Kobenni ( Koubenni, Kobeni )",كوبني,HGH,...,"7,265",0,
34,,"Lexeiba ( Legceïba , El Kseïba )",لكصيبه,GOR,...,"9,238",0,
35,,Maghama,مقامه,GOR,"7,874","11,245",0,
36,,Magta-Lahjar,مكطع لحجار,BRA,...,"12,498",0,
37,,M'Bagne,امباني,BRA,...,"3,240",0,
38,,Mbera [ Mbera Refugee Camp ],امبره,HCH,...,"47,725",0,
39,,M'Bout,امبود,GOR,...,"5,448",0,
40,,Mederdra,المذرذره,TRA,"4,038","4,218",0,
41,,Monguel ( Mounguel ),مونكل,GOR,...,"1,956",0,
42,,Moudjeria,المجرية,TAG,...,"1,537",0,
43,,N'Beikett Lehouach ( Nbeikit Lahwach ),انبيكت لحواش,HCH,...,"1,599",0,
44,,Néma,النعمه,HCH,"13,500","21,708",0,
45,,Nouadhibou,انواذيبو,DNO,"72,337","118,167",0,
46,,Nouakchott,انواكشوط,NOU,"558,195","958,399",0,
47,,Ouadane,وادان,ADR,...,"1,326",0,
48,,Ouad Naga,واد الناقة,TRA,"3,653","4,179",0,
49,,Oualata ( Walata ),ولاته,HCH,...,"1,279",0,
50,,Ould Yengé,ولد ينج,GUI,...,"4,092",0,
51,,R'Kiz,اركيز,TRA,"5,803","5,783",0,
52,,Rosso,روصو,TRA,"29,882","33,581",0,
53,,Sagné,صانيي,GOR,"3,527","6,821",0,
54,,Sélibabi ( Sélibaby ),سيلبابي,GUI,"13,259","26,420",0,
55,,Tamchekett,تامشكط,HGH,...,"2,534",0,
56,,Tichitt,تيشيت,TAG,...,"1,279",0,
57,,Tidjikdja,تجكجة,TAG,...,"10,906",0,
58,,Timbedra,تمبدغه,HCH,...,"14,131",0,
59,,Tintane,الطينطان,HGH,"7,195","12,690",0,
60,,Wali Djantang,والي جنتك,GOR,...,"6,243",0,
61,,"Zouerate ( Zoueirat, Zouérat )",ازويرات,TZE,"33,929","44,649",0,
