,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,Name,Abbr.,Status,Native,Capital,Area A (km²),Population Census (C) 1977-01-01,Population Census (C) 1988-04-05,Population Census (Cf) 2000-11-01,Population Census (Cf) 2013-03-25,Population Projection (P) 2022-07-01,,
1,,Mauritania,MRT,Rep,موريتانيا,Nouakchott,"1,030,700","1,338,830","1,864,236","2,508,159","3,537,368","4,372,000",,
2,,Adrar,ADR,Reg,ادرار,Atar,"215,300","55,354","61,043","69,542","62,658","60,800",21530000,
3,,Assaba ( El-'Açâba ),ASS,Reg,العصابة,Kiffa,"36,600","129,162","167,123","242,265","325,897","405,400",3660000,
4,,Brakna,BRA,Reg,براكنة,Aleg,"33,800","151,353","192,157","247,006","312,277","334,800",3380000,
5,,Dakhlet Nouadhibou,DNO,Reg,داخلت انواديبو,Nouadhibou,"22,300","23,526","63,030","79,516","123,779","157,800",2230000,
6,,Gorgol,GOR,Reg,غورغول,Kaédi,"13,600","149,432","184,359","242,711","335,917","388,500",1360000,
7,,Guidimaka,GUI,Reg,غيديماغا,Sélibabi,"10,300","83,231","116,436","177,707","267,029","330,700",1030000,
8,,Hodh Ech Chargui,HCH,Reg,الحوض الشرقى,Néma,"182,700","156,721","212,203","281,600","430,668","541,100",18270000,
9,,Hodh El Gharbi,HGH,Reg,الحوض الغربى,Aïoun,"53,400","124,194","159,296","212,156","294,109","340,600",5340000,
10,,Inchiri,INC,Reg,انشيرى,Akjoujt,"46,800","17,611","14,613","11,500","19,639","27,000",4680000,
11,,Nouakchott,NOU,CpDst,انواكشوط,Nouakchott,"1,000","134,704","393,325","558,195","958,399","1,324,700",100000,
12,,Tagant,TAG,Reg,تكانت,Tidjikdja,"95,200","74,980","64,908","76,620","80,962","86,000",9520000,
13,,Tiris Zemmour,TZE,Reg,تيرس زمور,Zouerate,"252,900","22,554","33,147","41,121","53,261","58,300",25290000,
14,,Trarza,TRA,Reg,اترارزه,Rosso,"67,800","216,008","202,596","268,220","272,773","316,500",6780000,
