,0,1,2,3,4,5
0,Name,Status,Population Census 1997-08-01,Population Census 2007-09-16,Population Census 2017-08-01,
1,Cabo Delgado,Province,"1,287,814","1,606,568","2,267,715",
2,Ancuabe,District,"87,243","107,238","159,340",
3,Balama,District,"98,653","124,100","175,733",
4,Chiúre,District,"185,618","217,487","299,235",
5,Ibo,District,"7,061","9,344","12,205",
6,Macomia,District,"69,973","79,825","114,345",
7,Mecúfi,District,"35,644","43,285","61,531",
8,Meluco,District,"23,912","24,637","36,700",
9,Metuge,District,"42,935","63,100","86,866",
10,Mocímboa da Praia,District,"75,001","90,421","127,705",
11,Montepuez,District,"149,181","193,602","272,069",
12,Mueda,District,"98,654","113,742","170,347",
13,Muidumbe,District,"63,820","72,840","98,864",
14,Namuno,District,"138,229","179,408","245,248",
15,Nangade,District,"50,483","62,734","89,714",
16,Palma,District,"42,182","48,318","67,025",
17,Pemba,City,"84,897","138,716","200,529",
18,Quissanga,District,"34,328","37,771","50,259",
19,Gaza,Province,"1,062,380","1,228,514","1,388,039",
20,Bilene,District,"133,173","151,548","140,972",
21,Chibuto,District,"164,791","191,682","217,155",
22,Chicualacuala,District,"17,783","16,189","27,084",
23,Chigubo,District,"13,405","20,725","22,080",
24,Chókwè,District,"173,277","183,531","217,019",
25,Chongoene ( ← Xai-Xai Distrito ),District,"70,207","101,975","118,911",
26,Guijá,District,"57,217","75,306","89,996",
27,Limpopo ( ← Xai-Xai Distrito ),District,"95,389","107,459","150,394",
28,Mabalane,District,"25,464","32,067","38,644",
29,Mandlakaze ( Manjacaze ),District,"161,147","165,071","137,068",
30,Mapai ( ← Chicualacuala ),District,"15,501","22,728","28,441",
31,Massangena,District,"13,300","15,780","21,562",
32,Massingir,District,"22,284","28,701","36,750",
33,Xai-Xai,City,"99,442","115,752","141,963",
34,Inhambane,Province,"1,123,079","1,271,818","1,454,804",
35,Funhalouro,District,"30,321","37,856","44,140",
36,Govuro,District,"29,031","34,494","36,094",
37,Homoine,District,"92,796","107,735","114,877",
38,Inhambane,City,"52,370","65,149","82,119",
39,Inharrime,District,"76,518","97,950","113,288",
40,Inhassoro,District,"43,406","48,190","57,037",
41,Jangamo,District,"81,210","93,402","105,306",
42,Mabote,District,"39,661","44,733","51,046",
43,Massinga,District,"186,650","186,292","236,939",
44,Maxixe,City,"93,985","108,824","129,993",
45,Morrumbene,District,"110,817","124,436","136,980",
46,Panda,District,"46,539","47,799","43,968",
47,Vilankulo ( Vilanculos ),District,"113,045","135,813","151,709",
48,Zavala,District,"126,730","139,145","151,308",
49,Manica,Province,"974,208","1,412,248","1,851,931",
50,Báruè,District,"81,002","137,352","185,641",
51,Chimoio,City,"171,056","237,497","363,336",
52,Gondola,District,"123,227","184,759","192,314",
53,Guro,District,"45,680","68,347","97,141",
54,Macate ( ← Gondola ),District,"61,402","73,789","84,429",
55,Machaze,District,"75,804","102,839","126,488",
56,Macossa,District,"13,969","27,187","46,132",
57,Manica,District,"115,609","154,850","215,239",
58,Mossurize,District,"122,244","194,562","203,738",
59,Sussundenga,District,"92,622","128,866","168,442",
60,Tambara,District,"31,471","41,775","53,499",
61,Vanduzi ( ← Manica ),District,"40,122","60,425","115,532",
62,Maputo,Province,"801,449","1,205,709","1,908,078",
63,Boane,District,"56,703","102,555","210,367",
64,Magude,District,"42,788","53,229","62,297",
65,Manhiça,District,"130,351","157,642","205,053",
