,0,1,2,3
0,Name,Status,Population Census 2011-08-28,
1,Erongo,Region,"150,809",
2,Arandis,Constituency,"10,093",
3,Dâures,Constituency,"11,350",
4,Karibib,Constituency,"13,320",
5,Omaruru,Constituency,"8,577",
6,Swakopmund,Constituency,"44,725",
7,Walvis Bay Rural,Constituency,"26,916",
8,Walvis Bay Urban,Constituency,"35,828",
9,Hardap,Region,"79,507",
10,Aranos,Constituency,"8,528",
11,Daweb,Constituency,"5,768",
12,Gibeon,Constituency,"6,354",
13,Mariental Rural,Constituency,"6,780",
14,Mariental Urban,Constituency,"15,254",
15,Rehoboth Rural,Constituency,"7,591",
16,Rehoboth Urban East,Constituency,"18,035",
17,Rehoboth Urban West,Constituency,"11,197",
18,ǁKaras ( Karas ),Region,"77,421",
19,Berseba,Constituency,"10,589",
20,Karasburg East,Constituency,"9,203",
21,Karasburg West,Constituency,"7,267",
22,Keetmanshoop Rural,Constituency,"7,219",
23,Keetmanshoop Urban,Constituency,"19,447",
24,ǃNamiǂNûs ( Lüderitz ),Constituency,"13,859",
25,Oranjemund,Constituency,"9,837",
26,Kavango East,Region,"136,823",
27,Mashare,Constituency,"15,688",
28,Mukwe,Constituency,"27,690",
29,Ndiyona,Constituency,"9,551",
30,Ndonga Linena,Constituency,"11,082",
31,Rundu Rural,Constituency,"9,381",
32,Rundu Urban,Constituency,"63,431",
33,Kavango West,Region,"86,529",
34,Kapako,Constituency,"20,359",
35,Mankumpi,Constituency,"4,464",
36,Mpungu,Constituency,"15,018",
37,Musese,Constituency,"10,011",
38,Ncamagoro,Constituency,"7,043",
39,Ncuncuni,Constituency,"8,541",
40,Nkurenkuru,Constituency,"7,064",
41,Tondoro,Constituency,"14,029",
42,Khomas,Region,"342,141",
43,John Pandeni,Constituency,"22,359",
44,Katutura Central,Constituency,"26,904",
45,Katutura East,Constituency,"21,564",
46,Khomasdal,Constituency,"35,832",
47,Moses ǁGaroëb,Constituency,"41,988",
48,Samora Machel,Constituency,"49,178",
49,Tobias Hainyeko,Constituency,"45,912",
50,Windhoek East,Constituency,"25,823",
51,Windhoek Rural,Constituency,"19,143",
52,Windhoek West,Constituency,"53,438",
53,Kunene,Region,"86,856",
54,Epupa,Constituency,"17,696",
55,Kamanjab,Constituency,"8,441",
56,Khorixas,Constituency,"12,566",
57,Opuwo Rural,Constituency,"14,362",
58,Opuwo Urban,Constituency,"12,910",
59,Outjo,Constituency,"12,447",
60,Sesfontein,Constituency,"8,434",
61,Ohangwena,Region,"245,446",
62,Eenhana,Constituency,"22,319",
63,Endola,Constituency,"25,591",
64,Engela,Constituency,"24,641",
65,Epembe,Constituency,"11,883",
66,Ohangwena,Constituency,"23,851",
67,Okongo,Constituency,"17,999",
68,Omulonga,Constituency,"27,772",
69,Omundaungilo,Constituency,"10,006",
70,Ondobe,Constituency,"22,491",
71,Ongenga,Constituency,"21,705",
72,Oshikango,Constituency,"24,201",
73,Oshikunde,Constituency,"12,987",
74,Omaheke,Region,"71,233",
75,Aminuis,Constituency,"12,306",
76,Epukiro,Constituency,"6,106",
77,Gobabis,Constituency,"20,993",
78,Kalahari,Constituency,"7,611",
79,Okorukambe,Constituency,"10,060",
80,Otjinene,Constituency,"7,306",
81,Otjombinde,Constituency,"6,851",
82,Omusati,Region,"243,166",
83,Anamulenge,Constituency,"14,949",
84,Elim,Constituency,"12,199",
85,Etayi,Constituency,"30,550",
86,Ogongo,Constituency,"16,436",
87,Okahao,Constituency,"18,734",
88,Okalongo,Constituency,"26,459",
89,Onesi,Constituency,"16,613",
90,Oshikuku,Constituency,"14,699",
91,Otamanzi,Constituency,"13,495",
92,Outapi,Constituency,"36,740",
93,Ruacana,Constituency,"14,857",
94,Tsandi,Constituency,"27,435",
95,Oshana,Region,"176,674",
96,Okaku,Constituency,"19,007",
97,Okatana,Constituency,"14,801",
98,Okatyali,Constituency,"3,187",
99,Ompundja,Constituency,"4,659",
100,Ondangwa Rural,Constituency,"13,613",
101,Ondangwa Urban,Constituency,"23,233",
102,Ongwediva,Constituency,"34,065",
103,Oshakati East,Constituency,"27,227",
104,Oshakati West,Constituency,"20,676",
105,Uukwiyu,Constituency,"12,092",
106,Uuvudhiya,Constituency,"4,114",
107,Oshikoto,Region,"181,973",
108,Eengodi,Constituency,"15,490",
109,Guinas,Constituency,"5,460",
110,Nehale IyaMpingana,Constituency,"10,710",
111,Okankolo,Constituency,"13,204",
112,Olukonda,Constituency,"9,559",
113,Omuntele,Constituency,"16,865",
114,Omuthiyagwiipundi,Constituency,"26,183",
115,Onayena,Constituency,"15,392",
116,Oniipa,Constituency,"24,939",
117,Onyaanya,Constituency,"20,902",
118,Tsumeb,Constituency,"23,269",
119,Otjozondjupa,Region,"143,903",
120,Grootfontein,Constituency,"24,878",
121,Okahandja,Constituency,"24,451",
122,Okakarara,Constituency,"22,747",
123,Omatako,Constituency,"17,288",
124,Otavi,Constituency,"12,488",
125,Otjiwarongo,Constituency,"32,144",
126,Tsumkwe,Constituency,"9,907",
127,Zambezi ( Caprivi ),Region,"90,596",
128,Judea Lyaboloma,Constituency,"5,511",
129,Kabbe North,Constituency,"9,559",
130,Kabbe South,Constituency,"8,073",
131,Katima Mulilo Rural,Constituency,"13,285",
132,Katima Mulilo Urban,Constituency,"28,362",
133,Kongola,Constituency,"7,366",
134,Linyanti,Constituency,"7,328",
135,Sibbinda,Constituency,"11,112",
136,Namibia,Republic,"2,113,077",
