,0,1,2,3,4,5,6,7,8
0,,Name,Status,Adm.,Population Census (C) 1981-08-26,Population Census (C) 1991-10-21,Population Census (C) 2001-08-27,Population Census (Cf) 2011-08-28,Area
1,,Arandis,Town,ERO,...,"4,303","3,974","5,170",3062
2,,Aranos,Town,HAR,...,...,...,"3,683",6663
3,,Ariamsvlei,Sett,KAR,...,...,...,622,8324
4,,Aroab,Vill,KAR,...,...,...,"1,660",10297
5,,Aus,Vill,KAR,...,...,...,"1,066",24752
6,,Aussenkehr,Sett,KAR,...,...,...,"4,522",6180
7,,Berg Aukas,Sett,OTJ,...,...,...,330,409
8,,Berseba ( ǃAutsawises ),Vill,KAR,...,...,...,784,2845
9,,Bethanie ( ǀUiǂgandes ),Vill,KAR,...,...,...,"1,748",40767
10,,Bukalo,Vill,ZAM,...,...,...,600,134
11,,Divundu,Vill,KVE,...,...,...,746,309
12,,Eenhana,Town,OHA,...,...,"2,814","5,528",4715
13,,Ehangano,Sett,OSA,...,...,...,421,894
14,,Fransfontein,Sett,KUN,...,...,...,553,72
15,,Gibeon,Vill,HAR,...,...,...,"2,631",9265
16,,Gobabis,Town,OMA,...,"8,340","13,856","19,101",34773
17,,Gochas,Vill,HAR,...,...,...,"1,163",3999
18,,Groot Aub,Sett,KHO,...,...,...,"2,913",8693
19,,Grootfontein,Town,OTJ,...,"12,829","14,249","16,302",6173
20,,Grünau,Sett,KAR,...,...,...,430,5503
21,,Helao Nafidi ( incl. Oshikango ),Town,OHA,...,...,...,"19,375",7224
22,,Henties Bay,Town,ERO,...,"1,612","3,285","4,720",12332
23,,Hoachanas,Sett,HAR,...,...,...,"1,349",14252
24,,Kalkfeld,RSett,OTJ,...,...,...,"1,398",755
25,,Kalkrand,Vill,HAR,...,...,...,"1,238",17158
26,,Kamanjab,Vill,KUN,...,...,...,"1,795",19728
27,,Karasburg ( ǀNomsoros ),Town,KAR,...,"4,602","4,075","4,401",3514
28,,Karibib,Town,ERO,...,"3,067","3,726","5,132",9586
29,,Katima Mulilo,Town,ZAM,...,"13,377","22,134","28,362",3175
30,,Keetmanshoop ( ǂNuǂgoaes ),Town,KAR,"11,502","15,032","15,778","19,447",52419
31,,Khorixas ( Sorris Sorris ),Town,KUN,...,"7,358","5,890","6,796",7101
32,,Koës,Vill,KAR,...,...,...,"1,530",13470
33,,Leonardville,Vill,OMA,...,...,...,"1,191",5670
34,,Linyanti,Sett,ZAM,...,...,...,896,821
35,,Lüderitz,Town,KAR,"4,748","7,700","13,295","12,537",1369
36,,Maltahöhe,Vill,HAR,...,...,...,"2,379",17470
37,,Mariental,Town,HAR,...,"7,581","9,836","12,478",3542
38,,Nkurenkuru,Town,KVW,...,...,...,618,98
39,,Noordoewer,Sett,KAR,...,...,...,"2,026",7416
40,,Ogongo,Sett,OMU,...,...,...,483,1165
41,,Okahandja,Town,OTJ,...,"11,040","14,039","22,639",15191
42,,Okahao,Town,OMU,...,...,...,"1,665",599
43,,Okakarara,Town,OTJ,...,"3,725","3,296","4,709",2014
44,,Okalongo,Sett,OMU,...,...,...,"1,114",553
45,,Okamatapati,Sett,OTJ,...,...,...,255,33
46,,Okandjatu,RSett,OTJ,...,...,...,"1,170",544
47,,Okangwati,Sett,KUN,...,...,...,723,1543
48,,Okombahe,Sett,ERO,...,...,...,"1,093",364
49,,Okongo,Vill,OHA,...,...,...,"2,236",630
50,,Omaruru,Town,ERO,"2,982","4,851","4,761","6,300",19183
51,,Omawewozonyanda,Sett,OMA,...,...,...,583,401
52,,Omitara - Otjivero,Sett,OMA,...,...,...,703,20673
53,,Omungwelume,Sett,OHA,...,...,...,769,413
54,,Omuthiya,Town,OSH,...,...,...,"3,794",12494
55,,Ondangwa,Town,OSA,...,"7,926","10,900","22,822",5266
56,,Ondangwa East,Sett,OSH,...,...,...,"4,845",1272
57,,Onesi,Sett,OMU,...,...,...,320,234
58,,Ongenga,Sett,OHA,...,...,...,454,340
59,,Ongwediva,Town,OSA,...,"6,197","10,742","20,260",4181
60,,Opuwo,Town,KUN,...,"4,234","5,101","7,657",986
61,,Oranjemund,Town,KAR,"4,112",...,"4,451","3,908",562
62,,Oshakati,Town,OSA,...,"21,603","28,255","36,541",5741
63,,Oshikuku,Town,OMU,...,...,...,"2,761",792
64,,Oshivelo,Sett,OSH,...,...,...,"1,930",898
65,,Osire,Camp,OTJ,...,...,...,"5,013",203
66,,Otavi,Town,OTJ,"2,137","3,506","3,813","5,242",4065
67,,Otjinene,USett,OMA,...,...,...,"2,102",1007
68,,Otjituuo,Sett,OTJ,...,...,...,527,115
69,,Otjiwarongo,Town,OTJ,"9,087","15,921","19,614","28,249",13068
70,,Outapi ( Utapi ),Town,OMU,...,...,"2,640","6,437",2770
71,,Outjo,Town,KUN,"2,504","4,535","6,013","8,445",9792
72,,Rehoboth,Town,HAR,...,"21,439","21,308","28,843",59471
73,,Rietoog,Sett,HAR,...,...,...,312,7059
74,,Rosh Pinah,Sett,KAR,...,...,...,"5,518",392
75,,Ruacana,Town,OMU,...,...,...,"2,985",4885
76,,Rundu,Town,KVE,989,"19,366","36,964","63,431",15564
77,,Schlip,RSett,HAR,...,...,...,963,582
78,,Sesfontein,Sett,KUN,...,...,...,918,685
79,,Stampriet,Vill,HAR,...,...,...,"1,947",13952
80,,Swakopmund,Town,ERO,...,"17,681","23,808","44,725",19610
81,,Tsandi,Vill,OMU,...,...,...,891,702
82,,Tses,Vill,KAR,...,...,...,"1,365",3435
83,,Tsumeb,Town,OSH,"11,269","16,211","14,929","19,275",1698
84,,Tsumkwe,Sett,OTJ,...,...,...,"1,404",2507
