,0,1,2,3,4
0,Name,Status,Population Census 2001-05-20,Population Census 2012-12-10,
1,Abala,Department,"100,371","144,287",
2,Abala,Commune,"56,803","75,821",
3,Sanam,Commune,"43,568","68,466",
4,Abalak,Department,"80,955","256,301",
5,Abalak,Commune,"24,427","74,719",
6,Akoubounou,Commune,"10,348","47,961",
7,Azèye,Commune,"24,129","60,145",
8,Tabalak,Commune,"12,999","42,520",
9,Tamaya,Commune,"9,052","30,956",
10,Aderbissinat,Department,"17,540","35,320",
11,Aderbissinat,Commune,"17,540","35,320",
12,Aguié,Department,"167,576","245,996",
13,Aguié,Commune,"101,957","152,788",
14,Tchadoua,Commune,"65,619","93,208",
15,Arlit,Department,"79,097","105,025",
16,Arlit,Commune,"68,835","79,725",
17,Dannet,Commune,"6,252","14,964",
18,Gougaram,Commune,"4,010","10,336",
19,Ayérou,Department,"27,014","57,030",
20,Ayérou,Commune,"24,901","33,527",
21,Inatès,Commune,"2,113","23,503",
22,Bagaroua,Department,"45,112","72,293",
23,Bagaroua,Commune,"45,112","72,293",
24,Balléyara,Department,"95,763","107,134",
25,Tagazar,Commune,"95,763","107,134",
26,Banibangou,Department,"40,351","66,949",
27,Bani Bangou,Commune,"40,351","66,949",
28,Bankilaré,Department,"24,328","84,893",
29,Bankilaré,Commune,"24,328","84,893",
30,Belbédji,Department,"63,848","96,452",
31,Tarka,Commune,"63,848","96,452",
32,Bérmo,Department,"17,894","52,274",
33,Bérmo,Commune,"14,076","30,761",
34,Gadabédji,Commune,"3,818","21,513",
35,Bilma,Department,"17,080","17,935",
36,Bilma,Commune,"4,078","4,409",
37,Dirkou,Commune,"9,437","10,435",
38,Djado,Commune,936,876,
39,Fachi,Commune,"2,629","2,215",
40,Birni-N'Konni,Department,"206,306","312,886",
41,Alléla,Commune,"32,031","52,196",
42,Bazaga,Commune,"26,085","37,571",
43,Birni N'Konni,Commune,"103,249","149,414",
44,Tsernaoua,Commune,"44,941","73,705",
45,Boboye,Department,"192,583","252,597",
46,Birni N'Gaouré,Commune,"39,578","52,566",
47,Fabidji,Commune,"30,520","39,713",
48,Fakara,Commune,"11,796","19,077",
49,Harikanassou,Commune,"19,976","23,567",
50,Kankandi,Commune,"11,307","16,565",
51,Kiota,Commune,"19,503","25,282",
52,Koygolo,Commune,"39,414","48,218",
53,N'Gonga,Commune,"20,489","27,609",
54,Bosso,Department,"37,888","76,735",
55,Bosso,Commune,"36,942","65,022",
56,Toumour,Commune,946,"11,713",
57,Bouza,Department,"277,782","445,363",
58,Allakaye,Commune,"53,556","80,280",
59,Babankatami,Commune,"38,479","65,906",
60,Bouza,Commune,"63,474","101,445",
61,Déoulé,Commune,"17,113","21,009",
62,Karofane,Commune,"44,569","77,796",
63,Tabotaki,Commune,"24,368","46,266",
64,Tama,Commune,"36,223","52,661",
65,Dakoro,Department,"417,031","630,421",
66,Adjékoria,Commune,"51,502","79,108",
67,Azagor,Commune,"3,635","5,565",
68,Bader Goula,Commune,"45,142","68,203",
69,Birni Lallé,Commune,"22,477","30,846",
70,Dakoro,Commune,"42,126","71,201",
71,Dan-Goulbi,Commune,"31,918","57,228",
72,Korahane,Commune,"6,846","12,577",
73,Kornaka,Commune,"105,097","140,009",
74,Maïyara,Commune,"40,196","62,441",
75,Roumboui,Commune,"8,834","13,330",
76,Sabon-Machi,Commune,"25,205","35,988",
77,Tagriss,Commune,"34,053","53,925",
78,Damagaram Takaya,Department,"131,330","241,169",
79,Albarkaram,Commune,"10,993","17,619",
80,Damagaram Takaya,Commune,"32,933","61,580",
81,Guidimouni,Commune,"38,923","69,587",
82,Mazamni,Commune,"6,414","22,183",
83,Moa,Commune,"18,750","26,632",
84,Wamé,Commune,"23,317","43,568",
85,Diffa,Department,"110,263","159,722",
86,Chétimari,Commune,"47,327","65,449",
87,Diffa,Commune,"33,988","56,437",
88,Gueskérou,Commune,"28,948","37,836",
89,Dioundiou,Department,"76,806","109,615",
90,Dioundiou,Commune,"37,338","54,157",
91,Karakara,Commune,"31,511","44,333",
92,Zabori,Commune,"7,957","11,125",
93,Dogondoutchi,Department,"282,612","372,473",
94,Dan-Kassari,Commune,"53,967","78,132",
95,Dogondoutchi,Commune,"57,521","71,692",
96,Dogonkiria,Commune,"46,012","65,990",
97,Kiéché,Commune,"40,578","48,980",
98,Matankari,Commune,"57,646","68,979",
99,Soucoucoutane,Commune,"26,888","38,700",
100,Dosso,Department,"354,353","492,560",
101,Dosso,Commune,"65,576","89,132",
102,Farey,Commune,"26,507","40,302",
103,Garankedey,Commune,"24,871","35,009",
104,Gollé,Commune,"19,950","27,860",
105,Goroubankassam,Commune,"24,870","33,125",
106,Karguibangou,Commune,"35,677","45,304",
107,Mokko,Commune,"37,062","52,132",
108,Sambéra,Commune,"36,746","50,820",
109,Téssa,Commune,"19,734","26,668",
110,Tombokoirey I,Commune,"22,714","29,024",
111,Tombokoirey II,Commune,"40,646","63,184",
112,Dungass,Department,"183,808","353,867",
113,Dogo-Dogo,Commune,"29,959","65,544",
114,Dungass,Commune,"71,621","127,757",
