,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2019-03-21,Unnamed: 5
0,Agege,Local Government Area,417981,1033064,1555800,→
1,Ajeromi-Ifelodun,Local Government Area,593561,1435295,2161600,→
2,Alimosho,Local Government Area,430890,2047026,3082900,→
3,Amuwo-Odofin,Local Government Area,225823,524971,790600,→
4,Apapa,Local Government Area,154477,522384,786700,→
5,Eti-Osa,Local Government Area,157387,983515,1481200,→
6,Ifako-Ijaye,Local Government Area,233341,744323,1121000,→
7,Ikeja,Local Government Area,203383,648720,977000,→
8,Kosofe,Local Government Area,412407,934614,1407600,→
9,Lagos Island,Local Government Area,165996,859849,1295000,→
10,Lagos Mainland,Local Government Area,273079,629469,948000,→
11,Mushin,Local Government Area,539783,1321517,1990300,→
12,Ojo,Local Government Area,215837,941523,1418000,→
13,Oshodi-Isolo,Local Government Area,449781,1134548,1708700,→
14,Shomolu,Local Government Area,358787,1025123,1543900,→
15,Surulere,Local Government Area,462261,1274362,1919200,→
16,Lagos,Metropolitan Area,5294774,16060303,24187400,
