,Name,Status,PopulationCensus1991-11-26,PopulationCensus2006-03-21,PopulationProjection2022-03-21,Unnamed: 5
0,Abia,State,2338487,2845380,4143100,→
1,Aba North,Local Government Area,86331,106844,155600,→
2,Aba South,Local Government Area,413852,427421,622400,→
3,Arochukwu,Local Government Area,97800,169339,246600,→
4,Bende,Local Government Area,132271,192621,280500,→
5,Ikwuano,Local Government Area,52214,137897,200800,→
6,Isiala-Ngwa North,Local Government Area,...,154083,224400,→
7,Isiala-Ngwa South,Local Government Area,98575,136650,199000,→
8,Isuikwuato,Local Government Area,...,115794,168600,→
9,Obi Ngwa,Local Government Area,...,181894,264900,→
10,Ohafia,Local Government Area,148985,245987,358200,→
11,Osisioma Ngwa,Local Government Area,...,220662,321300,→
12,Ugwunagbo,Local Government Area,...,85371,124300,→
13,Ukwa East,Local Government Area,32444,58139,84700,→
14,Ukwa West,Local Government Area,...,87367,127200,→
15,Umuahia North,Local Government Area,...,223134,324900,→
16,Umuahia South,Local Government Area,...,139058,202500,→
17,Umu-Nneochi,Local Government Area,...,163119,237500,→
18,Adamawa,State,2102053,3178950,4902100,→
19,Demsa,Local Government Area,95149,178407,275100,→
20,Fufore,Local Government Area,158137,209460,323000,→
21,Ganye,Local Government Area,...,169948,262100,→
22,Girei,Local Government Area,...,129855,200200,→
23,Gombi,Local Government Area,88635,147787,227900,→
24,Guyuk,Local Government Area,70526,176505,272200,→
25,Hong,Local Government Area,117240,169183,260900,→
26,Jada,Local Government Area,124856,168445,259700,→
27,Lamurde,Local Government Area,...,111254,171600,→
28,Madagali,Local Government Area,90159,135142,208400,→
29,Maiha,Local Government Area,83192,110175,169900,→
30,Mayo-Belwa,Local Government Area,125073,152803,235600,→
31,Michika,Local Government Area,117684,155238,239400,→
32,Mubi North,Local Government Area,...,151515,233600,→
33,Mubi South,Local Government Area,...,129956,200400,→
34,Numan,Local Government Area,...,91549,141200,→
35,Shelleng,Local Government Area,52477,148490,229000,→
36,Song,Local Government Area,...,195188,301000,→
37,Toungo,Local Government Area,...,52179,80500,→
38,Yola North,Local Government Area,...,199674,307900,→
39,Yola South,Local Government Area,...,196197,302500,→
40,Akwa Ibom,State,2409613,3902051,4979400,→
41,Abak,Local Government Area,108833,139069,177500,→
42,Eastern Obolo,Local Government Area,...,59970,76500,→
43,Eket,Local Government Area,82610,172856,220600,→
44,Esit Eket,Local Government Area,...,63358,80900,→
45,Essien Udim,Local Government Area,130215,193257,246600,→
46,Etim Ekpo,Local Government Area,...,105922,135200,→
47,Etinan,Local Government Area,90085,168924,215600,→
48,Ibeno,Local Government Area,...,74840,95500,→
49,Ibesikpo Asutan,Local Government Area,...,137127,175000,→
50,Ibiono Ibom,Local Government Area,...,188605,240700,→
51,Ika,Local Government Area,...,72772,92900,→
52,Ikono,Local Government Area,92521,131673,168000,→
53,Ikot Abasi,Local Government Area,80071,132608,169200,→
54,Ikot Ekpene,Local Government Area,...,141408,180500,→
55,Ini,Local Government Area,71292,99084,126400,→
56,Itu,Local Government Area,...,127856,163200,→
57,Mbo,Local Government Area,67302,102173,130400,→
58,Mkpat Enin,Local Government Area,104127,177293,226200,→
59,Nsit Atai,Local Government Area,...,73395,93700,→
60,Nsit Ibom,Local Government Area,...,108095,137900,→
61,Nsit Ubium,Local Government Area,73826,127083,162200,→
62,Obot Akara,Local Government Area,...,147286,188000,→
63,Okobo,Local Government Area,69433,102753,131100,→
64,Onna,Local Government Area,113048,123193,157200,→
65,Oron,Local Government Area,...,87209,111300,→
66,Oruk Anam,Local Government Area,126726,171839,219300,→
67,Udung Uko,Local Government Area,...,53060,67700,→
68,Ukanafun,Local Government Area,85944,125473,160100,→
69,Uruan,Local Government Area,79908,117169,149500,→
70,Urue-Offong/Oruko,Local Government Area,30734,70740,90300,→
71,Uyo,Local Government Area,244762,305961,390400,→
72,Anambra,State,2796475,4177828,5953500,→
73,Aguata,Local Government Area,286897,369972,527200,→
74,Anambra East,Local Government Area,...,152149,216800,→
75,Anambra West,Local Government Area,...,167303,238400,→
76,Anaocha,Local Government Area,200607,284215,405000,→
77,Awka North,Local Government Area,60728,112192,159900,→
78,Awka South,Local Government Area,130664,189654,270300,→
79,Ayamelum,Local Government Area,...,158152,225400,→
80,Dunukofia,Local Government Area,...,96517,137500,→
81,Ekwusigo,Local Government Area,...,158429,225800,→
82,Idemili North,Local Government Area,...,431005,614200,→
83,Idemili South,Local Government Area,...,206816,294700,→
84,Ihiala,Local Government Area,188060,302277,430800,→
85,Njikoka,Local Government Area,...,148394,211500,→
86,Nnewi North,Local Government Area,...,155443,221500,→
87,Nnewi South,Local Government Area,147428,233362,332500,→
88,Ogbaru,Local Government Area,191761,223317,318200,→
89,Onitsha North,Local Government Area,121157,125918,179400,→
90,Onitsha South,Local Government Area,92716,137191,195500,→
91,Orumba North,Local Government Area,127476,172773,246200,→
92,Orumba South,Local Government Area,92716,184548,263000,→
93,Oyi,Local Government Area,...,168201,239700,→
94,Bauchi,State,2861887,4653066,8308800,→
95,Alkaleri,Local Government Area,257871,328284,586200,→
96,Bauchi,Local Government Area,356923,493730,881600,→
97,Bogoro,Local Government Area,...,83809,149700,→
98,Damban,Local Government Area,...,150212,268200,→
99,Darazo,Local Government Area,163831,249946,446300,→
100,Dass,Local Government Area,50281,90114,160900,→
101,Gamawa,Local Government Area,...,284411,507900,→
102,Ganjuwa,Local Government Area,144758,278471,497300,→
103,Giade,Local Government Area,...,156022,278600,→
104,Itas/Gadau,Local Government Area,135707,228527,408100,→
105,Jama'are,Local Government Area,70436,117482,209800,→
106,Katagum,Local Government Area,195066,293020,523200,→
107,Kirfi,Local Government Area,...,145636,260100,→
108,Misau,Local Government Area,...,261410,466800,→
109,Ningi,Local Government Area,279993,385997,689300,→
110,Shira,Local Government Area,...,233999,417800,→
111,Tafawa-Balewa,Local Government Area,...,221310,395200,→
112,Toro,Local Government Area,209253,346000,617800,→
113,Warji,Local Government Area,...,114983,205300,→
114,Zaki,Local Government Area,...,189703,338700,→
115,Bayelsa,State,1121693,1704515,2537400,→
116,Brass,Local Government Area,...,184127,274100,→
117,Ekeremor,Local Government Area,124279,269588,401300,→
118,Kolokuma/Opokuma,Local Government Area,...,79266,118000,→
119,Nembe,Local Government Area,...,130966,195000,→
120,Ogbia,Local Government Area,...,179606,267400,→
121,Sagbama,Local Government Area,119759,186869,278200,→
122,Southern Ijaw,Local Government Area,267371,321808,479000,→
123,Yenagoa,Local Government Area,...,352285,524400,→
124,Benue,State,2753077,4253641,6141300,→
125,Ado,Local Government Area,104137,184389,266200,→
126,Agatu,Local Government Area,...,115597,166900,→
127,Apa,Local Government Area,...,96780,139700,→
128,Buruku,Local Government Area,130450,206215,297700,→
129,Gboko,Local Government Area,...,361325,521700,→
130,Guma,Local Government Area,116336,194164,280300,→
131,Gwer East,Local Government Area,117630,168660,243500,→
132,Gwer West,Local Government Area,74588,122313,176600,→
133,Katsina-Ala,Local Government Area,...,225471,325500,→
134,Konshisha,Local Government Area,145614,226492,327000,→
135,Kwande,Local Government Area,180327,248642,359000,→
136,Logo,Local Government Area,...,169570,244800,→
137,Makurdi,Local Government Area,239889,300377,433700,→
138,Obi,Local Government Area,...,98707,142500,→
139,Ogbadibo,Local Government Area,89497,130988,189100,→
140,Ohimini,Local Government Area,...,70688,102100,→
141,Oju,Local Government Area,...,168491,243300,→
142,Okpokwu,Local Government Area,90241,175596,253500,→
143,Oturkpo,Local Government Area,...,266411,384600,→
144,Tarka,Local Government Area,...,79280,114500,→
145,Ukum,Local Government Area,167266,216983,313300,→
146,Ushongo,Local Government Area,123166,191935,277100,→
147,Vandeikya,Local Government Area,161863,234567,338700,→
148,Borno,State,2536003,4171104,6111500,→
149,Abadam,Local Government Area,...,100065,146600,→
150,Askira/Uba,Local Government Area,...,143313,210000,→
151,Bama,Local Government Area,195377,270119,395800,→
152,Bayo,Local Government Area,...,79078,115900,→
153,Biu,Local Government Area,109253,175760,257500,→
154,Chibok,Local Government Area,...,66333,97200,→
155,Damboa,Local Government Area,137824,233200,341700,→
156,Dikwa,Local Government Area,75760,105042,153900,→
157,Gubio,Local Government Area,43589,151286,221700,→
158,Guzamala,Local Government Area,...,95991,140600,→
159,Gwoza,Local Government Area,145868,276568,405200,→
160,Hawul,Local Government Area,86964,120733,176900,→
161,Jere,Local Government Area,...,209107,306400,→
162,Kaga,Local Government Area,51971,89996,131900,→
163,Kala/Balge,Local Government Area,...,60834,89100,→
164,Konduga,Local Government Area,...,157322,230500,→
