,Unnamed: 0,Name,Abbr.,Status,Capital,AreaA (km²),PopulationCensus (Cp)1991-11-26,PopulationCensus (Cf)2006-03-21,PopulationProjection (P)2022-03-21,Unnamed: 9,Unnamed: 10
0,,Abia,AB,FSt,Umuahia,6320,2338487,2845380,4143100,632000.0,→
1,,Adamawa,AD,FSt,Yola,36917,2102053,3178950,4902100,3691700.0,→
2,,Akwa Ibom,AK,FSt,Uyo,7081,2409613,3902051,4979400,708100.0,→
3,,Anambra,AN,FSt,Awka,4844,2796475,4177828,5953500,484400.0,→
4,,Bauchi,BA,FSt,Bauchi,45837,2861887,4653066,8308800,4583700.0,→
5,,Bayelsa,BY,FSt,Yenagoa,10773,1121693,1704515,2537400,1077300.0,→
6,,Benue,BE,FSt,Makurdi,34059,2753077,4253641,6141300,3405900.0,→
7,,Borno,BO,FSt,Maiduguri,70898,2536003,4171104,6111500,7089800.0,→
8,,Cross River,CR,FSt,Calabar,20156,1911297,2892988,4406200,2015600.0,→
9,,Delta,DE,FSt,Asaba,17698,2590491,4112445,5636100,1769800.0,→
10,,Ebonyi,EB,FSt,Abakaliki,5670,1029312,2176947,3242500,567000.0,→
11,,Edo,ED,FSt,Benin City,17802,2172005,3233366,4777000,1780200.0,→
12,,Ekiti,EK,FSt,Ado Ekiti,6353,1535790,2398957,3592200,635300.0,→
13,,Enugu,EN,FSt,Enugu,7161,2125068,3267837,4690100,716100.0,→
14,,Federal Capital Territory,FC,FDist,Abuja,7315,371674,1406239,3067500,731500.0,→
15,,Gombe,GO,FSt,Gombe,18768,1489120,2365040,3960100,1876800.0,→
16,,Imo,IM,FSt,Owerri,5530,2485635,3927563,5459300,553000.0,→
17,,Jigawa,JI,FSt,Dutse,23154,2875525,4361002,7499100,2315400.0,→
18,,Kaduna,KD,FSt,Kaduna,46053,3935618,6113503,9032200,4605300.0,→
19,,Kano,KN,FSt,Kano,20131,5810470,9401288,15462200,2013100.0,→
20,,Katsina,KT,FSt,Katsina,24192,3753133,5801584,10368500,2419200.0,→
21,,Kebbi,KE,FSt,Birnin Kebbi,36800,2068490,3256541,5563900,3680000.0,→
22,,Kogi,KO,FSt,Lokoja,29833,2147756,3314043,4466800,2983300.0,→
23,,Kwara,KW,FSt,Ilorin,36825,1548412,2365353,3551000,3682500.0,→
24,,Lagos,LA,FSt,Ikeja,3345,5725116,9113605,13491800,334500.0,→
25,,Nasarawa,,FSt,Lafia,27117,1207876,1869377,2886000,2711700.0,→
26,,Niger,NI,FSt,Minna,76363,2421581,3954772,6783300,7636300.0,→
27,,Ogun,OG,FSt,Abeokuta,16762,2333726,3751140,6379500,1676200.0,→
28,,Ondo,ON,FSt,Akure,14606,2249548,3460877,5316600,1460600.0,→
29,,Osun,OS,FSt,Oshogbo,9251,2158143,3416959,4435800,925100.0,→
30,,Oyo,OY,FSt,Ibadan,28454,3452720,5580894,7976100,2845400.0,→
31,,Plateau,PL,FSt,Jos,30913,2104536,3206531,4717300,3091300.0,→
32,,Rivers,RI,FSt,Port Harcourt,11077,3187844,5198716,7476800,1107700.0,→
33,,Sokoto,SO,FSt,Sokoto,25973,2418585,3702676,6391000,2597300.0,→
34,,Taraba,TA,FSt,Jalingo,54473,1512163,2294800,3609800,5447300.0,→
35,,Yobe,YO,FSt,Damaturu,45502,1399687,2321339,3649600,4550200.0,→
36,,Zamfara,ZA,FSt,Gusau,39762,2051591,3278873,5833500,3976200.0,→
37,,Nigeria,NGA,,Abuja,923768,88992220,140431790,216783400,,→
