,Unnamed: 0,Name,Adm.,PopulationCalculation (UE-C)2006-03-21,PopulationCalculation (UE-P)2022-03-21,Area
0,,Aba,AB,795000,1160000,0
1,,Abeokuta,OG,425000,735000,0
2,,Abuja,FC,1320000,2690000,0
3,,Ado Ekiti,EK,340000,435000,0
4,,Akure,ON,425000,730000,0
5,,Bauchi,BA,295000,530000,0
6,,Benin City,ED,1140000,1680000,0
7,,Bida,NI,235000,400000,0
8,,Calabar,CR,355000,540000,0
9,,Enugu,EN,665000,950000,0
10,,Gboko,BE,255000,365000,0
11,,Gombe,GO,335000,560000,0
12,,Ibadan,OY,2230000,3190000,0
13,,Ife,OS,430000,560000,0
14,,Ijebu Ode,OG,215000,360000,0
15,,Ikare,ON,305000,465000,0
16,,Ilesha,OS,250000,325000,0
17,,Ilorin,KW,720000,1080000,0
18,,Jos,PL,705000,1040000,0
19,,Kaduna,KD,1250000,1850000,0
20,,Kano,KN,2990000,4910000,0
21,,Katsina,KT,375000,670000,0
22,,Lagos,LA,10000000,15070000,0
23,,Maiduguri,BO,760000,1110000,0
24,,Makurdi,BE,270000,390000,0
25,,Minna,NI,245000,425000,0
26,,Ogbomosho,OY,300000,430000,0
27,,Okene,KO,305000,410000,0
28,,Ondo,ON,225000,375000,0
29,,Onitsha,AN,810000,1150000,0
30,,Oshogbo,OS,620000,645000,0
31,,Owerri,IM,390000,545000,0
32,,Oyo,OY,275000,410000,0
33,,Port Harcourt,RI,1480000,2120000,0
34,,Sapele,DE,225000,305000,0
35,,Sokoto,SO,605000,1040000,0
36,,Umuahia,AB,255000,370000,0
37,,Uyo,AK,315000,400000,0
38,,Warri,DE,665000,910000,0
39,,Yenagoa,BY,245000,365000,0
40,,Yola,AD,295000,460000,0
41,,Zaria,KD,665000,980000,0
