,Name,Status,PopulationCensus2002-08-16,PopulationCensus2012-08-15,PopulationCensus2022-08-15,Unnamed: 5
0,Est (Intara y'Iburasirazuba) [Eastern],Province,1700137,2595703,3563145,→
1,Bugesera,District,266775,361914,551103,→
2,Gatsibo,District,283456,433020,551164,→
3,Kayonza,District,209723,344157,457156,→
4,Kirehe,District,229468,340368,460860,→
5,Ngoma,District,235109,336928,404048,→
6,Nyagatare,District,255104,465855,653861,→
7,Rwamagana,District,220502,313461,484953,→
8,Kigali,City,765325,1132686,1745555,→
9,Gasabo,District,320516,529561,879505,→
10,Kicukiro,District,207819,318564,491731,→
11,Nyarugenge,District,236990,284561,374319,→
12,Nord (Intara y'Amajyaruguru) [Northern],Province,1560862,1726370,2038511,→
13,Burera,District,320759,336582,387729,→
14,Gakenke,District,322043,338234,365292,→
15,Gicumbi,District,359716,395606,448824,→
16,Musanze,District,307078,368267,476522,→
17,Rulindo,District,251266,287681,360144,→
18,Ouest (Intara y'Iburengerazuba) [Western],Province,2043555,2471239,2896484,→
19,Karongi,District,278944,331808,373869,→
20,Ngororero,District,282249,333713,367955,→
21,Nyabihu,District,268367,294740,319047,→
22,Nyamasheke,District,325032,381804,434221,→
23,Rubavu,District,292653,403662,546683,→
24,Rusizi,District,331950,400858,485529,→
25,Rutsiro,District,264360,324654,369180,→
26,Sud (Intara y'Amajyepfo) [Southern],Province,2058674,2589975,3002699,→
27,Gisagara,District,262128,322506,397051,→
28,Huye,District,265446,328398,381900,→
29,Kamonyi,District,261336,340501,450849,→
30,Muhanga,District,287219,319141,358433,→
31,Nyamagabe,District,280007,341491,371501,→
32,Nyanza,District,225209,323719,365718,→
33,Nyaruguru,District,231496,294334,318126,→
34,Ruhango,District,245833,319885,359121,→
35,Rwanda,Republic,8128553,10515973,13246394,
