,Name,Status,PopulationCensus2012-08-15,PopulationCensus2022-08-15,Unnamed: 4
0,Bugesera,District,361914,551103,→
1,Gashora,Sector,22001,32251,→
2,Juru,Sector,23673,33753,→
3,Kamabuye,Sector,20843,24502,→
4,Mareba,Sector,22377,29266,→
5,Mayange,Sector,29835,54084,→
6,Musenyi,Sector,29248,40610,→
7,Mwogo,Sector,17598,30171,→
8,Ngeruka,Sector,30717,37328,→
9,Ntarama,Sector,17978,45530,→
10,Nyamata,Sector,34922,81480,→
11,Nyarugenge,Sector,20753,25406,→
12,Rilima,Sector,26803,32862,→
13,Ruhuha,Sector,22994,30028,→
14,Rweru,Sector,28782,37976,→
15,Shyara,Sector,13390,15856,→
16,Burera,District,336582,387729,→
17,Bungwe,Sector,14774,16322,→
18,Butaro,Sector,31520,38013,→
19,Cyanika,Sector,37618,44510,→
20,Cyeru,Sector,12783,14719,→
21,Gahunga,Sector,25637,28059,→
22,Gatebe,Sector,16556,18867,→
23,Gitovu,Sector,10390,11531,→
24,Kagogo,Sector,19281,23089,→
25,Kinoni,Sector,17523,19017,→
26,Kinyababa,Sector,20802,23746,→
27,Kivuye,Sector,15448,18057,→
28,Nemba,Sector,18088,21401,→
29,Rugarama,Sector,24014,27051,→
30,Rugengabari,Sector,18467,20920,→
31,Ruhunde,Sector,16975,20157,→
32,Rusarabuye,Sector,18396,20659,→
33,Rwerere,Sector,18310,21611,→
34,Gakenke,District,338234,365292,→
35,Busengo,Sector,20164,21392,→
36,Coko,Sector,16340,17942,→
37,Cyabingo,Sector,17544,18785,→
38,Gakenke,Sector,22670,25325,→
39,Gashenyi,Sector,20067,22647,→
40,Janja,Sector,15804,16007,→
41,Kamubuga,Sector,20758,23336,→
42,Karambo,Sector,12159,13617,→
43,Kivuruga,Sector,18226,19967,→
44,Mataba,Sector,14346,15520,→
45,Minazi,Sector,13527,14193,→
46,Mugunga,Sector,19361,19963,→
47,Muhondo,Sector,20125,21334,→
48,Muyongwe,Sector,15550,16053,→
49,Muzo,Sector,21378,21816,→
50,Nemba,Sector,15643,16854,→
51,Ruli,Sector,18516,22464,→
52,Rusasa,Sector,18250,19242,→
53,Rushashi,Sector,17806,18835,→
54,Gasabo,District,529561,879505,→
55,Bumbogo,Sector,35381,112899,→
56,Gatsata,Sector,37110,46262,→
57,Gikomero,Sector,16625,19630,→
58,Gisozi,Sector,44003,75611,→
59,Jabana,Sector,33577,63862,→
60,Jali,Sector,25057,41156,→
61,Kacyiru,Sector,37088,30036,→
62,Kimihurura,Sector,21672,16425,→
63,Kimiromko,Sector,57430,61733,→
64,Kinyinya,Sector,57846,125400,→
65,Ndera,Sector,41764,95164,→
66,Nduba,Sector,25370,68424,→
67,Remera,Sector,43279,38648,→
68,Rusororo,Sector,35453,61787,→
69,Rutunga,Sector,17906,22468,→
70,Gatsibo,District,433020,551164,→
71,Gasange,Sector,17783,20725,→
72,Gatsibo,Sector,36690,40940,→
73,Gitoki,Sector,33409,43414,→
74,Kabarore,Sector,50288,71769,→
75,Kageyo,Sector,21567,24702,→
76,Kiramuruzi,Sector,31083,40028,→
77,Kiziguro,Sector,29996,39757,→
78,Muhura,Sector,29568,33325,→
79,Murambi,Sector,29032,38498,→
80,Ngarama,Sector,30354,38006,→
81,Nyagihanga,Sector,24159,28812,→
82,Remera,Sector,26110,31771,→
83,Rugarama,Sector,37029,49442,→
84,Rwimbogo,Sector,35952,49975,→
85,Gicumbi,District,395606,448824,→
86,Bukure,Sector,17402,20454,→
87,Bwisige,Sector,15288,17274,→
88,Byumba,Sector,36401,43134,→
89,Cyumba,Sector,14722,17218,→
90,Giti,Sector,14590,17431,→
91,Kageyo,Sector,30270,20888,→
92,Kaniga,Sector,15035,16772,→
93,Manyagiro,Sector,19371,22635,→
94,Miyove,Sector,16299,20223,→
95,Mukarange,Sector,16081,18543,→
96,Muko,Sector,17647,20050,→
97,Mutete,Sector,23053,27517,→
98,Nyamiyaga,Sector,18284,20939,→
99,Nyankenke,Sector,21560,27183,→
100,Rubaya,Sector,10509,12044,→
101,Rukomo,Sector,24989,28127,→
102,Rushaki,Sector,12672,15048,→
103,Rutare,Sector,23583,27837,→
104,Ruvune,Sector,18962,21990,→
105,Rwamiko,Sector,12959,14821,→
106,Shangasha,Sector,15929,18696,→
107,Gisagara,District,322506,397051,→
108,Gikonko,Sector,23098,28772,→
109,Gishubi,Sector,24904,31860,→
110,Kansi,Sector,18423,22310,→
111,Kibirizi,Sector,26120,31445,→
112,Kigembe,Sector,20264,22488,→
113,Mamba,Sector,34892,45283,→
114,Muganza,Sector,29781,36530,→
115,Mugombwa,Sector,22712,36469,→
116,Mukingo,Sector,26829,32393,→
117,Musha,Sector,24305,28762,→
118,Ndora,Sector,23813,30171,→
119,Nyanza,Sector,18929,19627,→
120,Save,Sector,28436,30941,→
121,Huye,District,328398,381900,→
122,Gishamvu,Sector,13274,14676,→
123,Huye,Sector,21931,28232,→
124,Karama,Sector,16439,18323,→
125,Kigoma,Sector,24786,25455,→
126,Kinazi,Sector,25830,33114,→
127,Maraba,Sector,24685,26807,→
128,Mbazi,Sector,31201,35807,→
129,Mukura,Sector,20191,26340,→
130,Ngoma,Sector,27705,35578,→
131,Ruhashya,Sector,22054,24050,→
132,Rusatira,Sector,25171,29842,→
133,Rwaniro,Sector,21595,23239,→
134,Simbi,Sector,22137,23284,→
135,Tumba,Sector,31399,37153,→
136,Kamonyi,District,340501,450849,→
137,Gacurabwenge,Sector,27850,36859,→
138,Karama,Sector,18717,20879,→
139,Kayenzi,Sector,22787,25209,→
140,Kayumbu,Sector,15530,17106,→
141,Mugina,Sector,38709,45894,→
142,Musambira,Sector,34025,42198,→
143,Ngamba,Sector,14175,16416,→
144,Nyamiyaga,Sector,38945,45645,→
145,Nyarubaka,Sector,25155,28225,→
146,Rugarika,Sector,34860,59952,→
147,Rukoma,Sector,34909,39688,→
148,Runda,Sector,34839,72778,→
149,Karongi,District,331808,373869,→
150,Bwishyura,Sector,31960,40720,→
151,Gishari,Sector,19904,21263,→
152,Gishyita,Sector,20330,23687,→
153,Gitesi,Sector,24859,29312,→
154,Mubuga,Sector,18485,23455,→
155,Murambi,Sector,21530,22374,→
156,Murundi,Sector,26042,27236,→
157,Mutuntu,Sector,23084,25652,→
158,Rubengera,Sector,33019,40337,→
159,Rugabano,Sector,32717,34207,→
160,Ruganda,Sector,17508,19132,→
161,Rwankuba,Sector,37802,38286,→
162,Twumba,Sector,24568,28208,→
163,Kayonza,District,344157,457156,→
164,Gahini,Sector,32650,46009,→
165,Kabare,Sector,34460,40228,→
166,Kabarondo,Sector,30588,37839,→
167,Mukarange,Sector,42055,54818,→
168,Murama,Sector,19945,23381,→
169,Murundi,Sector,35742,57809,→
170,Mwiri,Sector,22933,37931,→
171,Ndego,Sector,18918,24389,→
172,Nyamirama,Sector,30528,38562,→
173,Rukara,Sector,31176,38231,→
174,Ruramira,Sector,16937,21185,→
175,Rwinkwavu,Sector,28225,36774,→
176,Kicukiro,District,318564,491731,→
177,Gahanga,Sector,27808,79082,→
178,Gatenga,Sector,48640,67084,→
179,Gikondo,Sector,17146,19803,→
180,Kagarama,Sector,14385,21277,→
181,Kanombe,Sector,44426,72346,→
182,Kicukiro,Sector,16450,14039,→
183,Kigarama,Sector,43907,63153,→
184,Masaka,Sector,39548,78788,→
185,Niboye,Sector,26197,26912,→
186,Nyarugunga,Sector,40057,49247,→
187,Kirehe,District,340368,460860,→
188,Gahara,Sector,39484,44462,→
189,Gatore,Sector,26923,31687,→
190,Kigarama,Sector,31149,37136,→
191,Kigina,Sector,26909,34642,→
192,Kirehe,Sector,23784,29547,→
193,Mahama,Sector,23643,81014,→
194,Mpanga,Sector,31771,40173,→
195,Musaza,Sector,25444,30095,→
196,Mushikiri,Sector,28031,32841,→
197,Nasho,Sector,26954,33665,→
198,Nyamugari,Sector,36754,42938,→
199,Nyarubuye,Sector,19522,22660,→
200,Muhanga,District,319141,358433,→
201,Cyeza,Sector,30209,34540,→
202,Kabacuzi,Sector,25440,28192,→
203,Kibangu,Sector,20028,20326,→
204,Kiyumba,Sector,21766,23364,→
205,Muhanga,Sector,25819,28700,→
206,Mushishiro,Sector,20200,21071,→
207,Nyabinoni,Sector,16780,16253,→
208,Nyamabuye,Sector,44645,59961,→
209,Nyarusange,Sector,25712,28308,→
210,Rongi,Sector,26851,29389,→
211,Rugendabari,Sector,16920,17363,→
212,Shyogwe,Sector,44771,50966,→
213,Musanze,District,368267,476522,→
214,Busogo,Sector,21512,28264,→
215,Cyuve,Sector,39091,62179,→
216,Gacaca,Sector,23605,30719,→
217,Gashaki,Sector,13648,14272,→
218,Gataraga,Sector,22710,26721,→
219,Kimonyi,Sector,15589,21681,→
220,Kinigi,Sector,27221,32297,→
221,Muhoza,Sector,51878,69741,→
222,Muko,Sector,18937,26472,→
223,Musanze,Sector,31864,47720,→
224,Nkotsi,Sector,13546,17349,→
225,Nyange,Sector,27466,31274,→
226,Remera,Sector,19112,19987,→
227,Rwaza,Sector,20926,23120,→
228,Shingiro,Sector,21162,24726,→
229,Ngoma,District,336928,404048,→
230,Gashanda,Sector,16309,19345,→
231,Jarama,Sector,23861,31122,→
232,Karembo,Sector,14902,17726,→
233,Kazo,Sector,27318,32450,→
234,Kibungo,Sector,28338,31445,→
235,Mugesera,Sector,25716,28637,→
236,Murama,Sector,22409,26702,→
237,Mutenderi,Sector,20907,24915,→
238,Remera,Sector,27622,32344,→
239,Rukira,Sector,25250,29893,→
240,Rukumberi,Sector,28560,39420,→
241,Rurenge,Sector,28555,33391,→
242,Sake,Sector,23703,28822,→
243,Zaza,Sector,23478,27836,→
244,Ngororero,District,333713,367955,→
245,Bwira,Sector,18632,20012,→
246,Gatumba,Sector,23707,24952,→
247,Hindiro,Sector,24312,26040,→
248,Kabaya,Sector,34085,36324,→
249,Kageyo,Sector,23080,25929,→
250,Kavumu,Sector,28165,32791,→
251,Matyazo,Sector,25914,27673,→
252,Muhanda,Sector,28247,31869,→
253,Muhororo,Sector,21463,22273,→
254,Ndaro,Sector,22762,24444,→
255,Ngororero,Sector,34559,38823,→
256,Nyange,Sector,21932,24859,→
257,Sovu,Sector,26855,31966,→
258,Nyabihu,District,294740,319047,→
259,Bigogwe,Sector,31657,34439,→
260,Jenda,Sector,34648,43168,→
261,Jomba,Sector,20610,21897,→
262,Kabatwa,Sector,18971,20841,→
263,Karago,Sector,25681,25832,→
264,Kintobo,Sector,15379,15315,→
265,Mukamira,Sector,28675,33013,→
266,Muringa,Sector,22876,22599,→
267,Rambura,Sector,28484,28820,→
268,Rugera,Sector,24236,26938,→
269,Rurembo,Sector,23689,24399,→
270,Shyira,Sector,19834,21786,→
271,Nyagatare,District,465855,653861,→
272,Gatunda,Sector,27776,35310,→
273,Karama,Sector,26994,32949,→
274,Karangazi,Sector,57444,96915,→
275,Katabagemu,Sector,34033,43719,→
276,Kiyombe,Sector,17152,18801,→
277,Matimba,Sector,23704,28487,→
278,Mimuri,Sector,27211,34373,→
279,Mukama,Sector,21679,25659,→
280,Musheri,Sector,32204,37343,→
281,Nyagatare,Sector,52107,81915,→
282,Rukomo,Sector,34218,43650,→
283,Rwempasha,Sector,20512,38592,→
284,Rwimiyaga,Sector,57527,82620,→
285,Tabagwe,Sector,33294,53528,→
286,Nyamagabe,District,341491,371501,→
287,Buruhukiro,Sector,23086,27146,→
288,Cyanika,Sector,24549,25693,→
289,Gasaka,Sector,41522,41558,→
290,Gatare,Sector,15476,19151,→
291,Kaduha,Sector,20614,22898,→
292,Kamegeri,Sector,13579,14400,→
293,Kibirizi,Sector,21479,23287,→
294,Kibumbwe,Sector,12518,13767,→
295,Kitabi,Sector,25463,28172,→
296,Mbazi,Sector,11876,12511,→
297,Mugano,Sector,18152,19738,→
298,Musange,Sector,18680,20345,→
299,Musebeya,Sector,18689,20416,→
300,Mushubi,Sector,12777,13972,→
301,Nkomane,Sector,16362,18012,→
302,Tare,Sector,22765,24561,→
303,Uwinkingi,Sector,23904,25874,→
304,Nyamasheke,District,381804,434221,→
305,Bushekeri,Sector,24879,29680,→
306,Bushenge,Sector,21860,22624,→
307,Cyato,Sector,23866,26996,→
308,Gihombo,Sector,24817,29843,→
309,Kagano,Sector,33377,39994,→
310,Kanjongo,Sector,32889,40341,→
311,Karambi,Sector,26930,29726,→
312,Karengera,Sector,29657,32504,→
313,Kirimbi,Sector,22434,25647,→
314,Macuba,Sector,28708,33319,→
315,Mahembe,Sector,16799,20043,→
316,Nyabitekeri,Sector,29766,29293,→
317,Rangiro,Sector,14720,17967,→
318,Ruharambuga,Sector,24649,28180,→
319,Shangi,Sector,26453,28064,→
320,Nyanza,District,323719,365718,→
321,Busasamana,Sector,42870,50661,→
322,Busoro,Sector,34037,39644,→
323,Cyabakamyi,Sector,22273,23199,→
324,Kibirizi,Sector,32243,40939,→
325,Kigoma,Sector,35297,41004,→
326,Mukingo,Sector,50756,45708,→
327,Muyira,Sector,35544,42041,→
328,Ntyazo,Sector,26740,33826,→
329,Nyagisozi,Sector,25939,28092,→
330,Rwabicuma,Sector,18020,20604,→
331,Nyarugenge,District,284561,374319,→
332,Gitega,Sector,28728,26668,→
