,Unnamed: 0,Name,Adm.,PopulationCensus (C)1982-03-09,PopulationCensus (C)1990-03-15,PopulationCensus (C)1999-03-08,PopulationEstimate (E)2007-01-01,PopulationEstimate (E)2015-01-01,PopulationEstimate (E)2020-01-01,Area
0,,Bras-Panon,BEN,6945,8455,9683,11216,12735,13416,8855
1,,Cilaos,PIE,5735,5856,6115,5796,5350,5568,8440
2,,Entre-Deux,PIE,3705,4260,5170,5868,6781,7040,6683
3,,La Plaine-des-Palmistes,BEN,2020,2676,3434,4713,6157,6723,8319
4,,La Possession,PAU,11002,15614,21904,27175,32720,33370,11835
5,,Le Port,PAU,30131,34692,38412,38313,35280,32619,1662
6,,Les Avirons,PIE,5150,5935,7172,10093,11148,11470,2627
7,,Les Trois-Bassins,PAU,5132,5767,6598,6929,7127,6953,4258
8,,Le Tampon,PIE,40545,47593,60323,70539,76310,80778,16543
9,,L'Étang-Salé,PIE,7479,8769,11755,13179,14330,13645,3865
10,,Petite-Île,PIE,7834,8852,10151,11672,12143,12401,3393
11,,Saint-André,BEN,30075,35049,43174,51964,55730,56857,5307
12,,Saint-Benoît,BEN,23541,26187,31560,33485,37940,36994,22961
13,,Saint-Denis,DEN,109072,121999,131557,140733,146985,153001,14279
14,,Sainte-Marie,DEN,17251,20158,26582,31143,32940,34350,8721
15,,Sainte-Rose,BEN,5265,5761,6551,6680,6621,6237,17760
16,,Sainte-Suzanne,DEN,13196,14695,18144,21856,23068,24086,5784
17,,Saint-Joseph,PIE,23307,25630,30293,34602,37608,38465,17850
18,,Saint-Leu,PAU,18207,20931,25314,29422,33701,34740,11837
19,,Saint-Louis,PIE,31785,37420,43519,50131,53524,53744,9890
20,,Saint-Paul,PAU,58412,71669,87712,101023,105967,104301,24128
21,,Saint-Philippe,PIE,3476,4005,4860,5129,5115,5085,15394
22,,Saint-Pierre,PIE,50082,58846,68915,75265,84063,83930,9599
23,,Salazie,BEN,6467,7004,7402,7181,7384,7310,10382
