,Unnamed: 0,Name,Status,Adm.,PopulationCensus (C)1987-07-17,PopulationCensus (C)1997-08-29,PopulationCensus (C)2002-08-22,PopulationCensus (Cf)2010-08-26,PopulationCensus (Cp)2022-04-22,Area,Unnamed: 10
0,,Anse aux Pins,Dist,MAH,...,3338,3564,3850,3876,246,→
1,,Anse Boileau,Dist,MAH,...,3882,4036,4011,4537,1202,→
2,,Anse Étoile,Dist,MAH,...,3685,4394,4717,5413,596,→
3,,Anse Royale,Dist,MAH,...,3518,3687,4168,4551,716,→
4,,Au Cap,Dist,MAH,...,2648,3215,4233,5106,827,→
5,,Baie Lazare,Dist,MAH,...,2747,2984,3608,4256,1206,→
6,,Baie Sainte Anne (Anse Volbert),Dist,PRA,...,3238,3736,4876,4093,2579,→
7,,Beau Vallon,Dist,MAH,...,3609,3816,4120,4597,446,→
8,,Belombre (Bel Ombre),Dist,MAH,...,3172,3622,3708,3717,940,→
9,,Cascade,Dist,MAH,...,2983,3448,4267,6249,1058,→
10,,Glacis,Dist,MAH,...,3440,3592,3833,3712,685,→
11,,Grand'Anse,Dist,MAH,...,2401,2594,3106,3386,1562,→
12,,Grand'Anse,Dist,PRA,...,2853,3367,3727,3521,1543,→
13,,La Digue (Le Passe),Dist,DIG,1926,1998,2104,2761,...,983,→
14,,Perseverance,Isl,MAH,...,...,...,...,5402,94,→
15,,Pointe La Rue,Dist,MAH,...,2572,2717,3071,3190,335,→
16,,Port Glaud,Dist,MAH,...,2033,2184,2572,2787,2524,→
17,,Takamaka,Dist,MAH,...,2609,2609,2825,3516,1423,→
18,,Victoria,Aggl,MAH,24324,24701,24970,26450,24087,2057,
