,Unnamed: 0,Name,Abbr.,AreaA (km²),PopulationEstimate (E)2005-08-01,PopulationEstimate (E)2014-01-01,PopulationCalculation (UP)2019-01-01,Unnamed: 7,Unnamed: 8
0,,Awdal,ADL,21374,305500,673263,1010600,2137400.0,→
1,,Bakool,BKL,26962,310600,367226,383400,2696200.0,→
2,,Banaadir,BND,370,901200,1650227,2330700,37000.0,→
3,,Bari [East],BAR,70088,367600,719512,949700,7008800.0,→
4,,Bay,BAY,35156,620600,792182,1035900,3515600.0,→
5,,Galgaduud (Galguduud),GGD,46126,330100,569434,634300,4612600.0,→
6,,Gedo,GED,60389,328400,508405,566300,6038900.0,→
7,,Hiiraan [Hiran],HRN,31510,329800,520685,566400,3151000.0,→
8,,Jubbada Dhexe [Middle Juba],JBD,9836,238900,362921,432200,983600.0,→
9,,Jubbada Hoose [Lower Juba],JBH,42876,385800,489307,632900,4287600.0,→
10,,Mudug,MDG,72933,350100,717863,864700,7293300.0,→
11,,Nugaal [Nugal],NGL,26180,145300,392698,473900,2618000.0,→
12,,Sanaag,SNG,53374,270400,544123,578100,5337400.0,→
13,,Shabeellaha Dhexe [Middle Shebelle],SBD,22663,514900,516036,622700,2266300.0,→
14,,Shabeellaha Hoose [Lower Shebelle],SBH,25285,850700,1202219,1218700,2528500.0,→
15,,Sool,SOL,25036,150300,327428,618600,2503600.0,→
16,,Togdheer,TOG,38663,402300,721363,962400,3866300.0,→
17,,Woqooyi Galbeed [Northwest],WGB,28836,700300,1242003,1744400,2883600.0,→
18,,Somalia,SOM,637657,7502700,12316895,15626000,,→
