Name,Status,Population Census 1996-10-09,Population Census 2001-10-09,Population Census 2011-10-09,Population Estimate 2016-03-06,Unnamed: 6
Eastern Cape,Province,6147244,6278651,6562053,6996976,→
Amahlathi,Local Municipality,136461,137904,122778,122548,→
Baviaans,Local Municipality,17089,16897,17761,18131,→
Blue Crane Route,Local Municipality,34577,35407,36002,36063,→
Buffalo City (East London),Metropolitan Municipality,685727,704855,755200,810528,→
Camdeboo,Local Municipality,46824,45773,50993,53441,→
Elundini,Local Municipality,134888,137394,138141,145358,→
Emalahleni,Local Municipality,130670,121822,119460,122691,→
Engcobo,Local Municipality,165041,162248,155513,162014,→
Gariep,Local Municipality,29610,31314,33677,36485,→
Great Kei,Local Municipality,40086,44459,38991,39476,→
Ikwezi,Local Municipality,10518,10367,10537,10625,→
Inkwanca,Local Municipality,19426,20244,21971,24087,→
Intsika Yethu,Local Municipality,164448,154828,145372,146341,→
Inxuba Yethemba,Local Municipality,57872,60364,65560,70493,→
King Sabata Dalindyebo,Local Municipality,396312,416348,451710,490207,→
Kouga,Local Municipality,63241,71390,98558,112941,→
Kou-Kamma,Local Municipality,28204,34439,40663,43688,→
Lukanji,Local Municipality,176365,181799,190723,204111,→
Makana,Local Municipality,77656,75302,80390,82060,→
Maletswai,Local Municipality,32242,37307,43800,50778,→
Matatiele,Local Municipality,200867,194630,203843,219477,→
Mbhashe,Local Municipality,255748,263959,254909,270068,→
Mbizana,Local Municipality,235505,245730,281905,319948,→
Mhlontlo,Local Municipality,200518,202933,188226,186860,→
Mnquma,Local Municipality,286592,283667,252390,254013,→
Ndlambe,Local Municipality,46514,54717,61176,63180,→
Nelson Mandela Bay (Port Elizabeth),Metropolitan Municipality,969518,1005780,1152115,1263051,→
Ngqushwa,Local Municipality,93320,84233,72190,69200,→
"Ngquza Hill (Ingquza Hill, Qaukeni)",Local Municipality,245363,254480,278481,303379,→
Nkonkobe,Local Municipality,144161,129874,127115,134058,→
Ntabankulu,Local Municipality,119765,130980,123976,129154,→
Nxuba,Local Municipality,24792,24824,24264,25458,→
Nyandeni,Local Municipality,260799,274416,290390,309702,→
Port St Johns,Local Municipality,145957,146967,156136,166779,→
Sakhisizwe,Local Municipality,65224,66447,63582,65693,→
Senqu,Local Municipality,131258,135734,134150,140720,→
Sunday's River Valley,Local Municipality,45537,43914,54504,59793,→
Tsolwana,Local Municipality,35104,32537,33281,35065,→
Umzimvubu,Local Municipality,193448,202369,191620,199315,→
Free State (Oranje Free State),Province,2633504,2706775,2745590,2834714,→
Dihlabeng,Local Municipality,107798,129338,128704,140044,→
Kopanong,Local Municipality,50017,56079,49171,49999,→
Letsemeng,Local Municipality,35449,42847,38628,40044,→
Mafube,Local Municipality,52005,56637,57876,57574,→
Maluti a Phofung,Local Municipality,353238,360549,335784,353452,→
Mangaung (Bloemfontein),Metropolitan Municipality,603528,645440,747431,759693,→
Mantsopa,Local Municipality,50081,55342,51056,53525,→
Masilonyana,Local Municipality,65851,64409,63334,66084,→
Matjhabeng,Local Municipality,476763,408170,406461,428843,→
Metsimaholo,Local Municipality,106912,115955,149108,163564,→
Mohokare,Local Municipality,36238,36321,34146,35840,→
Moqhaka,Local Municipality,169440,167892,160532,154732,→
Nala,Local Municipality,82141,98264,81220,78515,→
Naledi,Local Municipality,24912,27479,24314,24797,→
Ngwathe,Local Municipality,120007,118810,120520,118907,→
Nketoana,Local Municipality,64284,61951,60324,64893,→
Phumelela,Local Municipality,46657,51928,47772,50054,→
Setsoto,Local Municipality,109768,123194,112597,117632,→
Tokologo,Local Municipality,26767,32455,28986,29149,→
Tswelopele,Local Municipality,51648,53714,47625,47373,→
Gauteng,Province,7834125,9388854,12272263,13399725,→
City of Johannesburg,Metropolitan Municipality,2638470,3226060,4434827,4949347,→
City of Tshwane (Pretoria),Metropolitan Municipality,1792360,2142320,2921488,3275152,→
Ekurhuleni (East Rand),Metropolitan Municipality,2026980,2481760,3178470,3379104,→
Emfuleni,Local Municipality,597285,657949,721663,733445,→
Lesedi,Local Municipality,66206,71868,99520,112472,→
Merafong City,Local Municipality,209727,210481,197520,188843,→
Midvaal,Local Municipality,53353,64271,95301,111612,→
Mogale City,Local Municipality,226446,295505,362422,383864,→
Randfontein,Local Municipality,107711,128842,149286,156985,→
Westonaria,Local Municipality,115592,109799,111767,108902,→
KwaZulu-Natal,Province,8572302,9584129,10267300,11065240,→
Abaqulusi,Local Municipality,167904,191019,211060,241196,→
Dannhauser,Local Municipality,99216,102779,102161,105121,→
eDumbe,Local Municipality,65368,82241,82053,89614,→
Emadlangeni (Utrecht),Local Municipality,23915,32277,34442,36869,→
Emnambithi/Ladysmith,Local Municipality,178514,225459,237437,253382,→
Endumeni,Local Municipality,44402,51101,64862,76639,→
eThekwini (Durban),Metropolitan Municipality,2748300,3090121,3442361,3661911,→
Ezingoleni (Ezinqoleni),Local Municipality,47547,54775,52540,56315,→
Greater Kokstad,Local Municipality,34731,56528,65981,76753,→
Hibiscus Coast,Local Municipality,191201,217824,256135,292219,→
Hlabisa,Local Municipality,65978,69269,71925,77265,→
Imbabazane,Local Municipality,112522,120622,113073,114917,→
Impendle,Local Municipality,39957,37844,33105,33328,→
Indaka,Local Municipality,98478,113644,103116,103113,→
Ingwe,Local Municipality,94511,107558,100548,105061,→
Jozini,Local Municipality,151747,184206,186502,198215,→
KwaDukuza,Local Municipality,143758,167805,231187,276719,→
Kwa Sani,Local Municipality,11930,11848,12898,14537,→
Mandeni (eNdondakusuka),Local Municipality,107070,127327,138078,147808,→
Maphumulo,Local Municipality,124677,120643,96724,89969,→
Mfolozi (Mbonambi),Local Municipality,96461,106942,122889,138561,→
Mkhambathini,Local Municipality,45174,59067,63142,68881,→
Mpofana,Local Municipality,25512,36832,38103,41096,→
Msinga,Local Municipality,160149,167274,177577,189578,→
Mthonjaneni,Local Municipality,36827,50382,47818,49778,→
Mtubatuba,Local Municipality,128559,145820,175425,202176,→
Ndwedwe,Local Municipality,169234,144615,140820,143117,→
Newcastle,Local Municipality,287659,332981,363236,389117,→
Nkandla,Local Municipality,129493,133602,114416,114284,→
Nongoma,Local Municipality,188959,198443,194908,211892,→
Nquthu,Local Municipality,151497,169419,165307,171325,→
Ntambanana,Local Municipality,72705,84771,74336,74792,→
Okhahlamba,Local Municipality,119342,137924,132068,135132,→
Richmond,Local Municipality,62099,63223,65793,71547,→
The Big Five False Bay,Local Municipality,28857,31482,35258,39357,→
The Msunduzi,Local Municipality,524266,552837,618536,679766,→
Ubuhlebezwe,Local Municipality,78542,101959,101691,108628,→
Ulundi,Local Municipality,170551,188585,188317,205762,→
Umdoni,Local Municipality,54201,62375,78875,92100,→
Umhlabuyalingana,Local Municipality,128616,142565,156736,172077,→
uMhlathuze,Local Municipality,196894,289190,334459,370579,→
uMlalazi,Local Municipality,230205,221078,213601,223140,→
uMngeni,Local Municipality,69742,73896,92710,105609,→
uMshwathi,Local Municipality,114924,108422,106374,111645,→
Umtshezi,Local Municipality,47693,60087,83153,100265,→
uMuziwabantu,Local Municipality,82103,92327,96556,108576,→
Umvoti,Local Municipality,90250,92294,103093,113635,→
Umzimkhulu,Local Municipality,165349,174338,180302,197286,→
Umzumbe,Local Municipality,166830,193768,160975,160005,→
uPhongolo,Local Municipality,98274,119781,127238,143845,→
Vulamehlo,Local Municipality,99610,82961,77403,80739,→
Limpopo (Northern Transvaal),Province,4576566,4995462,5404868,5799090,→
Aganang,Local Municipality,146335,146872,131164,125072,→
Ba-Phalaborwa,Local Municipality,109741,131536,150637,168937,→
Bela-Bela,Local Municipality,47592,52124,66500,76296,→
Blouberg,Local Municipality,158751,171721,162629,160604,→
Elias Motsoaledi (Greater Groblersdal),Local Municipality,220394,221647,249363,268256,→
Ephraim Mogale (Greater Marble Hall),Local Municipality,97988,121327,123648,127168,→
Fetakgomo,Local Municipality,97213,92598,93795,96668,→
Greater Giyani,Local Municipality,218751,240729,244217,256127,→
Greater Letaba,Local Municipality,203541,218873,212701,218030,→
Greater Tubatse,Local Municipality,229583,269608,335676,393713,→
Greater Tzaneen,Local Municipality,342551,375586,390095,416488,→
Lepelle-Nkumpi,Local Municipality,234926,227970,230350,233925,→
Lephalale,Local Municipality,78715,85272,115767,136626,→
Makhado,Local Municipality,455597,494264,516031,542416,→
Makhuduthamaga,Local Municipality,269313,262005,274358,283956,→
Maruleng,Local Municipality,87871,94383,94857,99605,→
Modimolle,Local Municipality,46717,69027,68513,71044,→
Mogalakwena,Local Municipality,282534,298439,307682,328905,→
Molemole,Local Municipality,107635,109441,108321,108645,→
Mookgophong,Local Municipality,15674,34541,35640,36655,→
Musina,Local Municipality,33061,39310,68359,94461,→
Mutale,Local Municipality,73313,82893,91870,99090,→
Polokwane,Local Municipality,424835,508277,628999,702190,→
