Name,Status,Population Census 2011-10-09,Unnamed: 3
Athlone,Main Place,237414,→
Atlantis,Main Place,67491,→
Belhar,Main Place,56234,→
Bellville,Main Place,112507,→
Blackheath,Main Place,56114,→
Blouberg,Main Place,106222,→
Blue Downs,Main Place,92330,→
Brackenfell,Main Place,44842,→
Cape Farms,Main Place,1563,→
Cape Metro,Remaining Area,11916,→
Cape Town,Main Place,433688,→
Cape Town NU,Main Place,485,→
Castle Rock,Main Place,5595,→
City of Cape Town NU,Remaining Area,1560,→
Crossroads,Main Place,36043,→
Delft,Main Place,152030,→
Durbanville,Main Place,54286,→
Durhamville,Main Place,323,→
Eerste Rivier,Main Place,39237,→
Elsie's Rivier,Main Place,42479,→
Epping Industria,Main Place,50,→
Fish Hoek,Main Place,11890,→
Fistantekraal,Main Place,12369,→
Goodwood,Main Place,50285,→
Gordon's Bay,Main Place,16776,→
Grassy Park,Main Place,82199,→
Gugulethu,Main Place,98468,→
Helderberg Nature Reserve,Nature Reserve,4,→
Hottentots Holland Nature Reserve,Nature Reserve,0,→
Hout Bay,Main Place,17900,→
Imizamo Yethu,Main Place,15538,→
Khayelitsha,Main Place,391749,→
Klipheuwel,Main Place,2294,→
Kommetjie,Main Place,16911,→
Kraaifontein,Main Place,154615,→
Kuils River,Main Place,46686,→
Langa,Main Place,52401,→
Macassar,Main Place,33225,→
Mamre,Main Place,9048,→
Matroosfontein,Main Place,77121,→
Melkbosstrand,Main Place,11586,→
Mfuleni,Main Place,52274,→
Milnerton,Main Place,95630,→
Mitchell's Plain,Main Place,310485,→
Muizenberg,Main Place,36857,→
Nomzamo,Main Place,60528,→
Noordhoek,Main Place,31980,→
Nyanga,Main Place,57996,→
Parow,Main Place,119462,→
Pella,Main Place,1681,→
Philadelphia,Main Place,570,→
Philippi,Main Place,200603,→
Robben Island,Main Place,116,→
Scarborough,Main Place,1075,→
Simon's Town,Main Place,6569,→
Smitswinkelbaai,Main Place,4,→
Somerset West,Main Place,55166,→
Strand,Main Place,55558,→
City of Cape Town,Metropolitan Municipality,3740026,
