Name,Status,Population Census 2011-10-09,Unnamed: 3
Alberton,Main Place,121536,→
Bapsfontein,Main Place,707,→
Benoni,Main Place,158777,→
Boksburg,Main Place,260321,→
Brakpan,Main Place,73080,→
Breswol,Main Place,493,→
Centurion (Ekurhuleni part),Main Place,11366,→
Chief A Luthuli Park,Main Place,17718,→
Clayville,Main Place,14526,→
Daveyton,Main Place,127967,→
Duduza,Main Place,73295,→
Dukathole,Main Place,18402,→
Edenvale,Main Place,49292,→
Ekurhuleni NU,Remaining Area,19110,→
Etwatwa,Main Place,151866,→
Geluksdal,Main Place,14489,→
Germiston,Main Place,255863,→
Harry Gwala,Main Place,1845,→
Holfontein,Main Place,6,→
Kanana,Main Place,2046,→
Katlehong,Main Place,407294,→
Kempton Park,Main Place,171575,→
Kwa-Thema,Main Place,103727,→
Langaville,Main Place,54710,→
Lindelani Village,Main Place,11932,→
Nigel,Main Place,38318,→
Springs,Main Place,121610,→
Tembisa,Main Place,463109,→
Thinasonke,Main Place,2727,→
Tokoza,Main Place,105827,→
Tsakane,Main Place,135994,→
Tweefontein,Main Place,63,→
Vosloorus,Main Place,163216,→
Wattville,Main Place,25667,→
Ekurhuleni (East Rand),Metropolitan Municipality,3178470,
