Name,Status,Population Census 1996-10-09,Population Census 2001-10-09,Population Census 2011-10-09,Population Estimate 2016-03-06,Unnamed: 6
Gauteng,Province,7834125,9388854,12272263,13399725,
City of Johannesburg,Metropolitan Municipality,2638470,3226060,4434827,4949347,→
City of Tshwane (Pretoria),Metropolitan Municipality,1792360,2142320,2921488,3275152,→
Ekurhuleni (East Rand),Metropolitan Municipality,2026980,2481760,3178470,3379104,→
Emfuleni,Local Municipality,597285,657949,721663,733445,→
Lesedi,Local Municipality,66206,71868,99520,112472,→
Merafong City,Local Municipality,209727,210481,197520,188843,→
Midvaal,Local Municipality,53353,64271,95301,111612,→
Mogale City,Local Municipality,226446,295505,362422,383864,→
Randfontein,Local Municipality,107711,128842,149286,156985,→
Westonaria,Local Municipality,115592,109799,111767,108902,→
South Africa,Republic,40583573,44819778,51770560,55653654,
