Name,Status,Population Census 2011-10-09,Unnamed: 3
Alexandra,Main Place,179624,→
Chartwell,Main Place,1728,→
City of Johannesburg NU,Remaining Area,9933,→
Dainfern,Main Place,6601,→
Diepsloot,Main Place,138329,→
Drie Ziek,Main Place,35622,→
Ebony Park,Main Place,22309,→
Ennerdale,Main Place,71815,→
Farmall,Main Place,1051,→
Itsoseng,Main Place,5243,→
Ivory Park,Main Place,184383,→
Johannesburg,Main Place,957441,→
Kaalfontein,Main Place,46147,→
Kagiso,Main Place,5182,→
Kanana Park,Main Place,21005,→
Lakeside,Main Place,23503,→
Lanseria,Main Place,4788,→
Lawley,Main Place,33136,→
Lehae,Main Place,13380,→
Lenasia,Main Place,89714,→
Lenasia South,Main Place,37110,→
Lucky 7,Main Place,0,→
Malatjie,Main Place,2321,→
Mayibuye,Main Place,22178,→
Midrand,Main Place,87387,→
Millgate Farm,Main Place,172,→
Orange Farm,Main Place,76767,→
Poortjie,Main Place,11153,→
Rabie Ridge,Main Place,41204,→
Randburg,Main Place,337053,→
Randfontein,Main Place,0,→
Rietfontein,Main Place,196,→
Roodepoort,Main Place,326416,→
Sandton,Main Place,222415,→
Soweto,Main Place,1271628,→
Stretford,Main Place,61141,→
Tshepisong,Main Place,53260,→
Vlakfontein,Main Place,27291,→
Zakariyya Park,Main Place,6200,→
Zevenfontein,Main Place,0,→
City of Johannesburg,Metropolitan Municipality,4434827,
