Unnamed: 0,Name,Abbr.,Capital,Area A-L (km²),Population Census (C) 1996-10-09,Population Census (C) 2001-10-09,Population Census (C) 2011-10-09,Population Estimate (E) 2021-07-01,Unnamed: 9,Unnamed: 10
,Eastern Cape,EC,Bisho,168966,6147244,6278651,6562053,6676600,16896600.0,→
,Free State (Oranje Free State),FS,Bloemfontein,129825,2633504,2706775,2745590,2932400,12982500.0,→
,Gauteng,GT,Johannesburg,18178,7834125,9388854,12272263,15810400,1817800.0,→
,KwaZulu-Natal,KZN,Pietermaritzburg,94361,8572302,9584129,10267300,11513600,9436100.0,→
,Limpopo (Northern Transvaal),LIM,Polokwane,125754,4576566,4995462,5404868,5926700,12575400.0,→
,Mpumalanga (Eastern Transvaal),MP,Nelspruit,76495,3123869,3365554,4039939,4743600,7649500.0,→
,Northern Cape,NC,Kimberley,372889,1011864,991919,1145861,1303000,37288900.0,→
,North West,NW,Mahikeng,104882,2727223,2984098,3509953,4122900,10488200.0,→
,Western Cape,WC,Cape Town,129462,3956875,4524335,5822734,7113800,12946200.0,→
,South Africa,ZAF,Pretoria / Cape Town,1220813,40583573,44819778,51770560,60143000,,→
