Unnamed: 0,Name,Adm.,Population Census (C) 2001-10-09,Population Census (C) 2011-10-09,Area,Unnamed: 6
,Alice,EC,...,15142,985,→
,Aliwal North (- Dukathole),EC,28465,35153,3954,→
,Allanridge (- Phathakahle),FS,19671,19337,3174,→
,Amandelbult Mine (- Setaria),LIM,23363,21356,13463,→
,Atlantis,WC,56225,69055,8800,→
,Balfour (- Siyathemba),MP,20091,25969,1598,→
,Ballito (- Umhlali - Sheffield Beach),KZN,...,23135,3705,→
,Barberton (- Emjindini),MP,34037,48505,3569,→
,Barkly West (- Mataleng),NC,14071,20105,7306,→
,Beaufort West (- Sidesaviwa),WC,30678,34085,5650,→
,Bela-Bela [Warmbad],LIM,32147,44999,2328,→
,Belfast (- Siyathuthuka) [eMakhazeni],MP,...,16723,8334,→
,Bethal (- Emzinoni),MP,35929,60780,5194,→
,Bethlehem (- Bohlokong),FS,66600,76015,3232,→
,Bisho [Bhisho],EC,King William's Town,King William's Town,0,
,Bloemfontein (- Mangaung),FS,364348,464591,26878,→
,Bloemhof (- Boitumelong),NW,22033,27904,5092,→
,Bothaville (- Kgotsong),FS,49201,46029,4301,→
,Botshabelo,FS,175233,181712,10398,→
,Bredasdorp,WC,12752,15524,2515,→
,Brits (- Oukasie - Mothutlung),NW,44991,65113,11974,→
,Bronkhorstspruit (- Zithobeni),GT,23213,34395,1424,→
,Bultfontein (- Phahameng),FS,21097,23365,4398,→
,Burgersdorp (- Mzamomhle),EC,13537,15991,3092,→
,Butterworth,EC,45903,44308,2148,→
,"Cape Town (incl. Mitchell's Plain, Khayelitsha, Bellville)",WC,2678407,3430992,113679,→
,Carletonville (- Khutsong - Wedela),GT,163238,149065,26597,→
,Carolina (- Silobela),MP,12115,16847,1466,→
,Ceres (- Bella Vista),WC,21039,23873,8002,→
,Christiana (- Utlwanang - Geluksoord),NW,16574,20882,5387,→
,Clocolan (- Hlohlolwane),FS,16653,17602,1897,→
,Clydesdale (- Umzimkhulu),KZN,10277,15322,1253,→
,Colesberg (- Kuyasa - Lowryville),NC,12761,16870,17484,→
,Coligny (- Tlhabologang),NW,12855,17278,632,→
,Cradock (- Lingelihle),EC,31278,36671,12596,→
,Cullinan (- Refilwe),GT,21073,28451,5824,→
,Daggakraal [Vlakpoort],MP,...,13182,1733,→
,De Aar (- Nonzwakazi),NC,26012,29989,8550,→
,Delmas (- Botleng),MP,34319,52125,2743,→
,Deneysville (- Refengkgotso),FS,15421,19478,4591,→
,Dimbaza,EC,24943,21784,1728,→
,Douglas (- Breipaas - Phelindaba),NC,15485,20082,8642,→
,Dundee (- Sibongile),KZN,28053,34924,4860,→
,"Durban (incl. Umlazi, Chatsworth, Kwa-Mashu, Pinetown)",KZN,2487162,2786046,89732,→
,Dwarsloop (- Shatale),MP,...,29544,2731,→
,East London,EC,232701,295644,17191,→
,Ekangala,GT,34997,48492,4605,→
,Elliot (- Masibambane - Takalani - Vergenoeg - Polar Park),EC,15084,14376,2885,→
,Elukwatuni,MP,23070,31184,3442,→
,Embalenhle,MP,92851,118889,1965,→
,eMkhondo (- Ethandakukhanya) [Piet Retief],MP,37919,57428,6600,→
,Empangeni,KZN,13317,27606,1494,→
,Ermelo (- Wesselton),MP,51237,83735,3141,→
,Estcourt (- Emabhanoyini),KZN,16943,22072,6074,→
,Evaton (- Sebokeng - Orange Farm),GT,550903,605504,12850,→
,Ficksburg (- Meqheleng),FS,35452,41248,5818,→
,Fochville (- Kokosi),GT,34397,38491,1635,→
,Folweni,KZN,28756,30402,340,→
,Fort Beaufort (- Kwatinidubu),EC,22190,25668,8281,→
,Frankfort (- Namahadi),FS,19460,26144,2095,→
,Frischgewaagd,KZN,14191,13515,718,→
,George (- Thembalethu),WC,121289,157397,8385,→
,Glencoe (- Sithembile),KZN,14078,17548,2658,→
,Gonubie (- Mzamonhle),EC,15165,19809,1260,→
,Graaff-Reinet (- uMasizakhe),EC,32460,35672,20361,→
,Grabouw (- Snake Park - Elgin),WC,21582,31291,729,→
,Grahamstown (- Rhini),EC,61753,67264,6505,→
,Greytown (- Lindelani - eMahlalakahle),KZN,15811,19313,785,→
,Groot Brakrivier (- Terniet - Glentana),WC,10036,15031,3126,→
,Hammanskraal (- Temba - Kudube),GT,76827,94273,3627,→
,Harrismith (- Intabazwe),FS,26090,27869,13880,→
,Hartbeestfontein (- Tigane),NW,13377,18608,930,→
,Hartbeestfontein A,NW,23956,26337,974,→
,Hartebeespoort (- Kosmos Ridge),NW,...,22312,10559,→
,Heidelberg (- Ratanda),GT,47554,71661,4676,→
,Heilbron (- Sandersville - Phiritona),FS,25515,27407,1772,→
,Hendrina (- KwaZamokuhle),MP,13738,22786,1007,→
,Hermanus (- Zwelihle - Sandbaai - Onrus River - Hawston - Fisherhaven),WC,30117,46856,4257,→
,Hoopstad (- Tikwana),FS,11694,16033,3021,→
,Howick (- KwaMevana),KZN,16868,27087,9735,→
,Humansdorp (- Kruisfontein - KwaNomzamo),EC,21894,28990,3453,→
,Itsoseng,NW,...,19959,709,→
,Jan Kempdorp (- Valspan),NC,16238,23003,1559,→
,Jeffreys Bay (- Paradise Beach),EC,16177,27107,2079,→
,Johannesburg (Witwatersrand),GT,5914919,7860781,335692,→
,Kamaqhekeza,MP,...,21192,883,→
,Kimberley (- Galeshewe),NC,185269,225155,16429,→
,King William's Town (- Bisho - Zwelitsha),EC,63774,77682,8615,→
,Kinross,MP,...,15246,645,→
,Klerksdorp (- Jouberton),NW,163493,189496,8617,→
,Knysna,WC,37833,50029,6340,→
,Kokstad (- Bhongweni),KZN,27308,51540,3607,→
,Koster (- Reagile),NW,10573,19498,2112,→
,Kriel [Ga-Nala],MP,11479,15237,855,→
,Kroonstad (- Maokeng),FS,90345,97780,8911,→
,Kwaggafontein,MP,46669,45104,1784,→
,Ladybrand (- Manyatseng),FS,21382,25816,4604,→
,Ladysmith (- Ezakheni),KZN,102366,119726,11345,→
,Lebowakgomo,LIM,...,35089,2568,→
,Lephalale [Ellisras],LIM,...,17639,2377,→
