Unnamed: 0,Name,Native,Adm.,Population Census (C) 1973-04-03,Population Census (C) 1983-02-01,Population Census (C) 1993-04-15,Population Census (Cp) 2008-04-22,Area
,Abū Jubayhah,أبو جبيهة,JKF,10418,14491,...,47188,0
,Abū Zabad,أبو زبد,SKF,7177,9744,...,23317,0
,Ad-Damazīn,الدمازين,NZR,12233,27591,71821,136788,0
,Ad-Dāmir,الدامر,NNL,17086,26841,50995,73654,0
,Ad-Dillinj [Dalang],الدلنج,JKF,19216,24681,...,59089,0
,Ad-Dindar [Dinder],الدندر,SNR,5303,9496,...,25567,0
,Aḍ-Ḍu'ayn [El Duein],الضعين,SQD,18457,21666,73335,137103,0
,Ad-Duwaym [Ed Dueim],الدويم,NBY,26257,38606,56494,73622,0
,Al-Fashaqah (Shuwak),الفشقة,QDR,4824,8639,...,21106,0
,Al-Fāshir [El Fasher],الفاشر,SMD,51932,84298,141884,217827,0
,Al-Fāw [El Fao],الفاو,QDR,...,5157,...,30629,0
,Al-Fūlah,الفولة,GKF,5294,7155,...,26020,0
,Al-Ḥuṣāyḥīṣā [El Hasahisa],الحصاحيصا,JZR,18747,18328,...,47408,0
,Al-Ḥūwāttah [El Hawata],الحواتة,QDR,7841,15110,...,30184,0
,Al-Jazīrah Abā,الجزيرة ابا,NBY,22218,19632,...,21683,0
,Al-Junaynah [Geneina],الجنينة,GDF,35424,55480,92831,134264,0
,Al-Kharṭūm [Khartoum],الخرطوم,KTM,333906,473597,947483,1410858,0
,Al-Kharṭūm Baḥrī [Khartoum North],الخرطوم بحري,KTM,150989,340857,700887,1012211,0
,Al-Manāqil [Al Managil],المناقل,JZR,15223,36090,65405,99775,0
,Al-Mujlad [Muglad],المجلد,GKF,6932,12732,...,40418,0
,Al-Qaḍārif [Gedaref],القضارف,QDR,66465,116876,191164,269395,0
,Al-Quṭaynah [El Geteina],القطينة,NBY,5966,10418,...,26893,0
,Al-Ubayyiḍ [El Obeid],الأبيض,SKF,90073,137582,229425,345126,0
,An-Nuhūd [El Nahud],النهود,GKF,26005,29787,54600,66184,0
,'Ārdamatā,آردمتا,GDF,...,...,...,55637,0
,Ar-Rahad,الرهد,SKF,14444,16341,...,36518,0
,Ar-Ruṣayrīṣ [Er Roseires],الروصيرص,NZR,12951,16369,...,58712,0
,As-Sūkī [El Suki],السوكي,SNR,16197,21021,...,23509,0
,'Aṭbarah [Atbara],عطبرة,NNL,66116,72836,87878,112021,0
,Bābanūsah [Babanusa],بابنوسة,GKF,12051,18870,...,32759,0
,Barbar [Berber],بربر,NNL,11303,14425,...,26203,0
,Buram,برام,JDF,...,...,...,65473,0
,Būr Sūdān [Port Sudan],بور سودان,BHR,132632,206038,308195,394561,0
,Dunqulā [Dongola],دنقلا,SML,5626,10146,...,56167,0
,Ghubaysh,غبيش,GKF,...,...,...,22733,0
,Ḥalfā al-Jadīdah [New Halfa],حلفا الجديدة,KSL,24373,38132,54110,63589,0
,Jubayt [Gebeit],جبيت,BHR,5208,7002,...,30856,0
,Kabkābīyah,كبكابية,SMD,...,...,...,42376,0
,Kāduqlī,كادقلي,JKF,18468,45698,62104,67095,0
,Kas,كاس,JDF,...,...,...,55255,0
,Kassalā,كسلا,KSL,99652,141429,234622,298529,0
,Khashim al-Qirbah [Khashm El Girba],خشم القربة,KSL,8343,19962,...,42900,0
,Kotum [Kutum],كتم,SMD,4762,6108,...,34694,0
,Kūstī [Kosti],كوستي,NBY,65404,89135,173599,213080,0
,Mellit,مليط,SMD,...,...,...,50165,0
,Nyālā,نيالا,JDF,59583,111693,227183,492984,0
,Rabak,ربك,NBY,18399,26693,59261,123890,0
,Rahad al-Bardī,رهيد البردي,JDF,...,...,...,24768,0
,Rufā'ah,رفاعة,JZR,15681,20750,...,28374,0
,Sannār [Sennar],سنار,SNR,28546,42803,72187,123158,0
,Sawākin [Suakin],ســواكــن,BHR,5895,18030,...,42456,0
,Shandī [Shendi],شندي,NNL,24161,34505,...,63746,0
,Sh'īarīah [Sheria],شعيرية,SQD,...,...,...,48966,0
,Sinjah [Singa],سنجة,SNR,19452,27982,...,56058,0
,Sinkāt,سنكات,BHR,6439,7918,...,35617,0
,Tandaltī,تندلتي,NBY,10028,15509,...,31329,0
,Ṭawkar [Tokar],طــوكـــر,BHR,13394,14042,...,37051,0
,Tulus,تلس,JDF,...,...,...,41807,0
,Umm Durmān [Omdurman],أم درمان,KTM,299399,526192,1271403,1849659,0
,Umm Ruwābah,أم روابة,SKF,19713,34669,...,56833,0
,Umm Shūkah,أم شوكة,SNR,7666,11644,...,20302,0
,Wad Madanī [Medani],ود مدني,JZR,106715,145015,211362,289482,0
,Zālingay [Zalingei],زالنجي,WDF,13791,18017,...,35061,0
