Unnamed: 0,Name,Abbr.,Native,Capital,Area A (km²),Population Census (C) 1993-04-15,Population Census (C) 2008-04-22,Population Projection (P) 2018-07-01,Unnamed: 9,Unnamed: 10
,Al-Baḥr al-Aḥmar [Red Sea],BHR,البحر الأحمر,Būr Sūdān,218887,684271,1396110,1482100,21888700.0,
,Al-Jazīrah [Al Gezira],JZR,الجزيرة,Wad Madanī,23373,2715605,3575280,5096900,2337300.0,
,Al-Kharṭūm [Khartoum],KTM,الخرطوم,Al-Kharṭūm,22142,3512144,5274321,7993900,2214200.0,
,Al-Qaḍārif [Gadaref],QDR,القضارف,Al-Qaḍārif,75263,1148262,1348378,2208400,7526300.0,
,An-Nīl al-Abyaḍ [White Nile],NBY,النيل الأبيض,Ad-Duwaym,30411,1227024,1730588,2493900,3041100.0,
,An-Nīl al-Azraq [Blue Nile],NZR,النيل الأزرق,Ad-Damazīn,45844,512845,832112,1108400,4584400.0,
,Ash-Shamālīyah [Northern],SML,الشمالية,Dunqulā,348765,511693,699065,936300,34876500.0,
,Gharb al-Dārfūr [West Darfur],GDF,غرب دارفور,Al-Junaynah,23000,1329832,754710,1024500,2300000.0,
,Gharb Kurdufān [West Kordofan],GKF,غرب كردفان,Al-Fūlah,111373,992173,1419983,1764800,11137300.0,
,Janūb Dārfūr [South Darfur],JDF,جنوب دارفور,Nyālā,72000,2152499,2879810,3765800,7200000.0,
,Janūb Kurdufān [South Kordofan],JKF,جنوب كردفان,Kāduqlī,79470,1003560,867918,1300700,7947000.0,
,Kassalā,KSL,كسلا,Kassalā,36710,1234562,1789806,2519100,3671000.0,
,Nahr an-Nīl [River Nile],NNL,نهر النيل,Ad-Dāmir,122123,781583,1120441,1511400,12212300.0,
,Sannār [Sennar],SNR,سنار,Sannār,37844,977650,1285058,1918700,3784400.0,
,Shamāl Dārfūr [North Darfur],SMD,شمال دارفور,Al-Fāshir,320000,1155872,2113626,2305000,32000000.0,
,Shamāl Kurdufān [North Kordofan],SKF,شمال كردفان,Al-Ubayyiḍ,185302,1327066,2039495,2216200,18530200.0,
,Sharq Dārfūr [East Darfur],SQD,شرق دارفور‏,Aḍ-Ḍu'ayn,55000,Janūb Dārfūr,1213784,1587200,5500000.0,
,Wasaṭ Dārfūr [Central Darfur],WDF,‏وسط دارفور‎,Zālingay,34000,Gharb al-Dārfūr,553515,751400,3400000.0,
,Sudan,SDN,السودان,Al-Kharṭūm,1840687,21266641,30894000,41984500,,
